match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
b9939d92,Feyenoord,Santiago Giménez,29,MEX,FW,22-190,77,2,0,0,0,5,2,1,0,19,0,0,2,1.3,1.3,0.0,0,0,5,6,83.3,0,15,1,1,0
b9939d92,Feyenoord,Ayase Ueda,9,JPN,FW,25-045,13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
b9939d92,Feyenoord,Igor Paixão,14,BRA,LW,23-119,70,0,0,0,0,2,1,0,0,36,0,2,2,0.3,0.3,0.2,4,0,17,27,63.0,0,19,3,2,2
b9939d92,Feyenoord,Alireza Jahanbakhsh,7,IRN,LW,30-075,20,0,0,0,0,1,0,0,0,18,1,1,0,0.1,0.1,0.1,1,0,9,10,90.0,1,9,2,2,0
b9939d92,Feyenoord,Calvin Stengs,10,NED,RW,24-311,77,0,1,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.5,7,1,23,33,69.7,8,26,5,3,3
b9939d92,Feyenoord,Luka Ivanušec,17,CRO,RW,24-333,13,0,0,0,0,0,0,0,0,8,0,0,2,0.0,0.0,0.0,0,0,3,5,60.0,1,5,2,0,0
b9939d92,Feyenoord,Quinten Timber,8,NED,LM,22-130,90,0,1,0,0,3,1,0,0,37,2,0,1,0.3,0.3,0.0,5,1,20,26,76.9,5,22,7,2,0
b9939d92,Feyenoord,Ramiz Zerrouki,6,ALG,CM,25-152,88,1,0,0,0,3,1,0,0,75,2,1,5,0.1,0.1,0.0,1,0,56,61,91.8,5,43,0,2,2
b9939d92,Feyenoord,Ondřej Lingr,32,CZE,CM,25-018,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0
b9939d92,Feyenoord,Mats Wieffer,20,NED,RM,23-343,90,0,1,0,0,0,0,0,0,70,3,1,1,0.0,0.0,0.1,3,2,48,59,81.4,5,29,0,3,3
b9939d92,Feyenoord,Quilindschy Hartman,5,NED,LB,21-345,90,0,0,0,0,1,0,1,0,66,2,1,1,0.2,0.2,0.0,2,0,48,56,85.7,5,35,1,1,0
b9939d92,Feyenoord,Dávid Hancko,33,SVK,CB,25-316,90,0,0,0,0,0,0,0,0,94,0,1,0,0.0,0.0,0.0,1,0,85,92,92.4,4,76,0,0,0
b9939d92,Feyenoord,Lutsharel Geertruida,4,NED,CB,23-099,90,0,0,0,0,0,0,1,0,81,1,0,0,0.0,0.0,0.0,2,0,77,80,96.3,3,55,1,0,0
b9939d92,Feyenoord,Bart Nieuwkoop,2,NED,RB,27-232,45,0,0,0,0,0,0,1,0,24,1,0,1,0.0,0.0,0.0,2,1,21,22,95.5,1,14,1,0,0
b9939d92,Feyenoord,Marcos López,15,PER,RB,23-339,45,0,0,0,0,0,0,1,0,27,0,1,0,0.0,0.0,0.0,0,0,19,25,76.0,1,12,0,0,0
