match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c8120a02,Lazio,Ciro Immobile,17,ITA,FW,33-260,62,1,0,0,0,1,1,0,0,20,0,0,1,0.6,0.6,0.0,2,1,10,14,71.4,1,11,2,2,1
c8120a02,Lazio,Valentín Castellanos,19,ARG,FW,25-035,28,0,0,0,0,1,0,0,0,15,1,0,1,0.2,0.2,0.0,0,0,4,9,44.4,0,10,1,2,0
c8120a02,Lazio,Mattia Zaccagni,20,ITA,LW,28-144,62,0,0,0,0,1,0,0,0,21,0,0,1,0.0,0.0,0.0,2,0,14,16,87.5,1,16,4,3,3
c8120a02,Lazio,Pedro,9,ESP,LW,36-102,28,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.2,1,0,10,10,100.0,2,5,2,2,1
c8120a02,Lazio,Felipe Anderson,7,BRA,RW,30-206,90,0,1,0,0,1,0,0,0,44,2,3,0,0.1,0.1,0.6,3,1,29,34,85.3,8,24,3,2,1
c8120a02,Lazio,Luis Alberto,10,ESP,LM,31-040,90,0,0,0,0,1,0,0,0,55,0,1,0,0.0,0.0,0.2,3,0,37,47,78.7,5,28,0,1,0
c8120a02,Lazio,Matías Vecino,5,URU,CM,32-075,77,0,0,0,0,2,0,1,0,38,2,0,4,0.1,0.1,0.0,0,0,22,25,88.0,3,18,0,0,0
c8120a02,Lazio,Nicolò Rovella,65,ITA,CM,21-338,13,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,2,0,0,0
c8120a02,Lazio,Daichi Kamada,6,JPN,RM,27-094,52,0,0,0,0,0,0,0,0,22,3,1,1,0.0,0.0,0.0,0,0,11,17,64.7,5,10,1,0,0
c8120a02,Lazio,Mattéo Guendouzi,8,FRA,RM,24-207,38,0,0,0,0,0,0,0,0,25,0,1,2,0.0,0.0,0.0,0,0,11,15,73.3,0,13,2,1,0
c8120a02,Lazio,Elseid Hysaj,23,ALB,LB,29-260,77,0,0,0,0,0,0,0,0,44,5,0,1,0.0,0.0,0.0,0,0,28,35,80.0,1,16,0,0,0
c8120a02,Lazio,Luca Pellegrini,3,ITA,LB,24-245,13,0,0,0,0,0,0,0,0,10,1,2,0,0.0,0.0,0.0,0,0,4,8,50.0,0,4,1,0,0
c8120a02,Lazio,Alessio Romagnoli,13,ITA,CB,28-299,90,0,0,0,0,2,0,0,0,52,1,2,2,0.2,0.2,0.0,0,0,34,41,82.9,1,29,0,0,0
c8120a02,Lazio,Patric,4,ESP,CB,30-204,90,0,0,0,0,0,0,0,0,70,0,1,2,0.0,0.0,0.0,1,0,49,59,83.1,4,47,0,0,0
c8120a02,Lazio,Manuel Lazzari,29,ITA,RB,29-343,90,0,0,0,0,0,0,0,0,43,2,2,2,0.0,0.0,0.0,1,0,29,35,82.9,1,15,1,0,0
c8120a02,Lazio,Ivan Provedel,94,ITA,GK,29-235,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,24,29,82.8,0,19,0,0,0
c8120a02,Feyenoord,Santiago Giménez,29,MEX,FW,22-203,90,0,0,0,0,2,1,0,0,31,0,1,0,0.5,0.5,0.0,2,0,10,17,58.8,1,21,2,2,1
c8120a02,Feyenoord,Igor Paixão,14,BRA,LW,23-132,73,0,0,0,0,2,0,0,0,41,0,1,2,0.1,0.1,0.6,8,0,23,32,71.9,3,25,3,5,4
c8120a02,Feyenoord,Luka Ivanušec,17,CRO,LW,24-346,17,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,8,1,1,0
c8120a02,Feyenoord,Calvin Stengs,10,NED,RW,24-324,90,0,0,0,0,1,1,0,0,64,0,1,1,0.0,0.0,0.2,1,0,40,52,76.9,9,42,3,4,2
c8120a02,Feyenoord,Quinten Timber,8,NED,LM,22-143,80,0,0,0,0,0,0,0,0,29,0,0,3,0.0,0.0,0.2,3,0,18,22,81.8,4,18,6,2,1
c8120a02,Feyenoord,Antoni Milambo,27,NED,LM,18-218,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,2,6,1,0,0
c8120a02,Feyenoord,Ramiz Zerrouki,6,ALG,CM,25-165,80,0,0,0,0,0,0,1,0,47,2,1,0,0.0,0.0,0.0,1,0,35,39,89.7,1,31,0,0,0
c8120a02,Feyenoord,Ayase Ueda,9,JPN,CM,25-058,10,0,0,0,0,1,1,0,0,3,0,0,0,0.2,0.2,0.0,1,0,1,1,100.0,0,3,0,0,0
c8120a02,Feyenoord,Mats Wieffer,20,NED,RM,23-356,90,0,0,0,0,3,0,1,0,90,0,1,0,0.4,0.4,0.0,1,0,74,84,88.1,8,73,0,3,3
c8120a02,Feyenoord,Quilindschy Hartman,5,NED,LB,21-358,90,0,0,0,0,1,0,0,0,81,1,1,4,0.0,0.0,0.1,1,0,61,70,87.1,4,56,0,2,0
c8120a02,Feyenoord,Dávid Hancko,33,SVK,CB,25-329,90,0,0,0,0,2,0,0,0,125,2,0,0,0.2,0.2,0.0,0,0,114,122,93.4,7,97,0,2,2
c8120a02,Feyenoord,Lutsharel Geertruida,4,NED,CB,23-112,90,0,0,0,0,0,0,0,0,94,2,2,0,0.0,0.0,0.0,0,0,85,89,95.5,5,61,1,2,2
c8120a02,Feyenoord,Bart Nieuwkoop,2,NED,RB,27-245,19,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,2,4,0,1,0
c8120a02,Feyenoord,Gernot Trauner,18,AUT,RB,31-227,54,0,0,0,0,0,0,0,0,93,0,0,0,0.0,0.0,0.0,0,0,87,90,96.7,5,70,0,0,0
c8120a02,Feyenoord,Alireza Jahanbakhsh,7,IRN,RB,30-088,17,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.2,1,0,17,21,81.0,1,18,2,1,0
c8120a02,Feyenoord,Justin Bijlow,1,NED,GK,25-289,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,48,49,98.0,0,41,0,0,0
