match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
d61ddb04,Paris S-G,Marco Asensio,11,ESP,FW,28-080,45,0,0,0,0,1,1,0,0,17,0,0,1,0.0,0.0,0.0,2,0,10,11,90.9,3,11,0,0,0
d61ddb04,Paris S-G,Bradley Barcola,29,FRA,"WB,RM",21-221,45,0,0,0,0,2,1,0,0,30,1,0,0,0.1,0.1,0.1,2,0,19,23,82.6,3,26,5,3,2
d61ddb04,Paris S-G,Kylian Mbappé,7,FRA,"FW,LW",25-112,90,0,0,0,0,3,0,0,0,42,1,2,0,0.1,0.1,0.2,6,0,23,27,85.2,6,37,6,7,1
d61ddb04,Paris S-G,Ousmane Dembélé,10,FRA,"RW,AM,LM",26-331,90,1,0,0,0,5,1,0,0,62,1,1,0,0.4,0.4,0.1,5,1,33,45,73.3,6,51,9,9,1
d61ddb04,Paris S-G,Fabián Ruiz Peña,8,ESP,"LM,CM",28-007,84,0,1,0,0,2,0,0,0,57,2,0,3,0.2,0.2,0.2,2,2,39,47,83.0,4,44,0,0,0
d61ddb04,Paris S-G,Gonçalo Ramos,9,POR,"FW,CM",22-295,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,1,4,0,0,0
d61ddb04,Paris S-G,Vitinha,17,POR,CM,24-057,90,1,0,0,0,2,1,1,0,100,0,1,1,0.2,0.2,0.3,4,0,85,87,97.7,7,70,3,1,1
d61ddb04,Paris S-G,Lee Kang-in,19,KOR,"RM,AM",23-051,60,0,0,0,0,2,2,0,0,47,0,0,1,0.1,0.1,0.2,6,1,32,41,78.0,5,36,3,0,0
d61ddb04,Paris S-G,Warren Zaïre-Emery,33,FRA,"AM,CM",18-033,30,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,2,0,15,19,78.9,1,18,2,3,2
d61ddb04,Paris S-G,Nuno Mendes,25,POR,"LB,WB",21-296,90,0,0,0,0,1,0,0,0,65,2,1,2,0.1,0.1,0.0,2,0,42,52,80.8,6,44,6,8,4
d61ddb04,Paris S-G,Lucas Beraldo,35,BRA,CB,20-138,90,0,0,0,0,0,0,1,0,75,2,0,0,0.0,0.0,0.0,1,0,67,71,94.4,3,61,0,0,0
d61ddb04,Paris S-G,Lucas Hernández,21,FRA,"CB,RB",28-056,90,0,0,0,0,0,0,0,0,71,1,0,1,0.0,0.0,0.0,0,0,58,65,89.2,4,55,2,0,0
d61ddb04,Paris S-G,Marquinhos,5,BRA,"CB,RB",29-332,90,0,0,0,0,0,0,0,0,89,1,3,2,0.0,0.0,0.0,1,0,70,81,86.4,5,69,0,0,0
d61ddb04,Paris S-G,Gianluigi Donnarumma,99,ITA,GK,25-045,90,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,0,0,21,27,77.8,0,21,0,0,0
d61ddb04,Barcelona,Robert Lewandowski,9,POL,FW,35-233,90,0,0,0,0,2,0,0,0,45,3,0,2,0.4,0.4,0.1,9,2,28,32,87.5,9,31,2,0,0
d61ddb04,Barcelona,Raphinha,11,BRA,LW,27-118,75,2,0,0,0,6,4,0,0,39,0,0,2,0.7,0.7,0.1,5,0,18,24,75.0,1,26,5,3,2
d61ddb04,Barcelona,Ferrán Torres,7,ESP,RW,24-041,15,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,3,8,37.5,1,6,1,0,0
d61ddb04,Barcelona,Lamine Yamal,27,ESP,RW,16-272,60,0,0,0,0,2,0,0,0,30,1,1,1,0.1,0.1,0.2,2,0,14,19,73.7,2,26,3,4,3
d61ddb04,Barcelona,João Félix,14,POR,"LW,RW",24-152,30,0,0,0,0,1,1,0,0,20,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,19,1,1,0
d61ddb04,Barcelona,Frenkie de Jong,21,NED,LM,26-334,75,0,0,0,0,0,0,0,0,43,1,0,1,0.0,0.0,0.0,0,0,36,39,92.3,2,30,0,0,0
d61ddb04,Barcelona,Andreas Christensen,15,DEN,CM,28-000,15,1,0,0,0,1,1,1,0,5,2,0,0,0.6,0.6,0.0,0,0,1,2,50.0,0,3,0,0,0
d61ddb04,Barcelona,Sergi Roberto,20,ESP,CM,32-063,60,0,0,0,0,0,0,1,0,32,1,1,0,0.0,0.0,0.0,1,0,20,26,76.9,3,19,0,1,1
d61ddb04,Barcelona,Pedri,8,ESP,"LM,CM",21-137,30,0,1,0,0,0,0,0,0,23,3,0,1,0.0,0.0,0.3,2,1,17,17,100.0,2,17,0,0,0
d61ddb04,Barcelona,İlkay Gündoğan,22,GER,RM,33-169,85,0,1,0,0,1,0,0,0,37,1,1,1,0.0,0.0,0.9,4,1,26,34,76.5,2,19,0,0,0
d61ddb04,Barcelona,Fermin López,32,ESP,RM,20-335,5,0,0,0,0,0,0,1,0,7,2,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
d61ddb04,Barcelona,João Cancelo,2,POR,LB,29-319,90,0,0,0,0,2,0,0,0,62,5,2,1,0.1,0.1,0.0,3,0,43,49,87.8,1,42,1,5,3
d61ddb04,Barcelona,Pau Cubarsí,33,ESP,CB,17-079,90,0,0,0,0,0,0,1,0,61,1,0,1,0.0,0.0,0.0,2,2,47,53,88.7,1,45,0,0,0
d61ddb04,Barcelona,Ronald Araújo,4,URU,CB,25-034,90,0,0,0,0,0,0,0,0,32,0,2,5,0.0,0.0,0.0,0,0,18,21,85.7,0,16,0,0,0
d61ddb04,Barcelona,Jules Koundé,23,FRA,RB,25-150,90,0,0,0,0,0,0,0,0,53,2,1,1,0.0,0.0,0.0,1,0,38,42,90.5,1,32,1,2,1
d61ddb04,Barcelona,Marc-André ter Stegen,1,GER,GK,31-346,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,26,42,61.9,0,39,0,0,0
