match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
fd04df87,Galatasaray,Mauro Icardi,9,ARG,FW,30-283,90,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,9,14,64.3,1,7,0,0,0
fd04df87,Galatasaray,Wilfried Zaha,14,CIV,LW,31-019,87,0,0,0,0,3,1,0,0,26,3,0,0,0.2,0.2,0.1,4,0,12,16,75.0,1,19,2,4,2
fd04df87,Galatasaray,Kerem Demirbay,8,GER,DM,30-149,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,1,0
fd04df87,Galatasaray,Hakim Ziyech,22,MAR,RW,30-255,81,2,1,0,0,4,2,0,0,53,1,1,3,0.2,0.2,0.1,4,2,29,42,69.0,4,40,2,1,0
fd04df87,Galatasaray,Barış Alper Yılmaz,53,TUR,RW,23-190,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,2,0,0,0
fd04df87,Galatasaray,Dries Mertens,10,BEL,AM,36-207,59,0,0,0,0,1,0,0,0,31,0,1,3,0.0,0.0,0.5,3,0,17,27,63.0,1,17,0,0,0
fd04df87,Galatasaray,Kerem Aktürkoğlu,7,TUR,"AM,LW",25-039,31,1,0,0,0,2,2,0,0,13,0,0,0,0.1,0.1,0.0,0,0,5,10,50.0,0,10,1,1,0
fd04df87,Galatasaray,Tanguy Ndombele,91,FRA,DM,26-336,59,0,0,0,0,1,0,0,0,24,2,0,1,0.1,0.1,0.0,0,0,16,16,100.0,2,15,0,1,0
fd04df87,Galatasaray,Sérgio Oliveira,27,POR,"DM,AM",31-180,31,0,0,0,0,1,1,0,0,23,1,0,1,0.0,0.0,0.0,1,0,17,20,85.0,5,18,2,2,2
fd04df87,Galatasaray,Lucas Torreira,34,URU,DM,27-291,90,0,0,0,0,2,1,0,0,65,1,1,0,0.2,0.2,0.1,4,2,49,55,89.1,3,39,2,0,0
fd04df87,Galatasaray,Angeliño,3,ESP,LB,26-329,82,0,0,0,0,0,0,0,0,50,2,0,0,0.0,0.0,0.0,1,0,28,42,66.7,2,20,1,1,1
fd04df87,Galatasaray,Victor Nelsson,25,DEN,CB,25-046,8,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0
fd04df87,Galatasaray,Abdülkerim Bardakcı,42,TUR,"CB,LB",29-083,90,0,0,0,0,1,0,0,0,78,6,1,1,0.5,0.5,0.0,2,0,48,61,78.7,4,51,2,1,0
fd04df87,Galatasaray,Kaan Ayhan,23,TUR,CB,29-019,90,0,0,0,0,1,0,1,0,70,1,3,1,0.3,0.3,0.0,2,1,50,61,82.0,8,57,2,0,0
fd04df87,Galatasaray,Sacha Boey,93,FRA,RB,23-077,90,0,0,0,0,0,0,1,0,64,2,0,0,0.0,0.0,0.0,5,1,43,52,82.7,3,38,5,3,1
fd04df87,Galatasaray,Fernando Muslera,1,URU,GK,37-166,90,0,0,0,0,0,0,0,0,62,0,0,0,0.0,0.0,0.0,0,0,42,54,77.8,0,37,0,0,0
fd04df87,Manchester Utd,Rasmus Højlund,11,DEN,FW,20-298,57,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,1,1,8,8,100.0,0,8,0,2,0
fd04df87,Manchester Utd,Anthony Martial,9,FRA,FW,27-359,33,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.1,2,0,9,10,90.0,2,9,2,2,1
fd04df87,Manchester Utd,Alejandro Garnacho,17,ARG,LW,19-151,77,1,0,0,0,4,1,0,0,21,2,1,2,0.3,0.3,0.1,2,0,4,5,80.0,0,13,1,3,0
fd04df87,Manchester Utd,Facundo Pellistri,28,URU,LW,21-344,13,0,0,0,0,3,1,0,0,9,0,0,0,0.4,0.4,0.0,2,0,4,4,100.0,0,6,1,1,1
fd04df87,Manchester Utd,Antony,21,BRA,RW,23-278,90,0,0,0,0,0,0,0,0,43,1,1,3,0.0,0.0,0.1,6,1,24,33,72.7,5,28,2,6,2
fd04df87,Manchester Utd,Bruno Fernandes,8,POR,AM,29-082,90,1,1,0,0,2,1,1,0,59,3,1,1,0.0,0.0,0.5,8,1,30,47,63.8,6,33,3,0,0
fd04df87,Manchester Utd,Sofyan Amrabat,4,MAR,DM,27-100,57,0,0,0,0,0,0,1,0,26,0,0,2,0.0,0.0,0.0,0,0,19,20,95.0,0,16,1,0,0
fd04df87,Manchester Utd,Kobbie Mainoo,37,ENG,DM,18-224,33,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,8,1,1,1
fd04df87,Manchester Utd,Scott McTominay,39,SCO,DM,26-356,90,1,0,0,0,5,1,0,0,32,2,0,1,0.6,0.6,0.0,2,0,19,22,86.4,2,23,3,1,1
fd04df87,Manchester Utd,Luke Shaw,23,ENG,LB,28-140,90,0,1,0,0,1,0,1,0,50,1,1,2,0.0,0.0,0.1,4,1,27,40,67.5,4,22,2,0,0
fd04df87,Manchester Utd,Victor Lindelöf,2,SWE,CB,29-135,90,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,2,1,26,33,78.8,2,15,0,0,0
fd04df87,Manchester Utd,Harry Maguire,5,ENG,CB,30-269,90,0,0,0,0,0,0,0,0,48,0,3,3,0.0,0.0,0.0,0,0,27,38,71.1,2,22,0,0,0
fd04df87,Manchester Utd,Aaron Wan-Bissaka,29,ENG,RB,26-003,77,0,1,0,0,0,0,1,0,51,2,4,1,0.0,0.0,0.3,1,1,32,34,94.1,2,21,1,4,1
fd04df87,Manchester Utd,Diogo Dalot,20,POR,RB,24-256,13,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,1,0,4,9,44.4,1,5,1,1,0
fd04df87,Manchester Utd,André Onana,24,CMR,GK,27-241,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,2,0,25,41,61.0,1,29,0,0,0
