match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
1ad7d8f7,Manchester Utd,Rasmus Højlund,11,DEN,FW,20-241,90,2,0,0,0,2,2,0,0,23,0,1,1,0.9,0.9,0.3,4,0,11,16,68.8,0,16,3,3,3
1ad7d8f7,Manchester Utd,Marcus Rashford,10,ENG,LW,25-337,67,0,1,0,0,0,0,0,0,35,0,0,1,0.0,0.0,0.6,2,1,16,29,55.2,3,25,5,3,2
1ad7d8f7,Manchester Utd,Alejandro Garnacho,17,ARG,LW,19-094,23,0,0,0,0,1,0,0,0,14,0,0,0,0.2,0.2,0.0,1,0,9,12,75.0,0,10,1,1,1
1ad7d8f7,Manchester Utd,Bruno Fernandes,8,POR,"RW,RM",29-025,90,0,0,0,0,5,1,0,0,73,1,0,2,0.4,0.4,0.2,3,0,35,54,64.8,7,37,1,7,4
1ad7d8f7,Manchester Utd,Mason Mount,7,ENG,LM,24-266,84,0,0,0,0,4,1,0,0,46,1,1,0,0.5,0.5,0.0,2,0,30,36,83.3,3,28,3,0,0
1ad7d8f7,Manchester Utd,Antony,21,BRA,RW,23-221,6,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,5,0,3,1
1ad7d8f7,Manchester Utd,Casemiro,18,BRA,CM,31-222,76,0,0,0,0,3,0,2,1,71,2,1,2,0.2,0.2,0.0,2,1,41,56,73.2,7,41,1,2,1
1ad7d8f7,Manchester Utd,Hannibal Mejbri,46,TUN,RM,20-255,45,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,15,21,71.4,3,18,0,3,1
1ad7d8f7,Manchester Utd,Christian Eriksen,14,DEN,"RM,LM",31-231,45,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.3,5,0,31,47,66.0,7,29,0,1,0
1ad7d8f7,Manchester Utd,Sofyan Amrabat,4,MAR,LB,27-043,88,0,0,0,0,1,1,0,0,64,0,2,4,0.1,0.1,0.1,3,0,39,54,72.2,2,29,1,0,0
1ad7d8f7,Manchester Utd,Anthony Martial,9,FRA,LB,27-302,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
1ad7d8f7,Manchester Utd,Victor Lindelöf,2,SWE,CB,29-078,90,0,0,0,0,0,0,0,0,56,0,0,3,0.0,0.0,0.0,0,0,40,47,85.1,5,23,1,1,0
1ad7d8f7,Manchester Utd,Raphaël Varane,19,FRA,CB,30-161,90,0,0,0,0,0,0,0,0,53,2,2,1,0.0,0.0,0.0,0,0,37,44,84.1,2,32,0,1,0
1ad7d8f7,Manchester Utd,Diogo Dalot,20,POR,RB,24-199,90,0,0,0,0,0,0,1,0,61,2,0,2,0.0,0.0,0.0,2,0,39,50,78.0,0,34,3,3,0
1ad7d8f7,Manchester Utd,André Onana,24,CMR,GK,27-184,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,26,42,61.9,0,33,0,0,0
1ad7d8f7,Galatasaray,Mauro Icardi,9,ARG,FW,30-226,90,1,0,0,1,3,2,0,0,27,1,0,0,1.5,0.7,0.0,1,1,11,17,64.7,1,15,1,0,0
