match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
29206b1b,PSV Eindhoven,Luuk de Jong,9,NED,FW,33-037,90,1,0,1,1,7,1,1,0,37,0,0,1,1.5,0.7,0.1,3,1,12,24,50.0,2,15,1,0,0
29206b1b,PSV Eindhoven,Noa Lang,7,NED,"LW,WB",24-108,90,0,0,0,0,6,3,0,0,70,2,0,1,0.4,0.4,0.4,9,0,33,44,75.0,7,49,16,17,10
29206b1b,PSV Eindhoven,Johan Bakayoko,11,BEL,RW,20-166,70,0,0,0,0,5,1,0,0,41,2,1,0,0.2,0.2,0.3,8,0,27,32,84.4,2,27,7,4,3
29206b1b,PSV Eindhoven,Hirving Lozano,27,MEX,"WB,RW",28-065,20,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.1,1,0,5,6,83.3,1,3,0,0,0
29206b1b,PSV Eindhoven,Joey Veerman,23,NED,LM,24-318,70,0,0,0,0,2,1,1,0,72,2,3,0,0.1,0.1,0.2,4,0,44,62,71.0,11,39,2,0,0
29206b1b,PSV Eindhoven,Ismael Saibari,34,MAR,"CM,LM",22-248,20,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,1,8,0,1,1
29206b1b,PSV Eindhoven,Jerdy Schouten,22,NED,CM,26-264,90,0,0,0,0,0,0,0,0,61,1,0,0,0.0,0.0,0.1,6,0,49,54,90.7,4,26,0,2,1
29206b1b,PSV Eindhoven,Malik Tillman,10,USA,"RM,CM",21-128,90,0,0,0,0,2,0,0,0,54,1,1,1,0.3,0.3,0.1,4,1,27,38,71.1,5,35,4,1,0
29206b1b,PSV Eindhoven,Sergiño Dest,8,USA,"LB,CB",22-334,90,0,0,0,0,0,0,0,0,56,3,1,0,0.0,0.0,0.0,2,0,42,47,89.4,6,24,1,2,1
29206b1b,PSV Eindhoven,Olivier Boscagli,18,FRA,CB,25-319,81,0,0,0,0,0,0,0,0,70,3,1,1,0.0,0.0,0.1,2,0,50,62,80.6,4,42,2,0,0
29206b1b,PSV Eindhoven,Ricardo Pepi,14,USA,FW,20-267,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,2,1,3,3,100.0,0,1,0,0,0
29206b1b,PSV Eindhoven,André Ramalho,5,BRA,CB,31-229,81,0,0,0,0,1,0,0,0,62,1,1,0,0.0,0.0,0.0,1,0,48,55,87.3,1,33,0,0,0
29206b1b,PSV Eindhoven,Armel Bella Kotchap,6,GER,CB,21-296,9,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
29206b1b,PSV Eindhoven,Jordan Teze,3,NED,"RB,CB",24-003,90,1,0,0,0,1,1,0,0,65,3,2,0,0.1,0.1,0.2,6,0,51,60,85.0,12,37,1,0,0
29206b1b,PSV Eindhoven,Walter Benítez,1,ARG,GK,30-257,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,15,21,71.4,0,11,0,0,0
29206b1b,Sevilla,Youssef En-Nesyri,15,MAR,FW,26-124,90,1,0,0,0,4,1,0,0,19,0,1,1,0.9,0.9,0.0,0,0,4,7,57.1,1,14,1,2,1
29206b1b,Sevilla,Dodi Lukebakio,11,BEL,"LW,RW",26-009,90,0,0,0,0,2,0,0,0,35,0,1,1,0.1,0.1,0.1,5,1,14,19,73.7,2,24,3,5,2
29206b1b,Sevilla,Lucas Ocampos,5,ARG,RW,29-084,85,0,0,0,0,1,0,0,0,37,2,2,0,0.0,0.0,0.0,1,0,11,24,45.8,3,24,1,5,1
29206b1b,Sevilla,Loïc Bade,22,FRA,CB,23-175,5,0,0,0,0,0,0,1,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
29206b1b,Sevilla,Suso,7,ESP,AM,29-318,65,0,0,0,0,2,0,0,0,22,1,0,0,0.1,0.1,0.0,2,0,13,15,86.7,0,16,4,1,1
29206b1b,Sevilla,Óliver Torres,21,ESP,"AM,LW",28-327,25,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,8,14,57.1,2,9,0,0,0
