match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2dd697fb,RB Leipzig,Loïs Openda,17,BEL,FW,23-230,69,1,0,0,0,2,1,0,0,13,0,0,1,0.4,0.4,0.0,1,1,5,9,55.6,0,12,2,0,0
2dd697fb,RB Leipzig,Timo Werner,11,GER,LW,27-212,21,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,9,1,0,0
2dd697fb,RB Leipzig,Xavi Simons,20,NED,"LW,RW",20-166,90,0,0,0,0,0,0,0,0,43,1,0,1,0.0,0.0,0.0,0,0,26,34,76.5,2,29,3,2,1
2dd697fb,RB Leipzig,Emil Forsberg,10,SWE,RW,31-346,69,0,0,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,0,0,11,16,68.8,5,13,1,1,0
2dd697fb,RB Leipzig,Benjamin Šeško,30,SVN,FW,20-126,21,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0
2dd697fb,RB Leipzig,Yussuf Poulsen,9,DEN,AM,29-111,74,0,1,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.4,2,1,11,16,68.8,1,13,0,0,0
2dd697fb,RB Leipzig,Christoph Baumgartner,14,AUT,AM,24-064,16,0,0,0,0,1,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,7,9,77.8,2,6,1,0,0
2dd697fb,RB Leipzig,Xaver Schlager,24,AUT,DM,26-006,90,0,0,0,0,0,0,1,0,49,6,1,0,0.0,0.0,0.0,0,0,28,38,73.7,3,26,1,1,1
2dd697fb,RB Leipzig,Nicolas Seiwald,13,AUT,DM,22-153,84,0,0,0,0,0,0,0,0,35,2,3,4,0.0,0.0,0.0,1,0,18,25,72.0,1,21,2,1,1
2dd697fb,RB Leipzig,Amadou Haidara,8,MLI,DM,25-246,6,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,6,0,0,0
2dd697fb,RB Leipzig,David Raum,22,GER,LB,25-165,90,0,0,0,0,0,0,1,0,50,0,3,1,0.0,0.0,0.0,0,0,32,41,78.0,1,24,2,1,0
2dd697fb,RB Leipzig,Castello Lukeba,23,FRA,CB,20-291,90,0,0,0,0,0,0,0,0,56,1,0,1,0.0,0.0,0.0,0,0,42,46,91.3,0,37,0,1,0
2dd697fb,RB Leipzig,Lukas Klostermann,16,GER,CB,27-123,90,0,0,0,0,0,0,0,0,70,0,2,2,0.0,0.0,0.0,0,0,51,54,94.4,0,46,0,0,0
2dd697fb,RB Leipzig,Mohamed Simakan,2,FRA,RB,23-154,90,0,0,0,0,0,0,0,0,37,2,3,2,0.0,0.0,0.0,0,0,20,27,74.1,1,14,1,1,0
2dd697fb,RB Leipzig,Janis Blaswich,21,GER,GK,32-155,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,40,40,100.0,0,26,0,0,0
2dd697fb,Manchester City,Erling Haaland,9,NOR,FW,23-075,90,0,0,0,0,6,2,0,0,24,0,0,0,0.7,0.7,0.1,3,1,10,15,66.7,1,15,1,2,1
2dd697fb,Manchester City,Jack Grealish,10,ENG,LW,28-024,71,0,0,0,0,0,0,0,0,52,0,1,1,0.0,0.0,0.1,2,0,44,49,89.8,3,38,3,0,0
2dd697fb,Manchester City,Nathan Aké,6,NED,CB,28-228,19,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,1,16,0,0,0
2dd697fb,Manchester City,Bernardo Silva,20,POR,RW,29-055,86,0,0,0,0,3,0,0,0,62,0,0,0,0.4,0.4,0.1,4,1,49,55,89.1,8,41,8,3,1
2dd697fb,Manchester City,Matheus Nunes,27,POR,RW,25-038,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
2dd697fb,Manchester City,Phil Foden,47,ENG,"CM,AM",23-129,78,1,0,0,0,6,1,0,0,75,0,1,0,0.5,0.5,0.8,6,0,55,64,85.9,7,49,1,1,1
2dd697fb,Manchester City,Julián Álvarez,19,ARG,AM,23-246,12,1,1,0,0,1,1,0,0,5,0,0,0,0.0,0.0,0.5,1,1,2,3,66.7,1,4,1,0,0
2dd697fb,Manchester City,Rico Lewis,82,ENG,"CM,DM",18-317,90,0,1,0,0,1,0,0,0,56,3,0,0,0.1,0.1,0.3,7,1,44,49,89.8,8,37,4,0,0
2dd697fb,Manchester City,Rodri,16,ESP,DM,27-104,90,0,0,0,0,0,0,0,0,122,0,1,0,0.0,0.0,0.0,3,0,107,118,90.7,15,77,2,2,2
2dd697fb,Manchester City,Manuel Akanji,25,SUI,DM,28-077,71,0,0,0,0,0,0,1,0,74,0,1,0,0.0,0.0,0.0,1,0,68,72,94.4,6,45,0,0,0
2dd697fb,Manchester City,Jeremy Doku,11,BEL,LW,21-130,19,1,1,0,0,1,1,0,0,15,0,0,0,0.5,0.5,0.0,1,1,11,11,100.0,1,14,4,2,0
2dd697fb,Manchester City,Joško Gvardiol,24,CRO,LB,21-254,90,0,0,0,0,0,0,0,0,133,1,1,1,0.0,0.0,0.0,4,1,119,126,94.4,4,92,5,3,1
2dd697fb,Manchester City,Rúben Dias,3,POR,CB,26-143,90,0,0,0,0,0,0,0,0,120,1,2,3,0.0,0.0,0.0,0,0,104,109,95.4,5,81,1,0,0
2dd697fb,Manchester City,Kyle Walker,2,ENG,RB,33-129,90,0,0,0,0,0,0,0,0,94,2,0,0,0.0,0.0,0.0,1,0,76,89,85.4,9,53,3,0,0
2dd697fb,Manchester City,Ederson,31,BRA,GK,30-048,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,29,31,93.5,0,16,0,0,0
