match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
5ee67d04,Real Madrid,Vinicius Júnior,7,BRA,FW,23-272,85,0,2,0,0,3,1,0,0,42,2,0,2,0.2,0.2,0.3,4,2,22,27,81.5,3,31,8,6,1
5ee67d04,Real Madrid,Joselu,14,ESP,FW,34-013,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
5ee67d04,Real Madrid,Rodrygo,11,BRA,LW,23-091,71,1,0,0,0,3,2,0,0,32,1,0,0,0.2,0.2,0.1,4,0,22,24,91.7,3,24,6,2,1
5ee67d04,Real Madrid,Brahim Díaz,21,MAR,LW,24-250,19,0,0,0,0,1,0,0,0,8,1,0,0,0.0,0.0,0.0,2,0,4,5,80.0,0,6,0,1,0
5ee67d04,Real Madrid,Federico Valverde,15,URU,RW,25-262,90,1,0,0,0,3,2,0,0,36,2,0,3,0.1,0.1,0.0,3,0,22,27,81.5,2,19,2,2,1
5ee67d04,Real Madrid,Jude Bellingham,5,ENG,AM,20-285,90,0,0,0,0,1,0,0,0,40,2,0,0,0.1,0.1,0.0,2,0,27,31,87.1,1,21,3,5,3
5ee67d04,Real Madrid,Toni Kroos,8,GER,DM,34-096,71,0,0,0,0,1,0,0,0,60,3,2,0,0.0,0.0,0.0,4,1,53,55,96.4,5,36,0,0,0
5ee67d04,Real Madrid,Luka Modrić,10,CRO,DM,38-213,19,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,2,1,23,29,79.3,1,19,1,0,0
5ee67d04,Real Madrid,Eduardo Camavinga,12,FRA,DM,21-151,90,0,0,0,0,1,0,0,0,52,3,1,2,0.0,0.0,0.0,1,0,36,41,87.8,2,27,2,3,1
5ee67d04,Real Madrid,Ferland Mendy,23,FRA,LB,28-306,90,0,0,0,0,0,0,0,0,30,0,1,0,0.0,0.0,0.0,0,0,23,26,88.5,2,16,1,1,1
5ee67d04,Real Madrid,Antonio Rüdiger,22,GER,CB,31-037,90,0,0,0,0,0,0,0,0,62,3,2,1,0.0,0.0,0.0,0,0,41,51,80.4,1,35,0,0,0
5ee67d04,Real Madrid,Aurélien Tchouaméni,18,FRA,CB,24-073,90,0,0,0,0,0,0,1,0,60,0,1,2,0.0,0.0,0.0,1,0,51,54,94.4,0,47,0,0,0
5ee67d04,Real Madrid,Dani Carvajal,2,ESP,RB,32-089,90,0,0,0,0,1,0,1,0,52,3,0,2,0.0,0.0,0.1,2,0,32,43,74.4,2,23,2,1,0
5ee67d04,Real Madrid,Andriy Lunin,13,UKR,GK,25-058,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,26,33,78.8,0,23,0,0,0
5ee67d04,Manchester City,Erling Haaland,9,NOR,FW,23-263,90,0,0,0,0,1,1,0,0,18,3,0,0,0.1,0.1,0.1,2,0,6,9,66.7,0,10,1,1,0
5ee67d04,Manchester City,Jack Grealish,10,ENG,LW,28-212,90,0,1,0,0,3,0,0,0,49,1,0,2,0.3,0.3,0.1,5,2,29,37,78.4,3,34,6,2,0
5ee67d04,Manchester City,Bernardo Silva,20,POR,RW,29-243,90,1,0,0,0,3,2,1,0,72,2,0,1,0.2,0.2,0.1,3,1,57,62,91.9,1,48,5,3,1
5ee67d04,Manchester City,Phil Foden,47,ENG,AM,23-317,86,1,0,0,0,3,2,0,0,55,0,0,0,0.2,0.2,0.0,1,1,43,48,89.6,2,39,4,1,1
5ee67d04,Manchester City,Julián Álvarez,19,ARG,AM,24-069,4,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,1,3,0,0,0
5ee67d04,Manchester City,Mateo Kovačić,8,CRO,DM,29-339,90,0,0,0,0,0,0,0,0,75,1,2,1,0.0,0.0,0.3,4,0,63,66,95.5,4,44,0,3,1
5ee67d04,Manchester City,Rodri,16,ESP,DM,27-292,90,0,0,0,0,1,0,0,0,135,4,1,0,0.1,0.1,0.0,2,0,118,127,92.9,15,88,8,1,1
5ee67d04,Manchester City,Joško Gvardiol,24,CRO,LB,22-077,90,1,0,0,0,1,1,0,0,85,4,3,2,0.0,0.0,0.1,3,1,67,74,90.5,2,59,2,0,0
5ee67d04,Manchester City,Rúben Dias,3,POR,CB,26-331,90,0,0,0,0,0,0,0,0,91,2,0,0,0.0,0.0,0.0,0,0,81,86,94.2,4,54,0,0,0
5ee67d04,Manchester City,John Stones,5,ENG,CB,29-317,90,0,1,0,0,0,0,0,0,71,1,1,0,0.0,0.0,0.1,2,1,61,64,95.3,6,44,4,0,0
5ee67d04,Manchester City,Manuel Akanji,25,SUI,RB,28-265,90,0,0,0,0,0,0,1,0,89,4,0,1,0.0,0.0,0.0,0,0,83,86,96.5,4,61,2,0,0
5ee67d04,Manchester City,Stefan Ortega,18,GER,GK,31-155,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,34,47,72.3,0,31,0,0,0
