match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
709875dc,Porto,Mehdi Taremi,9,IRN,FW,31-112,68,0,0,0,0,3,1,0,0,38,2,0,2,0.2,0.2,0.0,2,0,21,27,77.8,1,27,2,1,0
709875dc,Porto,Francisco Conceição,10,POR,RM,20-328,22,0,1,0,0,1,0,1,0,25,0,0,0,0.1,0.1,0.1,2,1,15,20,75.0,2,21,1,1,1
709875dc,Porto,Evanilson,30,BRA,FW,24-032,82,1,0,1,1,2,1,0,0,36,3,0,0,1.0,0.2,0.1,3,0,13,22,59.1,2,24,1,3,1
709875dc,Porto,Fran Navarro,21,ESP,FW,25-277,8,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0
709875dc,Porto,Pepê,11,BRA,"LM,FW",26-256,90,0,0,0,0,3,1,0,0,62,2,0,2,0.4,0.4,0.1,3,1,31,41,75.6,5,43,3,5,3
709875dc,Porto,Stephen Eustáquio,6,CAN,CM,26-321,90,0,0,0,0,0,0,0,0,69,1,1,0,0.0,0.0,0.1,3,1,58,64,90.6,7,50,2,0,0
709875dc,Porto,Alan Varela,22,ARG,"CM,DM",22-126,90,0,0,0,0,1,0,0,0,126,2,0,1,0.0,0.0,0.0,5,1,110,118,93.2,13,104,1,1,1
709875dc,Porto,André Franco,20,POR,"RM,LM",25-209,81,0,0,0,0,2,0,0,0,53,0,0,1,0.6,0.6,0.1,3,0,35,42,83.3,7,38,1,2,1
709875dc,Porto,Danny Loader,19,CMR,"CM,LM",23-071,9,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,8,1,2,0
709875dc,Porto,Zaidu Sanusi,12,NGA,LB,26-147,82,0,0,0,0,2,1,0,0,73,1,0,1,0.1,0.1,0.0,2,0,50,60,83.3,2,43,2,1,0
709875dc,Porto,Jorge Eduardo Sánchez,15,MEX,RB,25-332,8,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.2,1,0,16,17,94.1,5,13,0,0,0
709875dc,Porto,David Carmo,4,ANG,CB,24-111,90,0,0,0,0,0,0,1,0,94,1,2,0,0.0,0.0,0.0,1,0,80,88,90.9,2,71,0,0,0
709875dc,Porto,Pepe,3,POR,CB,40-254,90,1,0,0,0,1,1,0,0,108,1,0,0,0.1,0.1,0.0,0,0,94,106,88.7,12,91,0,1,1
709875dc,Porto,João Mário Lopes,23,POR,"RB,LB",23-308,90,0,0,0,0,0,0,0,0,74,4,1,3,0.0,0.0,0.6,4,0,50,60,83.3,7,49,5,3,3
709875dc,Porto,Diogo Costa,99,POR,GK,24-049,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,29,0,0,0
