match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
91220b87,Bayern Munich,Harry Kane,9,ENG,FW,30-277,90,1,0,1,1,4,1,0,0,26,0,0,2,1.1,0.3,0.2,4,0,13,18,72.2,4,16,4,1,1
91220b87,Bayern Munich,Leroy Sané,10,GER,"LW,RW",28-110,86,1,0,0,0,3,2,0,0,25,0,0,0,0.2,0.2,0.1,2,0,19,20,95.0,1,21,4,4,4
91220b87,Bayern Munich,Alphonso Davies,19,CAN,LW,23-180,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,4,0,1,0
91220b87,Bayern Munich,Jamal Musiala,42,GER,"RW,LW,AM",21-064,90,0,0,0,0,2,0,0,0,49,1,2,0,0.1,0.1,0.1,5,1,31,37,83.8,5,36,6,7,5
91220b87,Bayern Munich,Thomas Müller,25,GER,AM,34-230,79,0,0,0,0,0,0,0,0,38,2,0,2,0.0,0.0,0.1,3,1,26,32,81.3,4,17,3,0,0
91220b87,Bayern Munich,Serge Gnabry,7,GER,"RW,AM",28-291,11,0,0,0,0,1,0,0,0,5,0,0,1,0.1,0.1,0.0,1,0,1,2,50.0,0,1,1,1,0
91220b87,Bayern Munich,Leon Goretzka,8,GER,DM,29-084,45,0,0,0,0,1,0,0,0,43,0,1,1,0.1,0.1,0.0,0,0,37,39,94.9,5,29,2,1,1
91220b87,Bayern Munich,Raphaël Guerreiro,22,POR,DM,30-130,45,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,0,0,33,33,100.0,2,16,0,0,0
91220b87,Bayern Munich,Konrad Laimer,27,AUT,DM,26-339,90,0,1,0,0,0,0,0,0,84,3,1,1,0.0,0.0,0.1,4,1,76,78,97.4,10,51,4,0,0
91220b87,Bayern Munich,Noussair Mazraoui,40,MAR,LB,26-168,90,0,0,0,0,0,0,1,0,57,4,0,1,0.0,0.0,0.1,4,1,45,48,93.8,4,30,2,0,0
