match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c72308dd,Barcelona,Robert Lewandowski,9,POL,FW,35-204,90,1,0,0,0,3,2,0,0,27,1,0,0,0.8,0.8,0.0,4,0,13,20,65.0,2,11,1,1,0
c72308dd,Barcelona,Raphinha,11,BRA,LW,27-089,80,0,1,0,0,4,3,0,0,40,4,0,0,0.3,0.3,0.3,5,2,21,30,70.0,3,21,7,2,0
c72308dd,Barcelona,João Félix,14,POR,LW,24-123,10,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,2,3,2,2,1
c72308dd,Barcelona,Lamine Yamal,27,ESP,RW,16-243,90,0,0,0,0,5,1,1,0,44,1,2,3,0.3,0.3,0.3,5,0,20,28,71.4,2,31,6,5,3
c72308dd,Barcelona,İlkay Gündoğan,22,GER,"LM,AM",33-140,90,0,0,0,0,2,1,0,0,83,0,1,4,0.0,0.0,0.1,9,1,60,68,88.2,9,43,1,4,2
c72308dd,Barcelona,Andreas Christensen,15,DEN,CM,27-337,60,0,0,0,0,1,0,1,0,23,2,1,0,0.1,0.1,0.0,0,0,13,15,86.7,0,4,0,0,0
c72308dd,Barcelona,Oriol Romeu,18,ESP,DM,32-170,30,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,16,18,88.9,2,10,0,0,0
c72308dd,Barcelona,Fermin López,32,ESP,RM,20-306,59,1,0,0,0,4,1,0,0,35,3,1,1,0.5,0.5,0.1,3,0,13,19,68.4,0,20,1,2,1
c72308dd,Barcelona,Sergi Roberto,20,ESP,DM,32-034,31,0,1,0,0,1,0,0,0,33,0,0,2,0.0,0.0,1.2,4,1,22,26,84.6,5,10,0,0,0
c72308dd,Barcelona,João Cancelo,2,POR,LB,29-290,90,1,0,0,0,2,1,0,0,75,4,2,3,0.1,0.1,0.1,4,1,46,57,80.7,4,32,3,7,3
c72308dd,Barcelona,Pau Cubarsí,33,ESP,CB,17-050,90,0,0,0,0,1,0,0,0,79,3,1,0,0.0,0.0,0.2,3,0,61,68,89.7,2,50,0,0,0
