match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c82e57be,Real Madrid,Jude Bellingham,5,ENG,"FW,AM",20-251,84,0,1,0,0,3,0,0,0,51,0,0,0,0.2,0.2,0.3,2,1,32,40,80.0,4,35,2,3,2
c82e57be,Real Madrid,Joselu,14,ESP,FW,33-345,6,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,4,0,0,0
c82e57be,Real Madrid,Vinicius Júnior,7,BRA,"LW,FW",23-238,90,1,0,0,0,1,1,1,0,49,1,0,1,0.3,0.3,0.0,2,0,23,31,74.2,0,28,2,8,4
c82e57be,Real Madrid,Federico Valverde,15,URU,"RM,RW",25-228,90,0,0,0,0,1,0,0,0,57,1,1,1,0.0,0.0,0.2,4,0,43,51,84.3,7,35,1,0,0
c82e57be,Real Madrid,Eduardo Camavinga,12,FRA,LM,21-117,45,0,0,0,0,1,0,0,0,33,1,1,2,0.0,0.0,0.0,0,0,22,24,91.7,2,23,0,1,1
c82e57be,Real Madrid,Rodrygo,11,BRA,"FW,RW",23-057,45,0,0,0,0,3,2,0,0,18,0,0,3,0.1,0.1,0.2,4,0,7,8,87.5,0,12,4,3,1
c82e57be,Real Madrid,Toni Kroos,8,GER,"CM,LM",34-062,76,0,0,0,0,0,0,1,0,82,4,1,0,0.0,0.0,0.0,4,1,69,77,89.6,4,56,0,2,2
c82e57be,Real Madrid,Luka Modrić,10,CRO,LM,38-179,14,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,11,11,100.0,4,8,0,0,0
c82e57be,Real Madrid,Aurélien Tchouaméni,18,FRA,"CM,RM",24-039,90,0,0,0,0,0,0,1,0,69,1,0,2,0.0,0.0,0.0,2,0,57,60,95.0,3,46,0,0,0
c82e57be,Real Madrid,Ferland Mendy,23,FRA,LB,28-272,90,0,0,0,0,0,0,0,0,49,2,1,2,0.0,0.0,0.0,0,0,36,39,92.3,2,27,1,2,1
c82e57be,Real Madrid,Nacho,6,ESP,CB,34-048,90,0,0,0,0,0,0,0,0,67,0,0,1,0.0,0.0,0.0,0,0,59,61,96.7,0,35,0,0,0
c82e57be,Real Madrid,Antonio Rüdiger,22,GER,CB,31-003,90,0,0,0,0,0,0,0,0,57,1,0,3,0.0,0.0,0.0,0,0,43,49,87.8,1,34,0,0,0
c82e57be,Real Madrid,Dani Carvajal,2,ESP,RB,32-055,90,0,0,0,0,1,0,0,0,69,1,1,1,0.0,0.0,0.0,2,0,52,60,86.7,4,40,2,1,1
c82e57be,Real Madrid,Andriy Lunin,13,UKR,GK,25-024,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,21,31,67.7,0,18,0,0,0
c82e57be,RB Leipzig,Loïs Openda,17,BEL,FW,24-019,76,0,0,0,0,5,0,0,0,27,0,0,2,0.3,0.3,0.0,0,0,9,17,52.9,1,17,2,1,1
c82e57be,RB Leipzig,Yussuf Poulsen,9,DEN,FW,29-265,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,0,1,0,0,0
c82e57be,RB Leipzig,Benjamin Šeško,30,SVN,FW,20-280,84,0,0,0,0,1,1,0,0,22,0,0,1,0.0,0.0,0.0,1,0,13,15,86.7,3,16,0,1,0
