match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
d2093046,Young Boys,Jean-Pierre Nsame,18,CMR,FW,30-211,73,0,0,0,0,3,0,0,0,31,1,0,0,0.2,0.2,0.1,4,0,14,20,70.0,4,22,0,0,0
d2093046,Young Boys,Silvère Ganvoula M'Boussy,35,CGO,FW,27-159,17,0,0,0,0,1,0,0,0,10,0,0,0,0.2,0.2,0.0,1,0,4,7,57.1,0,7,0,1,0
d2093046,Young Boys,Meschak Elia,15,COD,"FW,LW",26-114,90,0,0,0,0,1,1,0,0,33,2,0,3,0.1,0.1,0.1,9,0,20,23,87.0,2,23,5,6,4
d2093046,Young Boys,Joel Monteiro,77,SUI,"LM,RM",24-115,73,0,0,0,0,1,1,0,0,25,4,2,0,0.1,0.1,0.0,1,0,13,16,81.3,1,12,0,3,2
d2093046,Young Boys,Miguel Chaiwa,14,ZAM,RM,19-174,17,0,0,0,0,1,1,0,0,10,1,0,2,0.0,0.0,0.0,1,0,5,8,62.5,2,5,0,0,0
d2093046,Young Boys,Cheikh Tidiane Niasse,20,SEN,"CM,LM",23-313,90,0,0,0,0,3,0,0,0,55,1,5,2,0.2,0.2,0.0,2,0,37,42,88.1,6,33,0,0,0
d2093046,Young Boys,Filip Ugrinic,7,SUI,CM,24-327,90,0,0,0,0,3,0,0,0,59,4,1,3,0.1,0.1,0.2,5,0,36,45,80.0,3,24,2,2,1
d2093046,Young Boys,Darian Males,39,SUI,RM,22-209,45,0,0,0,0,1,0,0,0,15,2,0,0,0.0,0.0,0.2,3,0,7,12,58.3,4,11,3,1,1
d2093046,Young Boys,Ebrima Colley,11,GAM,"LM,RW",23-300,45,0,0,0,0,2,0,0,0,25,3,0,0,0.1,0.1,0.0,1,0,6,13,46.2,1,13,1,0,0
d2093046,Young Boys,Ulisses Garcia,21,SUI,LB,27-321,90,0,0,0,0,2,1,0,0,88,1,1,0,0.0,0.0,0.2,9,0,56,80,70.0,6,55,3,2,2
d2093046,Young Boys,Loris Benito,23,SUI,CB,31-325,90,0,0,0,0,1,1,0,0,39,0,1,0,0.3,0.3,0.0,0,0,25,30,83.3,2,16,0,0,0
d2093046,Young Boys,Mohamed Aly Camara,13,GUI,CB,26-092,90,0,1,0,0,0,0,0,0,39,1,1,2,0.0,0.0,0.0,2,2,20,30,66.7,2,15,0,2,2
d2093046,Young Boys,Lewin Blum,27,SUI,RB,22-139,90,1,0,0,0,3,1,0,0,62,5,1,2,0.1,0.1,0.0,3,0,30,46,65.2,4,21,2,0,0
d2093046,Young Boys,Anthony Racioppi,1,SUI,GK,24-332,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,33,49,67.3,0,33,0,0,0
d2093046,Red Star,Cherif Ndiaye,9,SEN,FW,27-309,45,0,0,0,0,2,1,0,0,20,1,0,0,0.3,0.3,0.1,1,0,5,11,45.5,0,9,0,0,0
d2093046,Red Star,Jovan Mijatović,22,SRB,FW,18-140,45,0,0,0,0,2,0,0,0,11,0,0,0,0.6,0.6,0.0,1,0,6,7,85.7,0,7,0,1,1
