match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
dba6efee,Lens,Elye Wahi,9,FRA,FW,20-274,72,1,1,0,0,2,1,0,0,14,0,0,0,0.2,0.2,0.1,1,1,9,10,90.0,1,10,1,2,0
dba6efee,Lens,Wesley Saïd,22,FRA,FW,28-167,18,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,3,0,0,0
dba6efee,Lens,Adrien Thomasson,28,FRA,AM,29-297,72,1,0,0,0,3,1,0,0,39,0,0,2,0.2,0.2,0.2,3,0,20,32,62.5,3,25,1,1,0
dba6efee,Lens,Angelo Fulgini,11,FRA,AM,27-044,18,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.1,1,0,5,6,83.3,0,7,0,0,0
dba6efee,Lens,Florian Sotoca,7,FRA,AM,32-343,90,0,0,0,0,2,1,0,0,49,3,1,3,0.1,0.1,0.0,2,1,27,37,73.0,5,38,2,2,1
dba6efee,Lens,Salis Abdul Samed,6,GHA,CM,23-191,90,0,0,0,0,1,0,1,0,29,3,1,0,0.1,0.1,0.0,1,0,15,18,83.3,1,19,0,2,1
dba6efee,Lens,Nampalys Mendy,26,SEN,CM,31-102,72,0,0,0,0,0,0,0,0,40,1,0,0,0.0,0.0,0.0,3,0,35,37,94.6,3,31,0,1,0
dba6efee,Lens,Andy Diouf,18,FRA,CM,20-139,18,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,4,8,50.0,0,8,1,2,1
dba6efee,Lens,Deiver Machado,3,COL,WB,30-031,80,0,0,0,0,0,0,0,0,39,2,0,2,0.0,0.0,0.1,3,1,16,32,50.0,2,20,2,1,0
dba6efee,Lens,Ruben Aguilar,2,FRA,WB,30-160,10,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,1,0,0,0
dba6efee,Lens,Przemysław Frankowski,29,POL,WB,28-174,90,0,1,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.3,3,1,29,38,76.3,3,35,4,0,0
dba6efee,Lens,Facundo Medina,14,ARG,CB,24-128,90,0,0,0,0,0,0,0,0,50,1,1,3,0.0,0.0,0.0,0,0,31,41,75.6,1,37,0,1,0
dba6efee,Lens,Kevin Danso,4,AUT,CB,25-014,90,0,0,0,0,2,0,0,0,48,2,1,0,0.1,0.1,0.0,0,0,31,37,83.8,3,30,2,0,0
dba6efee,Lens,Jonathan Gradit,24,FRA,CB,30-313,90,0,0,0,0,0,0,0,0,50,1,2,3,0.0,0.0,0.0,1,0,34,40,85.0,4,32,2,0,0
dba6efee,Lens,Brice Samba,30,FRA,GK,29-161,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,19,31,61.3,0,24,0,0,0
dba6efee,Arsenal,Gabriel Jesus,9,BRA,FW,26-183,90,1,0,0,0,3,1,1,0,51,2,0,1,0.4,0.4,0.0,0,0,25,32,78.1,2,37,2,4,0
dba6efee,Arsenal,Leandro Trossard,19,BEL,LW,28-303,69,0,0,0,0,1,1,0,0,31,0,0,0,0.2,0.2,0.1,3,0,20,22,90.9,1,22,1,5,1
dba6efee,Arsenal,Reiss Nelson,24,ENG,LW,23-297,21,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.1,3,0,12,12,100.0,1,14,0,2,1
dba6efee,Arsenal,Bukayo Saka,7,ENG,RW,22-028,33,0,1,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.1,1,1,16,19,84.2,1,21,0,0,0
dba6efee,Arsenal,Fabio Vieira,21,POR,RW,23-126,57,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,27,31,87.1,3,32,1,1,1
dba6efee,Arsenal,Kai Havertz,29,GER,LM,24-114,69,0,0,0,0,1,1,0,0,30,2,1,1,0.2,0.2,0.2,1,0,17,20,85.0,4,23,2,0,0
dba6efee,Arsenal,Emile Smith Rowe,10,ENG,LM,23-067,21,0,0,0,0,2,1,0,0,16,1,0,0,0.1,0.1,0.0,2,0,10,12,83.3,2,14,0,0,0
dba6efee,Arsenal,Declan Rice,41,ENG,CM,24-262,90,0,0,0,0,0,0,0,0,123,2,3,1,0.0,0.0,0.0,1,0,104,114,91.2,9,105,4,4,4
dba6efee,Arsenal,Martin Ødegaard,8,NOR,RM,24-290,79,0,0,0,0,0,0,0,0,48,1,1,0,0.0,0.0,0.3,2,0,37,44,84.1,1,40,2,0,0
