match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e3d54c66,Real Madrid,Vinicius Júnior,7,BRA,FW,23-119,90,1,1,0,0,2,1,0,0,50,1,0,0,0.3,0.3,1.7,7,1,26,35,74.3,5,41,9,5,1
e3d54c66,Real Madrid,Rodrygo,11,BRA,FW,22-303,76,1,1,0,0,5,3,0,0,38,0,1,2,1.1,1.1,0.7,4,2,24,27,88.9,3,27,3,2,2
e3d54c66,Real Madrid,Joselu,14,ESP,FW,33-226,14,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
e3d54c66,Real Madrid,Brahim Díaz,21,MAR,AM,24-097,73,1,0,0,0,3,2,0,0,57,1,0,0,1.1,1.1,0.2,5,0,34,41,82.9,7,44,3,7,3
e3d54c66,Real Madrid,Luka Modrić,10,CRO,AM,38-060,17,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,4,12,1,0,0
e3d54c66,Real Madrid,Toni Kroos,8,GER,LM,33-308,90,0,0,0,0,0,0,0,0,94,2,0,0,0.0,0.0,0.3,5,0,85,92,92.4,11,75,0,0,0
e3d54c66,Real Madrid,Eduardo Camavinga,12,FRA,CM,20-363,90,0,0,0,0,1,0,0,0,66,4,2,1,0.0,0.0,0.0,0,0,37,46,80.4,5,49,2,5,4
e3d54c66,Real Madrid,Federico Valverde,15,URU,RM,25-109,76,0,0,0,0,5,0,0,0,60,3,2,2,0.7,0.7,0.0,4,1,40,42,95.2,9,47,6,2,2
e3d54c66,Real Madrid,Nicolás Paz,32,ARG,RM,19-061,14,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,8,10,80.0,0,11,0,5,4
e3d54c66,Real Madrid,Ferland Mendy,23,FRA,LB,28-153,83,0,0,0,0,0,0,0,0,63,0,0,1,0.0,0.0,0.0,4,1,55,59,93.2,7,47,0,0,0
e3d54c66,Real Madrid,Fran Garcia,20,ESP,LB,24-086,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,7,1,0,0
e3d54c66,Real Madrid,Nacho,6,ESP,CB,33-294,90,0,0,0,0,1,1,0,0,60,2,1,0,0.1,0.1,0.0,0,0,50,53,94.3,4,46,0,0,0
