match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
ef483d4d,Real Sociedad,Mohamed Ali Cho,11,FRA,FW,19-314,73,0,0,0,0,1,1,0,0,28,0,0,0,0.0,0.0,0.0,1,0,13,17,76.5,1,26,5,4,0
ef483d4d,Real Sociedad,Takefusa Kubo,14,JPN,"RW,FW",22-178,17,0,0,0,0,2,2,0,0,21,1,0,0,0.1,0.1,0.0,4,0,10,17,58.8,2,17,4,2,1
ef483d4d,Real Sociedad,Arsen Zakharyan,12,RUS,"LW,LM",20-187,90,0,0,0,0,3,1,0,0,81,2,0,2,0.2,0.2,0.1,7,0,53,69,76.8,9,59,4,5,1
ef483d4d,Real Sociedad,Mikel Oyarzabal,10,ESP,RW,26-222,79,0,0,0,0,1,1,0,0,22,2,0,0,0.1,0.1,0.2,5,0,16,16,100.0,3,16,2,1,0
ef483d4d,Real Sociedad,Umar Sadiq,19,NGA,FW,26-300,11,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,8,1,2,2
ef483d4d,Real Sociedad,Beñat Turrientes,22,ESP,"LM,RM",21-302,90,0,0,0,0,5,0,0,0,59,4,1,2,0.3,0.3,0.0,3,0,34,46,73.9,3,48,1,4,2
ef483d4d,Real Sociedad,Martín Zubimendi,4,ESP,CM,24-300,90,0,0,0,0,3,0,0,0,69,3,2,0,0.3,0.3,0.0,2,0,49,58,84.5,7,47,1,0,0
ef483d4d,Real Sociedad,Brais Méndez,23,ESP,RM,26-326,64,0,0,0,0,2,1,0,0,44,2,1,0,0.1,0.1,0.1,6,0,28,34,82.4,2,34,0,1,1
ef483d4d,Real Sociedad,Ander Barrenetxea,7,ESP,"RM,LW",21-337,26,0,0,0,0,1,0,0,0,18,3,0,0,0.0,0.0,0.2,3,0,8,11,72.7,1,13,0,3,3
ef483d4d,Real Sociedad,Aihen Muñoz,3,ESP,LB,26-105,90,0,0,0,0,1,0,0,0,104,2,1,0,0.0,0.0,0.0,1,0,68,89,76.4,12,70,2,1,0
ef483d4d,Real Sociedad,Igor Zubeldia,5,ESP,CB,26-244,90,0,0,0,0,1,0,0,0,100,0,1,2,0.0,0.0,0.0,4,0,82,93,88.2,9,82,1,0,0
ef483d4d,Real Sociedad,Aritz Elustondo,6,ESP,CB,29-246,45,0,0,0,0,0,0,1,0,55,0,0,0,0.0,0.0,0.0,1,0,49,53,92.5,4,46,0,1,1
ef483d4d,Real Sociedad,Jon Pacheco,20,ESP,CB,22-325,45,0,0,0,0,0,0,0,0,48,1,0,0,0.0,0.0,0.0,0,0,45,46,97.8,6,40,1,0,0
ef483d4d,Real Sociedad,Álvaro Odriozola,2,ESP,RB,27-350,73,0,0,0,0,0,0,0,0,60,1,0,0,0.0,0.0,0.0,1,0,53,55,96.4,2,39,3,2,0
ef483d4d,Real Sociedad,Hamari Traoré,18,MLI,RB,31-306,17,0,0,0,0,0,0,0,0,26,1,0,1,0.0,0.0,0.0,2,0,18,25,72.0,3,14,0,0,0
ef483d4d,Real Sociedad,Álex Remiro,1,ESP,GK,28-250,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,23,0,0,0
ef483d4d,RB Salzburg,Petar Ratkov,21,SRB,FW,20-103,61,0,0,0,0,1,0,0,0,17,0,0,1,0.0,0.0,0.5,1,0,6,9,66.7,1,8,1,1,0
ef483d4d,RB Salzburg,Roko Simic,23,CRO,FW,20-080,29,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,4,0,0,0
ef483d4d,RB Salzburg,Oscar Gloukh,30,ISR,LW,19-242,77,0,0,0,0,0,0,0,0,31,3,0,1,0.0,0.0,0.0,0,0,19,23,82.6,4,25,2,0,0
ef483d4d,RB Salzburg,Amankwah Forson,32,GHA,LW,20-333,13,0,0,0,0,0,0,0,0,7,2,0,2,0.0,0.0,0.0,0,0,2,3,66.7,2,3,0,0,0
ef483d4d,RB Salzburg,Luka Sučić,10,CRO,RW,21-082,90,0,0,0,0,0,0,0,0,35,1,0,4,0.0,0.0,0.0,1,0,14,28,50.0,1,28,2,3,2
ef483d4d,RB Salzburg,Nene Dorgeles,45,MLI,AM,20-341,61,0,0,0,0,2,0,0,0,28,1,0,3,0.5,0.5,0.0,2,0,11,16,68.8,2,17,2,3,0
