match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
fe7df7b9,Real Sociedad,Ander Barrenetxea,7,ESP,FW,21-267,61,0,0,0,0,1,0,0,0,28,1,0,0,0.1,0.1,0.1,3,0,18,21,85.7,0,23,4,4,2
fe7df7b9,Real Sociedad,Mohamed Ali Cho,11,FRA,"LW,LM,FW",19-244,29,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,5,0,2,0
fe7df7b9,Real Sociedad,Mikel Oyarzabal,10,ESP,LW,26-152,71,0,0,0,0,1,1,0,0,14,0,0,0,0.2,0.2,0.0,0,0,10,11,90.9,0,11,1,0,0
fe7df7b9,Real Sociedad,Umar Sadiq,19,NGA,FW,26-230,19,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,5,0,3,0
fe7df7b9,Real Sociedad,Takefusa Kubo,14,JPN,RW,22-108,71,0,0,0,0,2,1,0,0,31,0,0,0,0.0,0.0,0.7,7,0,23,27,85.2,1,22,1,0,0
fe7df7b9,Real Sociedad,Álvaro Odriozola,2,ESP,"RW,RM",27-280,19,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0
fe7df7b9,Real Sociedad,Mikel Merino,8,ESP,"LM,CM",27-090,90,0,0,0,0,2,0,1,0,59,2,1,2,0.2,0.2,0.3,5,0,34,46,73.9,6,32,2,0,0
fe7df7b9,Real Sociedad,Martín Zubimendi,4,ESP,CM,24-230,90,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.0,3,0,35,43,81.4,6,22,1,1,1
fe7df7b9,Real Sociedad,Brais Méndez,23,ESP,RM,26-256,84,1,0,0,0,4,3,0,0,50,0,1,2,0.3,0.3,0.0,1,0,28,41,68.3,2,39,1,1,1
fe7df7b9,Real Sociedad,Jon Pacheco,20,ESP,CB,22-255,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
fe7df7b9,Real Sociedad,Kieran Tierney,17,SCO,LB,26-107,61,0,0,0,0,2,0,0,0,43,2,2,3,0.1,0.1,0.1,3,0,22,30,73.3,5,23,1,0,0
fe7df7b9,Real Sociedad,Aihen Muñoz,3,ESP,LB,26-035,29,0,0,0,0,0,0,0,0,12,1,1,0,0.0,0.0,0.0,0,0,4,7,57.1,2,2,0,0,0
fe7df7b9,Real Sociedad,Robin Le Normand,24,ESP,CB,26-313,90,0,0,0,0,2,0,0,0,41,1,3,0,0.5,0.5,0.0,0,0,27,32,84.4,3,26,0,0,0
fe7df7b9,Real Sociedad,Igor Zubeldia,5,ESP,CB,26-174,90,0,0,0,0,0,0,1,0,50,4,0,1,0.0,0.0,0.0,0,0,33,40,82.5,3,28,1,2,1
fe7df7b9,Real Sociedad,Hamari Traoré,18,MLI,RB,31-236,90,0,0,0,0,0,0,1,0,58,1,0,1,0.0,0.0,0.0,1,0,44,51,86.3,4,32,0,0,0
fe7df7b9,Real Sociedad,Álex Remiro,1,ESP,GK,28-180,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,20,36,55.6,0,21,0,1,0
fe7df7b9,Inter,Marko Arnautović,8,AUT,FW,34-154,54,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,5,11,45.5,0,7,0,1,0
fe7df7b9,Inter,Marcus Thuram,9,FRA,FW,26-045,36,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,3,4,75.0,1,6,1,2,0
fe7df7b9,Inter,Lautaro Martínez,10,ARG,FW,26-029,90,1,0,0,0,3,1,0,0,23,1,0,1,0.4,0.4,0.0,1,0,11,15,73.3,1,7,0,0,0
fe7df7b9,Inter,Henrikh Mkhitaryan,22,ARM,CM,34-242,68,0,0,0,0,0,0,1,0,33,2,0,1,0.0,0.0,0.0,0,0,25,29,86.2,0,16,1,1,0
fe7df7b9,Inter,Alexis Sánchez,70,CHI,AM,34-275,22,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.1,1,0,10,16,62.5,3,7,0,0,0
fe7df7b9,Inter,Kristjan Asllani,21,ALB,CM,21-195,54,0,0,0,0,0,0,1,0,30,1,0,0,0.0,0.0,0.0,0,0,24,28,85.7,1,15,0,0,0
fe7df7b9,Inter,Davide Frattesi,16,ITA,"CM,RM",23-333,36,0,1,0,0,1,0,1,0,18,2,0,0,0.0,0.0,0.4,1,1,10,12,83.3,1,10,0,0,0
fe7df7b9,Inter,Nicolò Barella,23,ITA,CM,26-225,90,0,0,0,0,0,0,0,0,58,2,0,2,0.0,0.0,0.0,3,0,35,45,77.8,5,29,0,1,0
fe7df7b9,Inter,Carlos Augusto,30,BRA,"WB,LM",24-256,90,0,0,0,0,0,0,0,0,52,3,0,1,0.0,0.0,0.1,1,0,33,44,75.0,6,28,5,1,0
fe7df7b9,Inter,Denzel Dumfries,2,NED,"WB,RB",27-155,90,0,0,0,0,0,0,0,0,46,1,0,2,0.0,0.0,0.0,1,0,26,38,68.4,0,20,2,2,2
fe7df7b9,Inter,Alessandro Bastoni,95,ITA,CB,24-160,54,0,0,0,0,0,0,0,0,48,0,0,1,0.0,0.0,0.0,0,0,30,42,71.4,0,23,0,1,1
fe7df7b9,Inter,Federico Dimarco,32,ITA,"CB,LB",25-314,36,0,0,0,0,1,0,0,0,36,0,1,1,0.0,0.0,0.0,1,0,27,33,81.8,0,25,2,0,0
fe7df7b9,Inter,Stefan de Vrij,6,NED,CB,31-227,75,0,0,0,0,0,0,0,0,66,2,0,2,0.0,0.0,0.0,0,0,50,54,92.6,1,28,0,0,0
