match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
1b1f3de6,LASK,Robert Žulj,10,AUT,FW,31-228,90,0,0,0,0,1,0,1,0,33,5,0,2,0.1,0.1,0.1,4,1,13,21,61.9,7,13,0,2,0
1b1f3de6,LASK,Elias Havel,24,AUT,LW,20-158,67,0,0,0,0,1,1,1,0,12,0,0,1,0.0,0.0,0.0,1,0,4,9,44.4,2,5,2,3,3
1b1f3de6,LASK,Ibrahim Mustapha,23,GHA,LW,23-095,23,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,5,0,2,0
1b1f3de6,LASK,Marin Ljubicic,9,CRO,RW,21-205,68,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.0,2,0,5,11,45.5,0,13,0,2,1
1b1f3de6,LASK,Moussa Koné,11,SEN,RW,26-265,22,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,0,0,0
1b1f3de6,LASK,René Renner,7,AUT,LM,29-296,87,0,0,0,0,0,0,0,0,53,5,1,2,0.0,0.0,0.1,1,0,21,38,55.3,0,19,2,3,1
1b1f3de6,LASK,George Bello,2,USA,LM,21-242,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0
1b1f3de6,LASK,Sascha Horvath,30,AUT,CM,27-030,90,0,1,0,0,0,0,0,0,62,2,0,1,0.0,0.0,0.0,3,1,29,48,60.4,11,26,0,4,3
1b1f3de6,LASK,Branko Jovičić,18,SRB,CM,30-187,90,0,0,0,0,1,0,0,0,40,3,0,1,0.0,0.0,0.0,3,0,20,29,69.0,1,7,0,0,0
1b1f3de6,LASK,Florian Flecker,29,AUT,RM,27-327,88,1,0,0,0,1,1,0,0,52,2,3,0,0.0,0.0,0.0,0,0,18,35,51.4,1,17,3,5,2
1b1f3de6,LASK,Sanoussy Ba,25,GER,RM,19-259,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0
1b1f3de6,LASK,Felix Luckeneder,33,AUT,CB,29-184,79,0,0,0,0,0,0,0,0,29,3,2,3,0.0,0.0,0.0,0,0,14,17,82.4,1,8,0,0,0
1b1f3de6,LASK,Ebrima Darboe,55,GAM,CB,22-107,11,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,4,6,66.7,1,2,0,0,0
1b1f3de6,LASK,Andrés Andrade Cedeño,16,PAN,CB,24-340,90,0,0,0,0,1,0,0,0,40,5,2,0,0.0,0.0,0.0,0,0,14,22,63.6,2,11,0,0,0
1b1f3de6,LASK,Philipp Ziereis,5,GER,CB,30-191,90,0,0,0,0,1,0,1,0,45,2,0,1,0.0,0.0,0.0,0,0,19,31,61.3,1,13,1,0,0
1b1f3de6,LASK,Tobias Lawal,1,AUT,GK,23-106,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,19,27,70.4,0,6,0,0,0
1b1f3de6,Liverpool,Darwin Núñez,9,URU,FW,24-089,90,1,1,1,1,4,1,0,0,36,1,0,0,1.2,0.4,0.2,4,2,16,21,76.2,2,22,2,8,2
1b1f3de6,Liverpool,Luis Díaz,7,COL,LW,26-251,90,1,0,0,0,2,1,0,0,59,3,0,2,0.5,0.5,0.0,2,1,36,46,78.3,2,35,3,3,1
1b1f3de6,Liverpool,Ben Doak,50,SCO,RW,17-314,60,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,12,15,80.0,1,16,2,7,3
1b1f3de6,Liverpool,Dominik Szoboszlai,8,HUN,"RM,RW",22-331,30,0,0,0,0,0,0,0,0,34,1,0,1,0.0,0.0,0.0,4,0,26,28,92.9,6,18,2,2,0
1b1f3de6,Liverpool,Wataru Endo,3,JPN,LM,30-224,60,0,0,0,0,1,0,0,0,48,1,0,1,0.0,0.0,0.0,0,0,30,38,78.9,4,22,1,1,0
1b1f3de6,Liverpool,Alexis Mac Allister,10,ARG,"CM,LM",24-271,30,0,0,0,0,0,0,0,0,24,1,0,2,0.0,0.0,0.0,0,0,17,20,85.0,3,15,0,0,0
1b1f3de6,Liverpool,Ryan Gravenberch,38,NED,CM,21-128,73,0,1,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.6,5,1,24,34,70.6,5,30,3,5,0
1b1f3de6,Liverpool,Mohamed Salah,11,EGY,RW,31-098,17,1,0,0,0,2,1,0,0,16,0,0,0,0.4,0.4,0.0,1,0,6,12,50.0,1,8,1,2,1
1b1f3de6,Liverpool,Harvey Elliott,19,ENG,"RM,LM",20-170,90,0,0,0,0,3,1,0,0,56,1,0,2,0.1,0.1,0.1,3,2,36,45,80.0,8,34,0,2,1
1b1f3de6,Liverpool,Kostas Tsimikas,21,GRE,LB,27-132,90,0,0,0,0,1,0,0,0,82,1,3,0,0.0,0.0,0.0,2,0,47,64,73.4,4,49,4,1,0
1b1f3de6,Liverpool,Virgil van Dijk,4,NED,CB,32-075,90,0,0,0,0,0,0,0,0,88,1,2,2,0.0,0.0,0.2,2,0,69,78,88.5,3,51,0,1,1
1b1f3de6,Liverpool,Ibrahima Konaté,5,FRA,CB,24-119,81,0,0,0,0,0,0,1,0,75,3,2,0,0.0,0.0,0.0,0,0,61,66,92.4,1,46,0,0,0
1b1f3de6,Liverpool,Joël Matip,32,CMR,CB,32-044,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0
1b1f3de6,Liverpool,Stefan Bajcetic,43,ESP,RB,18-334,60,0,0,0,0,0,0,1,0,57,1,0,0,0.0,0.0,0.1,2,0,43,51,84.3,8,32,0,2,1
1b1f3de6,Liverpool,Joe Gomez,2,ENG,RB,26-121,30,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,17,22,77.3,1,14,3,0,0
1b1f3de6,Liverpool,Caoimhín Kelleher,62,IRL,GK,24-302,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,37,44,84.1,0,34,0,0,0
