match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
1e6b3712,Toulouse,Thijs Dallinga,9,NED,FW,23-063,76,0,1,0,0,3,1,0,0,18,1,0,0,0.4,0.4,0.2,3,1,7,10,70.0,0,17,1,2,1
1e6b3712,Toulouse,Denis Genreau,5,AUS,LM,24-137,14,0,0,0,0,1,0,0,0,10,1,0,0,0.0,0.0,0.5,1,0,5,6,83.3,1,5,2,2,1
1e6b3712,Toulouse,Gelabert,11,ESP,LM,22-339,60,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,20,25,80.0,1,25,2,1,1
1e6b3712,Toulouse,Frank Magri,19,CMR,"FW,LM",24-031,30,0,0,0,0,0,0,0,0,7,2,0,2,0.0,0.0,0.0,0,0,1,5,20.0,0,6,2,0,0
1e6b3712,Toulouse,Vincent Sierro,8,SUI,CM,27-362,90,0,0,0,0,2,0,0,0,51,1,0,3,0.1,0.1,0.0,1,0,32,40,80.0,4,39,0,2,1
1e6b3712,Toulouse,Niklas Schmidt,20,GER,CM,25-218,89,0,0,0,0,1,0,1,0,61,1,1,0,0.0,0.0,0.3,6,0,44,54,81.5,5,53,1,3,1
1e6b3712,Toulouse,Waren Kamanzi,12,NOR,CM,22-328,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
1e6b3712,Toulouse,Aron Dønnum,15,NOR,RM,25-168,76,0,0,0,0,1,0,0,0,33,0,0,1,0.0,0.0,0.1,2,0,19,29,65.5,5,30,2,4,3
1e6b3712,Toulouse,Yanis Begraoui,14,MAR,RM,22-093,14,0,0,0,0,1,0,0,0,14,1,0,0,0.5,0.5,0.0,0,0,6,10,60.0,0,11,0,2,1
1e6b3712,Toulouse,Cristian Cásseres Jr.,24,VEN,DM,23-258,90,0,0,0,0,0,0,1,0,57,4,2,3,0.0,0.0,0.0,2,0,41,44,93.2,5,37,0,2,1
