match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
7933e9bf,Ajax,Brian Brobbey,9,NED,FW,21-232,84,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.1,1,0,11,16,68.8,1,16,1,1,0
7933e9bf,Ajax,Chuba Akpom,10,ENG,FW,27-347,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,4,0,0,0
7933e9bf,Ajax,Steven Bergwijn,7,NED,LW,25-348,89,0,0,0,0,3,1,0,0,43,0,0,0,0.7,0.7,0.0,4,1,27,32,84.4,4,30,4,3,1
7933e9bf,Ajax,Jakov Medić,18,CRO,"CM,LW",25-014,1,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
7933e9bf,Ajax,Carlos Forbs,11,POR,RW,19-186,89,1,1,0,0,1,1,0,0,31,2,0,0,0.6,0.6,0.8,3,1,21,23,91.3,7,22,3,3,1
7933e9bf,Ajax,Gastón Ávila,30,ARG,"CB,RW",21-356,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0
7933e9bf,Ajax,Kenneth Taylor,8,NED,"LM,CM",21-128,90,1,0,0,0,5,2,0,0,42,3,0,1,1.1,1.1,0.1,4,0,25,28,89.3,6,28,1,0,0
7933e9bf,Ajax,Benjamin Tahirovic,33,BIH,CM,20-202,45,0,0,0,0,0,0,0,0,26,2,0,1,0.0,0.0,0.0,1,1,18,22,81.8,0,18,0,0,0
7933e9bf,Ajax,Silvano Vos,24,NED,CM,18-189,44,0,0,0,0,0,0,2,1,22,0,0,2,0.0,0.0,0.0,0,0,16,17,94.1,3,14,0,1,1
7933e9bf,Ajax,Steven Berghuis,23,NED,RM,31-276,84,1,0,0,0,1,1,1,0,60,0,0,0,0.1,0.1,0.1,6,1,41,57,71.9,9,49,2,2,2
7933e9bf,Ajax,Branco van den Boomen,21,NED,"RM,CM",28-062,6,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,1,7,0,0,0
7933e9bf,Ajax,Borna Sosa,25,CRO,LB,25-243,90,0,1,0,0,0,0,0,0,55,2,1,0,0.0,0.0,0.2,3,1,33,46,71.7,4,39,3,2,1
7933e9bf,Ajax,Jorrel Hato,4,NED,CB,17-198,90,0,0,0,0,2,0,0,0,94,0,1,3,0.1,0.1,0.0,0,0,79,83,95.2,5,76,0,1,1
7933e9bf,Ajax,Josip Šutalo,37,CRO,CB,23-205,90,0,0,0,0,0,0,0,0,87,0,0,0,0.0,0.0,0.0,0,0,76,83,91.6,4,79,1,0,0
7933e9bf,Ajax,Anton Gaaei,3,DEN,RB,20-306,90,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.0,1,0,35,45,77.8,3,37,3,4,2
7933e9bf,Ajax,Jay Gorter,12,NED,GK,23-114,90,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,1,1,49,58,84.5,0,51,0,0,0
7933e9bf,Marseille,Pierre-Emerick Aubameyang,10,GAB,"FW,LW",34-095,78,2,0,0,0,6,4,0,0,29,1,0,2,0.6,0.6,0.0,0,0,16,17,94.1,1,16,0,1,0
7933e9bf,Marseille,Joaquín Correa,20,ARG,LW,29-039,12,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,4,6,66.7,1,6,0,0,0
7933e9bf,Marseille,Amine Harit,11,MAR,"LW,RW",26-095,79,0,2,0,0,1,1,0,0,41,1,0,0,0.1,0.1,0.6,8,2,26,32,81.3,6,36,1,2,2
7933e9bf,Marseille,François Mughe,24,CMR,FW,19-097,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,5,0,1,0
7933e9bf,Marseille,Iliman Ndiaye,29,SEN,RW,23-199,64,0,0,0,0,2,0,0,0,28,0,0,0,0.2,0.2,0.1,7,1,20,23,87.0,2,27,5,2,1
7933e9bf,Marseille,Jordan Veretout,27,FRA,LM,30-204,26,0,1,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.2,3,1,8,13,61.5,3,11,1,0,0
7933e9bf,Marseille,Geoffrey Kondogbia,19,CTA,LM,30-218,64,0,0,0,0,0,0,0,0,50,3,1,0,0.0,0.0,0.1,1,0,40,43,93.0,2,39,0,1,1
7933e9bf,Marseille,Vitinha,9,POR,FW,23-190,26,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,0,1,0
7933e9bf,Marseille,Valentin Rongier,21,FRA,CM,28-288,90,0,0,0,0,3,2,0,0,75,1,2,4,0.2,0.2,0.2,5,0,55,59,93.2,5,56,0,0,0
7933e9bf,Marseille,Azzedine Ounahi,8,MAR,RM,23-155,90,0,0,0,0,8,4,0,0,66,0,0,1,0.8,0.8,0.3,6,1,52,56,92.9,3,62,3,2,2
7933e9bf,Marseille,Renan Lodi,12,BRA,LB,25-166,79,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,2,0,31,37,83.8,1,29,3,2,2
7933e9bf,Marseille,Leonardo Balerdi,5,ARG,LB,24-238,11,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,1,0,3,4,75.0,2,4,1,0,0
7933e9bf,Marseille,Chancel Mbemba,99,COD,CB,29-044,90,0,0,0,0,0,0,0,0,67,2,0,2,0.0,0.0,0.0,1,1,53,58,91.4,5,49,1,0,0
7933e9bf,Marseille,Samuel Gigot,4,FRA,CB,29-344,90,0,0,0,0,1,0,1,0,56,3,0,3,0.1,0.1,0.0,0,0,38,44,86.4,4,37,0,0,0
7933e9bf,Marseille,Jonathan Clauss,7,FRA,RB,30-361,90,1,0,0,0,2,1,0,0,74,3,0,0,0.2,0.2,0.5,6,0,54,65,83.1,13,50,5,0,0
7933e9bf,Marseille,Pau López,16,ESP,GK,28-282,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,26,31,83.9,0,22,0,0,0
