match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
882df7fa,Sporting CP,Viktor Gyökeres,9,SWE,FW,25-193,45,1,0,0,0,2,1,0,0,17,1,0,0,0.5,0.5,0.0,3,0,7,9,77.8,0,14,2,2,0
882df7fa,Sporting CP,Marcus Edwards,10,ENG,AM,25-011,45,0,1,0,0,2,0,0,0,30,0,0,0,0.3,0.3,0.2,5,1,15,23,65.2,2,19,3,5,2
882df7fa,Sporting CP,Paulinho,20,POR,"FW,AM",31-035,90,0,0,0,0,2,0,0,0,44,0,0,1,0.1,0.1,0.1,5,1,23,28,82.1,0,26,3,4,2
882df7fa,Sporting CP,Francisco Trincão,17,POR,AM,23-350,90,0,0,0,0,2,1,0,0,50,2,1,2,0.1,0.1,0.1,2,0,23,31,74.2,4,28,2,5,1
882df7fa,Sporting CP,Morten Hjulmand,42,DEN,CM,24-172,45,0,0,0,0,1,0,0,0,33,1,2,1,0.0,0.0,0.0,0,0,17,24,70.8,0,14,0,0,0
882df7fa,Sporting CP,Hidemasa Morita,5,JPN,CM,28-218,45,0,0,0,0,1,0,0,0,42,1,1,1,0.0,0.0,0.1,1,0,33,38,86.8,3,22,0,0,0
882df7fa,Sporting CP,Daniel Bragança,23,POR,CM,24-201,90,0,0,0,0,0,0,0,0,56,4,0,3,0.0,0.0,0.0,1,0,38,46,82.6,3,31,1,4,3
882df7fa,Sporting CP,Nuno Santos,11,POR,WB,28-304,74,0,0,0,0,1,1,0,0,43,0,1,0,0.1,0.1,0.0,2,0,33,41,80.5,4,26,2,0,0
882df7fa,Sporting CP,Pedro Gonçalves,8,POR,WB,25-169,16,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,20,25,80.0,1,13,2,0,0
882df7fa,Sporting CP,Ricardo Esgaio,47,POR,WB,30-212,55,0,0,0,0,0,0,0,0,66,4,2,0,0.0,0.0,0.0,0,0,40,55,72.7,2,29,0,1,0
882df7fa,Sporting CP,Dario Essugo,14,POR,WB,18-275,35,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.2,1,0,21,27,77.8,2,15,2,3,3
882df7fa,Sporting CP,Matheus Reis,2,BRA,CB,28-299,45,0,1,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.5,2,2,42,46,91.3,5,36,2,1,1
882df7fa,Sporting CP,Gonçalo Inácio,25,POR,CB,22-111,45,2,0,0,0,2,2,0,0,73,0,0,1,0.5,0.5,0.0,2,0,66,69,95.7,5,53,0,1,1
882df7fa,Sporting CP,Sebastián Coates,4,URU,CB,33-068,90,0,0,0,0,1,0,0,0,96,0,0,0,0.2,0.2,0.0,1,1,82,93,88.2,5,67,0,1,1
882df7fa,Sporting CP,Luís Neto,13,POR,CB,35-202,90,0,0,0,0,0,0,0,0,119,2,2,1,0.0,0.0,0.0,0,0,95,108,88.0,6,63,0,1,0
882df7fa,Sporting CP,Franco Israel,12,URU,GK,23-236,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,28,29,96.6,0,14,0,0,0
882df7fa,Sturm Graz,Seedy Jatta,20,NOR,FW,20-271,56,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,2,0,4,5,80.0,1,6,1,2,0
882df7fa,Sturm Graz,William Vick,15,DEN,AM,20-288,34,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,1,0
882df7fa,Sturm Graz,Otar Kiteishvili,10,GEO,AM,27-263,74,0,0,0,0,0,0,0,0,39,4,1,0,0.0,0.0,0.0,0,0,15,20,75.0,0,13,1,2,0
882df7fa,Sturm Graz,Javier Serrano,14,ESP,RM,20-332,16,0,0,0,0,0,0,0,0,5,0,1,1,0.0,0.0,0.0,0,0,2,3,66.7,1,1,0,0,0
882df7fa,Sturm Graz,Manprit Sarkaria,11,AUT,"AM,FW",27-110,81,0,0,0,0,1,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,12,22,54.5,3,13,2,5,4
882df7fa,Sturm Graz,Szymon Włodarczyk,9,POL,FW,20-343,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0
882df7fa,Sturm Graz,Alexander Prass,8,AUT,LM,22-202,90,0,0,0,0,1,0,0,0,50,5,2,3,0.0,0.0,0.0,0,0,20,36,55.6,1,18,0,1,1
882df7fa,Sturm Graz,Jon Gorenc Stanković,4,SVN,CM,27-334,90,0,0,0,0,0,0,1,0,41,2,0,1,0.0,0.0,0.0,2,0,22,32,68.8,5,10,0,1,0
882df7fa,Sturm Graz,Tomi Horvat,19,SVN,"RM,AM",24-265,82,0,0,0,0,0,0,0,0,27,3,1,0,0.0,0.0,0.2,1,0,14,18,77.8,4,16,1,2,0
882df7fa,Sturm Graz,Stefan Hierländer,25,AUT,AM,32-314,8,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0
882df7fa,Sturm Graz,David Schnegg,28,AUT,LB,25-076,90,0,0,0,0,0,0,0,0,70,3,4,5,0.0,0.0,0.0,0,0,24,51,47.1,1,24,2,3,1
