match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c0b7f5c8,Panathinaikos,Fotis Ioannidis,7,GRE,FW,23-338,90,1,0,0,0,5,3,0,0,36,0,0,0,0.5,0.5,0.2,2,0,17,22,77.3,1,23,3,6,2
c0b7f5c8,Panathinaikos,Aitor Cantalapiedra,22,ESP,LW,27-307,88,0,0,0,0,4,1,0,0,44,1,2,0,0.4,0.4,0.1,7,0,21,33,63.6,4,21,4,3,2
c0b7f5c8,Panathinaikos,Andraž Šporar,9,SVN,LW,29-290,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,1,0,3,3,100.0,0,2,0,0,0
c0b7f5c8,Panathinaikos,Sebastián Palacios,34,ARG,RW,31-328,68,0,0,0,0,2,0,0,0,28,0,0,0,0.2,0.2,0.0,3,0,14,22,63.6,5,19,2,0,0
c0b7f5c8,Panathinaikos,Daniel Mancini,17,ARG,RW,27-033,22,0,0,0,0,1,1,0,0,26,1,0,0,0.2,0.2,0.0,4,0,14,23,60.9,1,19,4,3,3
c0b7f5c8,Panathinaikos,Bernard,10,BRA,AM,31-097,90,0,0,0,0,1,0,1,0,79,3,1,1,0.0,0.0,0.2,6,0,42,65,64.6,11,39,4,4,1
c0b7f5c8,Panathinaikos,Tonny Vilhena,52,NED,DM,28-345,68,0,0,0,0,1,0,0,0,44,3,1,2,0.1,0.1,0.0,2,0,28,33,84.8,6,19,2,1,0
c0b7f5c8,Panathinaikos,Adam Gnezda Čerin,16,SVN,DM,24-151,22,0,0,0,0,1,0,0,0,32,1,0,1,0.0,0.0,0.0,0,0,25,27,92.6,5,19,1,1,1
c0b7f5c8,Panathinaikos,Willian Arão,55,BRA,DM,31-011,90,0,1,0,0,3,0,0,0,58,1,0,2,0.2,0.2,0.2,1,1,43,52,82.7,8,36,2,1,1
c0b7f5c8,Panathinaikos,Juankar,3,ESP,LB,33-259,80,0,0,0,0,1,1,1,0,44,0,0,0,0.1,0.1,0.2,3,0,34,41,82.9,1,16,4,1,1
c0b7f5c8,Panathinaikos,Filip Mladenović,25,SRB,LB,32-121,10,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.2,1,0,8,12,66.7,1,10,1,2,2
c0b7f5c8,Panathinaikos,Tin Jedvaj,21,CRO,CB,28-016,90,0,0,0,0,2,0,0,0,46,0,1,1,0.1,0.1,0.0,2,0,34,39,87.2,8,22,2,0,0
c0b7f5c8,Panathinaikos,Bart Schenkeveld,5,NED,CB,32-108,90,0,0,0,0,0,0,0,0,51,1,0,1,0.0,0.0,0.0,1,0,42,43,97.7,1,16,0,0,0
c0b7f5c8,Panathinaikos,Georgios Vagiannidis,2,GRE,RB,22-093,90,0,0,0,0,0,0,0,0,90,1,0,1,0.0,0.0,0.3,6,0,73,83,88.0,15,48,7,2,1
c0b7f5c8,Panathinaikos,Yuri Lodygin,12,RUS,GK,33-202,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,21,28,75.0,0,13,0,0,0
c0b7f5c8,Maccabi Haifa,Dean David,21,ISR,FW,27-275,66,1,0,0,0,2,1,0,0,24,0,0,1,1.0,1.0,0.1,1,0,10,16,62.5,2,12,1,1,0
