match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
1e479935,Slavia Prague,Mojmir Chytil,13,CZE,FW,24-159,90,2,1,0,0,4,3,0,0,35,2,0,1,0.8,0.8,0.0,4,2,13,17,76.5,5,21,0,3,0
1e479935,Slavia Prague,Ivan Schranz,26,SVK,FW,30-022,65,1,0,0,0,1,1,0,0,39,0,0,1,0.2,0.2,0.1,1,0,22,31,71.0,5,25,4,1,0
1e479935,Slavia Prague,Mick van Buren,14,NED,FW,31-042,25,0,0,0,0,2,1,0,0,12,0,1,2,0.2,0.2,0.1,3,0,5,7,71.4,1,9,1,0,0
1e479935,Slavia Prague,Conrad Wallem,6,NOR,AM,23-118,65,0,1,0,0,0,0,0,0,58,1,0,0,0.0,0.0,0.4,4,2,37,52,71.2,4,42,6,2,0
1e479935,Slavia Prague,Boluwatife Ogungbayi,24,NGA,AM,19-142,25,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.1,2,0,6,10,60.0,1,6,0,2,0
1e479935,Slavia Prague,Oscar Dorley,19,LBR,CM,25-078,90,0,0,0,0,1,0,0,0,56,0,2,1,0.1,0.1,0.0,1,0,38,50,76.0,3,28,0,2,1
1e479935,Slavia Prague,Christos Zafeiris,10,GRE,CM,20-224,65,0,0,0,0,1,0,0,0,38,2,0,0,0.1,0.1,0.1,1,0,30,32,93.8,5,21,2,3,3
1e479935,Slavia Prague,Lukáš Provod,17,CZE,CM,26-347,25,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.2,3,0,22,27,81.5,4,12,2,0,0
1e479935,Slavia Prague,Andres Dumitrescu,22,ROU,WB,22-208,90,0,0,0,0,1,0,0,0,55,0,1,1,0.1,0.1,0.1,4,1,38,48,79.2,5,26,1,2,1
1e479935,Slavia Prague,David Doudera,21,CZE,WB,25-127,65,1,1,0,0,2,1,0,0,42,2,0,0,0.8,0.8,0.2,1,1,24,34,70.6,3,20,1,1,0
