match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
25d48427,Villarreal,Alexander Sørloth,11,NOR,FW,27-304,84,1,0,0,0,2,2,0,0,32,0,0,1,0.1,0.1,0.0,0,0,11,17,64.7,2,17,2,2,1
25d48427,Villarreal,Ramón Terrats,20,ESP,LM,22-352,6,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,2,1,0,0,0
25d48427,Villarreal,Alex Baena,16,ESP,LW,22-077,56,0,0,0,0,1,0,1,0,27,2,1,0,0.1,0.1,0.0,2,1,12,17,70.6,2,19,1,1,0
25d48427,Villarreal,Alfonso Pedraza,24,ESP,LB,27-179,34,0,0,0,0,0,0,1,0,16,1,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,9,2,1,0
25d48427,Villarreal,Yeremi Pino,21,ESP,RW,20-350,56,0,0,0,0,0,0,1,0,22,1,1,1,0.0,0.0,0.0,1,0,12,15,80.0,1,11,2,2,0
25d48427,Villarreal,José Luis Morales,15,ESP,"RW,FW",36-074,34,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,8,2,5,2
25d48427,Villarreal,Manu Trigueros,14,ESP,AM,31-353,73,0,0,0,0,1,0,0,0,20,1,0,1,0.0,0.0,0.0,0,0,12,15,80.0,1,11,0,1,0
25d48427,Villarreal,Santi Comesaña,4,ESP,"RM,AM",27-000,17,0,0,0,0,0,0,0,0,8,2,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,5,1,0,0
25d48427,Villarreal,Daniel Parejo,10,ESP,"DM,CM",34-172,90,0,0,0,0,0,0,0,0,53,2,0,2,0.0,0.0,0.1,3,0,42,46,91.3,5,34,0,0,0
25d48427,Villarreal,Étienne Capoue,6,FRA,"DM,CM",35-086,90,0,0,0,0,1,0,0,0,34,2,4,0,0.0,0.0,0.0,1,0,19,23,82.6,0,28,0,1,0
25d48427,Villarreal,Alberto Moreno,18,ESP,"LB,LW",31-092,84,0,0,0,0,0,0,1,0,47,2,0,2,0.0,0.0,0.1,1,0,30,37,81.1,2,29,4,0,0
25d48427,Villarreal,Raúl Albiol,3,ESP,CB,38-031,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
25d48427,Villarreal,Aïssa Mandi,23,ALG,CB,31-348,90,0,0,0,0,0,0,0,0,64,1,0,1,0.0,0.0,0.0,1,0,51,59,86.4,3,46,0,0,0
25d48427,Villarreal,Matteo Gabbia,2,ITA,CB,23-349,90,0,0,0,0,1,0,0,0,61,0,1,0,0.0,0.0,0.0,0,0,43,56,76.8,1,48,0,0,0
25d48427,Villarreal,Kiko Femenía,17,ESP,RB,32-245,90,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.0,0,0,31,37,83.8,1,26,0,4,2
25d48427,Villarreal,Pepe Reina,1,ESP,GK,41-035,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,25,39,64.1,0,26,0,0,0
25d48427,Rennes,Bertuğ Yıldırım,99,TUR,FW,21-085,63,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,9,9,100.0,0,7,0,0,0
25d48427,Rennes,Arnaud Kalimuendo,9,FRA,FW,21-258,27,0,0,0,0,1,0,0,0,5,0,0,0,0.2,0.2,0.1,3,0,3,3,100.0,0,4,0,0,0
