match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2fc064d4,Betis,Borja Iglesias,9,ESP,FW,30-296,58,1,0,0,0,3,1,0,0,27,0,0,0,0.7,0.7,0.0,0,0,12,23,52.2,0,8,0,0,0
2fc064d4,Betis,Ayoze Pérez,10,ESP,FW,30-103,32,0,1,0,0,0,0,0,0,14,1,0,2,0.0,0.0,0.1,1,1,6,9,66.7,1,7,2,2,0
2fc064d4,Betis,Abde Ezzalzouli,7,MAR,LW,21-327,90,1,0,0,0,2,1,0,0,48,1,0,1,0.3,0.3,0.0,3,2,28,35,80.0,1,23,5,11,5
2fc064d4,Betis,Luiz Henrique,11,BRA,RW,22-311,74,0,0,0,0,4,2,0,0,49,8,0,0,0.1,0.1,0.0,4,0,21,28,75.0,3,27,7,11,8
2fc064d4,Betis,Nabil Fekir,8,FRA,RW,30-114,16,0,1,0,1,0,0,0,0,13,0,0,0,0.8,0.0,0.0,0,0,9,11,81.8,1,5,1,0,0
2fc064d4,Betis,Rodri,17,ESP,AM,23-177,58,0,0,0,0,1,1,0,0,29,2,0,0,0.1,0.1,0.0,2,0,16,22,72.7,1,21,2,3,2
2fc064d4,Betis,Isco,22,ESP,AM,31-202,32,0,1,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.3,4,1,21,27,77.8,5,22,3,2,2
2fc064d4,Betis,Andrés Guardado,18,MEX,DM,37-042,58,0,0,0,0,0,0,0,0,55,1,2,2,0.0,0.0,0.1,3,0,39,44,88.6,5,22,1,1,0
2fc064d4,Betis,Guido Rodríguez,5,ARG,DM,29-211,32,0,0,0,0,0,0,1,0,23,0,1,2,0.0,0.0,0.0,1,1,19,22,86.4,1,10,0,0,0
2fc064d4,Betis,William Carvalho,14,POR,DM,31-216,90,0,0,0,0,1,1,0,0,86,4,1,2,0.0,0.0,0.0,3,0,69,76,90.8,6,40,0,3,2
2fc064d4,Betis,Abner,20,BRA,LB,23-166,90,0,1,0,0,0,0,0,0,59,2,0,1,0.0,0.0,0.5,2,1,41,52,78.8,6,22,3,1,1
2fc064d4,Betis,Marc Roca,21,ESP,CB,26-348,90,1,0,0,0,1,1,0,0,77,1,1,3,0.1,0.1,0.0,0,0,54,64,84.4,4,43,0,0,0
2fc064d4,Betis,Germán Pezzella,6,ARG,CB,32-135,83,0,0,0,0,0,0,0,0,67,1,1,0,0.0,0.0,0.0,0,0,57,60,95.0,1,44,0,0,0
2fc064d4,Betis,Enrique,40,ESP,CB,20-054,7,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,6,6,100.0,0,4,0,1,1
2fc064d4,Betis,Aitor Ruibal,24,ESP,RB,27-232,90,1,0,0,0,2,1,0,0,68,2,2,0,0.1,0.1,0.1,2,0,48,59,81.4,3,34,4,2,0
2fc064d4,Betis,Claudio Bravo,1,CHI,GK,40-210,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,26,29,89.7,0,21,0,0,0
2fc064d4,Aris Limassol FC,Shavy Babicka,80,GAB,FW,23-161,81,0,0,0,0,3,0,0,0,34,3,0,0,0.1,0.1,0.0,2,0,12,20,60.0,1,24,6,6,3
2fc064d4,Aris Limassol FC,Mariusz Stępiński,11,POL,FW,28-181,9,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,1,1
2fc064d4,Aris Limassol FC,Jaden Montnor,66,SUR,LW,21-092,45,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,0,0,4,11,36.4,0,6,1,4,2
2fc064d4,Aris Limassol FC,Leo Bengtsson,7,SWE,LW,25-167,45,0,1,0,0,0,0,0,0,17,1,0,2,0.0,0.0,0.0,1,1,8,12,66.7,2,10,1,3,2
2fc064d4,Aris Limassol FC,Mihlali Mayambela,21,RSA,RW,27-076,74,0,0,0,0,1,1,0,0,46,2,0,1,0.0,0.0,0.0,2,0,25,36,69.4,8,29,4,5,1
2fc064d4,Aris Limassol FC,Aleksandr Kokorin,9,RUS,RW,32-235,16,1,0,0,0,1,1,0,0,11,0,0,0,0.3,0.3,0.5,1,0,7,10,70.0,1,8,1,0,0
2fc064d4,Aris Limassol FC,Yannick Gomis,14,SEN,AM,31-279,90,0,0,0,0,2,1,0,0,47,0,0,0,0.5,0.5,0.0,2,0,35,41,85.4,2,33,1,1,0
2fc064d4,Aris Limassol FC,Július Szöke,37,SVK,DM,28-100,90,0,0,0,0,0,0,0,0,51,8,2,1,0.0,0.0,0.0,1,1,24,36,66.7,2,22,0,0,0
2fc064d4,Aris Limassol FC,Karol Struski,23,POL,DM,22-295,75,0,0,0,0,0,0,1,0,46,0,2,2,0.0,0.0,0.0,0,0,29,39,74.4,2,26,0,1,1
2fc064d4,Aris Limassol FC,Morgan Brown,8,ENG,DM,23-345,15,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,17,19,89.5,4,14,1,0,0
2fc064d4,Aris Limassol FC,Caju,3,BRA,LB,28-115,90,0,0,0,0,0,0,0,0,55,4,2,0,0.0,0.0,0.1,2,0,29,41,70.7,1,23,0,2,2
2fc064d4,Aris Limassol FC,Slobodan Urošević,72,SRB,CB,29-208,90,0,0,0,0,0,0,0,0,69,2,1,2,0.0,0.0,0.0,1,0,49,57,86.0,3,44,0,2,2
2fc064d4,Aris Limassol FC,Franz Brorsson,31,SWE,CB,27-283,45,0,0,0,0,0,0,0,0,33,0,1,3,0.0,0.0,0.0,0,0,22,23,95.7,0,17,0,0,0
2fc064d4,Aris Limassol FC,Alex Moucketou,5,GAB,CB,23-030,45,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,22,23,95.7,2,16,0,0,0
2fc064d4,Aris Limassol FC,Steeve Yago,20,BFA,RB,30-328,90,0,0,0,0,0,0,0,0,60,7,2,2,0.0,0.0,0.0,2,0,38,44,86.4,5,27,1,1,1
2fc064d4,Aris Limassol FC,Vaná,1,BRA,GK,32-198,90,0,0,0,0,0,0,0,0,45,1,0,0,0.0,0.0,0.0,0,0,30,40,75.0,0,29,0,0,0
