match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
42496c8f,Rangers,Cyriel Dessers,9,NGA,FW,29-097,76,0,0,0,0,2,0,0,0,16,2,0,0,0.3,0.3,0.1,5,0,9,10,90.0,0,5,0,2,1
42496c8f,Rangers,Kemar Roofe,25,JAM,FW,31-068,14,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0
42496c8f,Rangers,Fábio Silva,7,POR,LW,21-239,90,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.0,2,0,25,32,78.1,3,24,3,6,3
42496c8f,Rangers,Scott Wright,23,SCO,RW,26-219,72,0,0,0,0,1,0,0,0,32,1,0,1,0.0,0.0,0.2,4,0,12,22,54.5,5,12,5,5,3
42496c8f,Rangers,Rabbi Matondo,17,WAL,RW,23-187,18,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,2,1,0
42496c8f,Rangers,Tom Lawrence,11,WAL,AM,30-061,72,0,0,0,0,3,1,0,0,34,1,0,0,0.1,0.1,0.0,3,0,17,24,70.8,2,18,0,3,2
42496c8f,Rangers,Todd Cantwell,13,ENG,AM,26-016,18,0,0,0,0,1,0,0,0,15,0,1,0,0.1,0.1,0.0,0,0,5,11,45.5,0,6,0,0,0
42496c8f,Rangers,John Lundstram,4,ENG,DM,30-025,90,0,0,0,0,2,1,0,0,110,3,1,1,0.1,0.1,0.0,0,0,89,101,88.1,8,77,1,1,0
42496c8f,Rangers,Mohamed Diomandé,42,CIV,DM,22-136,84,0,0,0,0,1,1,0,0,67,1,0,0,0.0,0.0,0.0,1,0,46,59,78.0,3,42,1,2,0
42496c8f,Rangers,Nicolas Raskin,43,BEL,DM,23-020,6,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,8,8,100.0,1,6,1,0,0
42496c8f,Rangers,Rıdvan Yılmaz,3,TUR,LB,22-298,90,0,0,0,0,1,0,0,0,87,0,3,3,0.0,0.0,0.0,0,0,52,73,71.2,6,34,8,4,2
42496c8f,Rangers,John Souttar,5,SCO,CB,27-171,90,0,0,0,0,1,0,0,0,102,1,3,1,0.0,0.0,0.1,1,0,83,90,92.2,6,64,2,0,0
42496c8f,Rangers,Connor Goldson,6,ENG,CB,31-087,90,0,0,0,0,0,0,1,0,104,2,2,1,0.0,0.0,0.0,1,0,88,93,94.6,9,58,0,0,0
42496c8f,Rangers,James Tavernier,2,ENG,RB,32-135,90,0,0,0,0,0,0,0,0,99,6,2,2,0.0,0.0,0.2,4,0,57,79,72.2,2,40,1,1,0
42496c8f,Rangers,Jack Butland,1,ENG,GK,31-004,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,33,38,86.8,0,22,0,0,0
42496c8f,Benfica,Marcos Leonardo,36,BRA,FW,20-317,45,0,0,0,0,1,0,0,0,13,0,0,0,0.2,0.2,0.0,1,0,7,7,100.0,0,7,0,0,0
42496c8f,Benfica,Casper Tengstedt,19,DEN,FW,23-287,45,0,0,0,0,1,1,1,0,21,0,0,0,0.3,0.3,0.0,0,0,11,18,61.1,0,13,1,0,0
42496c8f,Benfica,David Neres,7,BRA,LW,27-011,63,0,0,0,0,1,0,0,0,36,1,0,2,0.0,0.0,0.1,2,0,20,25,80.0,5,20,4,1,1
42496c8f,Benfica,Orkun Kökçü,10,TUR,LW,23-076,27,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,1,9,1,1,0
42496c8f,Benfica,Ángel Di María,11,ARG,RW,36-029,89,0,1,0,0,4,0,0,0,68,2,0,2,0.2,0.2,0.7,8,1,37,49,75.5,4,36,6,3,1
42496c8f,Benfica,João Mário,20,POR,RW,31-055,1,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,2,1,1,1
42496c8f,Benfica,Rafa Silva,27,POR,AM,30-302,89,1,0,0,0,3,1,0,0,44,1,0,0,0.8,0.8,0.0,1,0,19,29,65.5,3,30,5,5,1
42496c8f,Benfica,Tiago Gouveia,47,POR,AM,22-270,1,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0
42496c8f,Benfica,Florentino Luís,61,POR,DM,24-208,90,0,0,0,0,0,0,0,0,67,3,4,2,0.0,0.0,0.0,3,1,46,51,90.2,1,21,0,0,0
42496c8f,Benfica,João Neves,87,POR,DM,19-169,90,0,0,0,0,2,0,0,0,69,5,2,0,0.1,0.1,0.0,3,0,41,51,80.4,5,34,2,4,3
42496c8f,Benfica,Fredrik Aursnes,8,NOR,LB,28-095,90,0,0,0,0,1,1,0,0,60,3,0,3,0.0,0.0,0.3,3,0,35,45,77.8,5,26,3,2,0
42496c8f,Benfica,Nicolás Otamendi,30,ARG,CB,36-031,90,0,0,0,0,0,0,0,0,61,3,4,3,0.0,0.0,0.0,0,0,36,42,85.7,3,20,1,0,0
42496c8f,Benfica,António Silva,4,POR,CB,20-136,90,0,0,0,0,0,0,0,0,51,1,1,0,0.0,0.0,0.0,0,0,31,35,88.6,1,23,0,2,1
42496c8f,Benfica,Alexander Bah,6,DEN,RB,26-096,90,0,0,0,0,1,1,0,0,64,2,1,4,0.1,0.1,0.0,2,0,37,48,77.1,3,21,1,0,0
42496c8f,Benfica,Anatolii Trubin,1,UKR,GK,22-226,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,24,37,64.9,0,19,0,0,0
