match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
8754228f,Ajax,Brian Brobbey,9,NED,FW,21-316,45,0,0,0,0,1,1,1,0,13,0,0,0,0.2,0.2,0.0,1,1,6,8,75.0,1,10,1,1,1
8754228f,Ajax,Ar'jany Martha,42,NED,FW,20-101,45,0,1,0,0,0,0,0,0,17,4,0,2,0.0,0.0,0.2,2,1,8,9,88.9,2,8,0,0,0
8754228f,Ajax,Carlos Forbs,11,POR,LW,19-270,61,0,0,0,0,0,0,0,0,27,0,1,1,0.0,0.0,0.2,3,0,9,19,47.4,4,16,3,1,0
8754228f,Ajax,Anton Gaaei,3,DEN,LW,21-025,29,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.0,0,0,2,9,22.2,0,2,0,0,0
8754228f,Ajax,Chuba Akpom,10,ENG,RW,28-066,90,2,0,0,0,8,5,0,0,35,0,1,0,1.9,1.9,0.0,5,0,15,20,75.0,4,26,8,1,0
8754228f,Ajax,Kenneth Taylor,8,NED,LM,21-212,90,1,0,0,0,1,1,0,0,35,4,1,0,0.4,0.4,0.0,1,0,27,28,96.4,4,22,2,0,0
8754228f,Ajax,Benjamin Tahirovic,33,BIH,CM,20-286,90,0,0,0,0,1,0,0,0,54,1,1,1,0.0,0.0,0.0,2,0,33,44,75.0,4,30,2,1,0
8754228f,Ajax,Kristian Nökkvi Hlynsson,38,ISL,RM,19-325,85,0,1,0,0,1,1,0,0,43,1,0,1,0.1,0.1,0.4,3,1,16,29,55.2,2,19,2,1,0
8754228f,Ajax,Georges Mikautadze,19,GEO,RM,23-044,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,1,0,0,0
8754228f,Ajax,Borna Sosa,25,CRO,LB,25-327,90,0,0,0,0,1,1,1,0,57,2,4,2,0.0,0.0,0.1,1,0,35,40,87.5,4,16,3,0,0
8754228f,Ajax,Jorrel Hato,4,NED,CB,17-282,90,0,1,0,0,0,0,1,0,61,3,0,2,0.0,0.0,0.4,2,2,40,49,81.6,4,29,1,0,0
8754228f,Ajax,Josip Šutalo,37,CRO,CB,23-289,90,0,0,0,0,0,0,1,0,55,0,5,1,0.0,0.0,0.0,0,0,34,41,82.9,2,31,1,2,2
8754228f,Ajax,Devyne Rensch,2,NED,RB,20-330,73,0,0,0,0,0,0,0,0,39,2,1,1,0.0,0.0,0.0,0,0,21,29,72.4,1,11,1,1,0
8754228f,Ajax,Tristan Gooijer,47,NED,RB,19-103,17,0,0,0,0,1,0,0,0,10,0,3,0,0.0,0.0,0.2,3,0,3,6,50.0,1,5,2,1,1
8754228f,Ajax,Diant Ramaj,40,GER,GK,22-086,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,30,44,68.2,0,26,0,0,0
8754228f,AEK Athens,Levi Garcia,7,TRI,FW,26-024,82,1,0,0,0,2,1,0,0,22,0,0,0,0.1,0.1,0.0,1,0,8,15,53.3,2,8,0,1,0
8754228f,AEK Athens,Jens Jønsson,6,DEN,DM,30-338,8,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,2,3,1,0,0
8754228f,AEK Athens,Nordin Amrabat,5,MAR,LW,36-258,60,0,0,0,0,2,1,1,0,34,1,0,2,0.1,0.1,0.0,0,0,13,23,56.5,1,22,2,2,1
8754228f,AEK Athens,Rodolfo Pizarro,70,MEX,LW,29-302,30,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,1,0,10,16,62.5,0,15,3,1,0
8754228f,AEK Athens,Niclas Eliasson,19,SWE,RW,28-007,90,0,1,0,0,2,1,0,0,35,0,0,0,0.1,0.1,0.1,4,2,19,30,63.3,1,20,1,2,1
8754228f,AEK Athens,Steven Zuber,10,SUI,"AM,FW",32-119,90,0,0,0,0,4,1,0,0,53,1,0,0,0.2,0.2,0.0,1,0,37,42,88.1,3,24,0,0,0
8754228f,AEK Athens,Petros Mantalos,20,GRE,"DM,AM",32-105,90,0,0,0,0,1,0,0,0,70,5,0,1,0.0,0.0,0.0,3,0,43,60,71.7,5,46,0,3,3
8754228f,AEK Athens,Damian Szymański,4,POL,"DM,CB",28-181,89,0,0,0,0,0,0,0,0,70,1,2,1,0.0,0.0,0.0,2,0,59,65,90.8,8,34,1,2,1
8754228f,AEK Athens,Milad Mohammadi,3,IRN,LB,30-076,1,0,0,0,0,1,0,0,0,4,0,1,0,0.1,0.1,0.0,1,0,1,3,33.3,0,1,1,0,0
8754228f,AEK Athens,Ehsan Hajsafi,28,IRN,"LB,CB",33-292,90,0,0,0,0,0,0,0,0,86,2,1,1,0.0,0.0,0.0,4,0,58,79,73.4,3,32,4,2,2
8754228f,AEK Athens,Harold Moukoudi,2,CMR,CB,26-017,82,0,0,0,0,0,0,1,0,63,1,3,2,0.0,0.0,0.0,0,0,46,52,88.5,4,35,0,1,1
8754228f,AEK Athens,Konstantinos Galanopoulos,25,GRE,DM,25-351,8,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,3,0,2,1
8754228f,AEK Athens,Domagoj Vida,21,CRO,CB,34-229,90,0,0,0,0,1,0,1,0,62,1,3,0,0.0,0.0,0.1,2,0,41,52,78.8,4,27,1,0,0
8754228f,AEK Athens,Llazaros Rota,12,GRE,RB,26-113,90,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.1,2,0,38,47,80.9,6,27,4,2,2
8754228f,AEK Athens,Giorgos Athanasiadis,30,GRE,GK,30-251,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,31,80.6,0,21,0,0,0
