match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
bd8994c2,TSC Bačka Top,Aleksandar Ćirković,32,SRB,FW,22-070,85,0,0,0,0,1,1,0,0,24,1,0,0,0.1,0.1,0.0,2,0,10,20,50.0,2,21,5,2,1
bd8994c2,TSC Bačka Top,Bence Sós,88,HUN,FW,29-204,5,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
bd8994c2,TSC Bačka Top,Uroš Milovanović,9,SRB,FW,23-043,76,0,0,0,0,2,2,0,0,34,0,0,0,0.3,0.3,0.0,0,0,16,19,84.2,1,11,0,1,0
bd8994c2,TSC Bačka Top,Miloš Pantović,27,SRB,FW,21-098,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,1,0,0
bd8994c2,TSC Bačka Top,Nikola Kuveljić,21,SRB,CM,26-238,75,0,0,0,0,2,0,0,0,42,1,2,1,0.1,0.1,0.1,1,0,30,34,88.2,4,15,3,1,0
bd8994c2,TSC Bačka Top,Jovan Vlalukin,77,SRB,CM,24-193,15,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
bd8994c2,TSC Bačka Top,Milan Radin,7,SRB,CM,32-158,76,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.0,2,0,29,36,80.6,2,25,1,0,0
bd8994c2,TSC Bačka Top,Miloš Vulić,37,SRB,CM,27-103,14,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,0,6,0,0,0
bd8994c2,TSC Bačka Top,Ifet Đakovac,35,BIH,CM,25-360,90,0,0,0,0,1,0,0,0,31,2,0,0,0.1,0.1,0.1,4,0,20,24,83.3,5,14,2,0,0
bd8994c2,TSC Bačka Top,Nemanja Petrović,30,SRB,LB,31-227,90,0,0,0,0,1,0,1,0,59,0,0,1,0.0,0.0,0.0,0,0,40,49,81.6,4,17,1,1,0
bd8994c2,TSC Bačka Top,Josip Čalušić,4,CRO,CB,30-050,90,0,0,0,0,0,0,1,0,77,0,1,1,0.0,0.0,0.0,0,0,58,71,81.7,8,39,0,0,0
bd8994c2,TSC Bačka Top,Nemanja Stojić,18,SRB,CB,25-319,90,0,0,0,0,1,0,0,0,55,1,1,2,0.0,0.0,0.0,1,0,31,42,73.8,2,21,1,0,0
bd8994c2,TSC Bačka Top,Goran Antonić,17,SRB,CB,33-027,90,0,0,0,0,0,0,0,0,76,4,4,1,0.0,0.0,0.1,2,0,52,62,83.9,1,39,0,1,1
bd8994c2,TSC Bačka Top,Miloš Cvetković,29,SRB,RB,33-328,90,0,0,0,0,0,0,0,0,58,4,0,2,0.0,0.0,0.2,3,0,36,48,75.0,1,26,4,1,0
bd8994c2,TSC Bačka Top,Veljko Ilic,12,SRB,GK,20-132,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,42,54,77.8,0,27,0,0,0
bd8994c2,West Ham,Divin Mubama,45,ENG,FW,19-036,66,0,0,0,0,0,0,0,0,13,1,0,2,0.0,0.0,0.0,0,0,5,8,62.5,0,8,1,0,0
bd8994c2,West Ham,Danny Ings,18,ENG,FW,31-130,24,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,5,1,1,1
bd8994c2,West Ham,Saïd Benrahma,22,ALG,LW,28-112,66,0,0,0,0,2,1,0,0,47,1,0,0,0.1,0.1,0.0,0,0,27,38,71.1,2,38,5,3,0
bd8994c2,West Ham,Maxwel Cornet,17,CIV,RW,27-064,24,0,1,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.4,1,1,13,14,92.9,1,13,2,1,1
bd8994c2,West Ham,Pablo Fornals,8,ESP,"RW,LW",27-281,90,0,0,0,0,0,0,1,0,51,0,1,1,0.0,0.0,0.0,0,0,38,47,80.9,7,43,3,0,0
bd8994c2,West Ham,Lucas Paquetá,10,BRA,LM,26-095,90,0,0,0,0,2,0,0,0,91,5,0,0,0.1,0.1,0.0,1,0,65,80,81.3,6,66,4,2,0
bd8994c2,West Ham,Tomáš Souček,28,CZE,CM,28-276,90,1,0,0,0,3,2,0,0,60,1,0,1,0.5,0.5,0.1,2,0,46,53,86.8,4,50,1,0,0
bd8994c2,West Ham,James Ward-Prowse,7,ENG,RM,29-029,90,0,0,0,0,0,0,0,0,96,1,0,0,0.0,0.0,0.1,4,0,76,92,82.6,6,60,2,0,0
