match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c48ed8ee,TSC Bačka Top,Marko Rakonjac,97,MNE,FW,23-163,89,0,0,0,0,2,1,0,0,20,0,0,0,0.1,0.1,0.1,1,0,7,13,53.8,1,11,0,0,0
c48ed8ee,TSC Bačka Top,Jovan Vlalukin,77,SRB,FW,24-137,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
c48ed8ee,TSC Bačka Top,Saša Jovanović,8,SRB,FW,31-294,86,0,1,0,0,0,0,0,0,27,0,0,1,0.0,0.0,0.4,2,1,8,20,40.0,2,15,4,0,0
c48ed8ee,TSC Bačka Top,Bence Sós,88,HUN,FW,29-148,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
c48ed8ee,TSC Bačka Top,Petar Stanic,14,SRB,CM,22-052,78,0,0,0,0,1,0,0,0,42,0,1,1,0.1,0.1,0.0,2,0,24,30,80.0,3,22,0,4,1
c48ed8ee,TSC Bačka Top,Miloš Pantović,27,SRB,LM,21-042,12,1,0,0,0,1,1,0,0,10,0,0,0,0.4,0.4,0.0,0,0,6,9,66.7,3,6,0,0,0
c48ed8ee,TSC Bačka Top,Milan Radin,7,SRB,CM,32-102,87,0,0,0,0,0,0,0,0,50,2,0,0,0.0,0.0,0.0,2,0,39,46,84.8,5,26,2,0,0
c48ed8ee,TSC Bačka Top,Martin Mirchevski,10,MKD,CM,26-236,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
c48ed8ee,TSC Bačka Top,Ifet Đakovac,35,BIH,"CM,RM",25-304,90,1,0,0,0,1,1,0,0,41,2,0,2,0.4,0.4,0.0,2,1,22,26,84.6,7,21,0,2,1
c48ed8ee,TSC Bačka Top,Nemanja Petrović,30,SRB,LB,31-171,90,0,0,0,0,2,1,1,0,67,1,0,2,0.1,0.1,0.0,1,0,47,53,88.7,5,27,0,2,0
c48ed8ee,TSC Bačka Top,Josip Čalušić,4,CRO,CB,29-359,90,0,0,0,0,0,0,0,0,70,0,2,4,0.0,0.0,0.0,0,0,39,60,65.0,4,37,1,0,0
c48ed8ee,TSC Bačka Top,Nemanja Stojić,18,SRB,CB,25-263,90,0,1,0,0,1,1,0,0,71,0,2,3,0.0,0.0,0.4,2,1,44,57,77.2,4,37,2,0,0
c48ed8ee,TSC Bačka Top,Goran Antonić,17,SRB,CB,32-336,78,0,0,0,0,0,0,0,0,60,1,2,2,0.0,0.0,0.0,1,0,45,53,84.9,4,36,0,1,0
c48ed8ee,TSC Bačka Top,Miloš Vulić,37,SRB,"CM,CB",27-047,12,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,1,1,13,15,86.7,1,13,2,0,0
c48ed8ee,TSC Bačka Top,Miloš Cvetković,29,SRB,RB,33-272,90,0,0,0,0,0,0,0,0,69,3,1,1,0.0,0.0,0.0,4,0,48,63,76.2,9,26,0,0,0
c48ed8ee,TSC Bačka Top,Veljko Ilic,12,SRB,GK,20-076,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,26,29,89.7,0,14,0,0,0
c48ed8ee,Olympiacos,Ayoub El Kaabi,9,MAR,FW,30-101,73,0,0,0,0,1,1,0,0,20,0,1,0,0.1,0.1,0.0,1,0,13,15,86.7,0,8,1,1,1
c48ed8ee,Olympiacos,Jackson Porozo,25,ECU,CB,23-062,17,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0
c48ed8ee,Olympiacos,Kostas Fortounis,7,GRE,LW,30-354,73,0,1,0,0,2,0,0,0,54,2,0,0,0.1,0.1,0.1,7,2,27,44,61.4,6,36,3,5,4
c48ed8ee,Olympiacos,Sotiris Alexandropoulos,15,GRE,RW,21-313,17,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.1,1,0,3,4,75.0,2,4,1,2,1
c48ed8ee,Olympiacos,Daniel Podence,56,POR,RW,27-349,62,1,1,0,0,2,1,0,0,40,3,0,0,0.1,0.1,0.3,5,2,22,32,68.8,1,26,4,0,0
c48ed8ee,Olympiacos,Stevan Jovetić,22,MNE,"AM,RW",33-337,28,0,0,0,0,2,0,0,0,18,0,0,0,0.1,0.1,0.0,1,0,9,13,69.2,1,11,0,0,0
c48ed8ee,Olympiacos,Giorgos Masouras,19,GRE,AM,29-277,62,1,0,0,0,3,1,0,0,22,1,1,2,0.2,0.2,0.0,0,0,9,11,81.8,1,9,0,1,0
c48ed8ee,Olympiacos,Ola Solbakken,98,NOR,"LW,AM",25-028,28,0,0,0,0,1,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,8,1,4,3
c48ed8ee,Olympiacos,Mohamed Camara,4,GUI,DM,26-219,90,0,0,0,0,0,0,0,0,58,1,0,0,0.0,0.0,0.0,1,0,42,53,79.2,2,29,1,0,0
c48ed8ee,Olympiacos,Santiago Hezze,32,ARG,DM,21-348,90,0,0,0,0,0,0,0,0,62,2,3,0,0.0,0.0,0.0,1,0,45,53,84.9,7,36,0,0,0
