match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
fc67cf77,Olympiacos,Ayoub El Kaabi,9,MAR,FW,30-087,90,2,0,0,0,6,2,1,0,33,0,1,2,1.4,1.4,0.0,1,0,13,19,68.4,0,15,2,1,1
fc67cf77,Olympiacos,Giorgos Masouras,19,GRE,LW,29-263,60,0,0,0,0,2,2,0,0,14,0,0,0,0.3,0.3,0.0,1,0,5,10,50.0,0,8,0,0,0
fc67cf77,Olympiacos,Stevan Jovetić,22,MNE,LW,33-323,30,0,0,0,0,2,0,0,0,12,0,0,1,0.2,0.2,0.0,0,0,5,8,62.5,0,6,0,0,0
fc67cf77,Olympiacos,Kostas Fortounis,7,GRE,RW,30-340,76,0,1,0,0,2,0,0,0,59,1,0,0,0.3,0.3,1.0,8,2,29,48,60.4,3,38,3,6,1
fc67cf77,Olympiacos,Ola Solbakken,98,NOR,RW,25-014,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,0,0
fc67cf77,Olympiacos,Pep Biel,21,ESP,AM,27-016,45,0,0,0,0,1,0,0,0,20,0,1,0,0.1,0.1,0.1,2,0,12,17,70.6,2,11,0,3,2
fc67cf77,Olympiacos,Daniel Podence,56,POR,AM,27-335,45,0,0,0,0,1,0,1,0,26,0,0,1,0.0,0.0,0.0,2,0,16,20,80.0,4,17,1,1,1
fc67cf77,Olympiacos,Mohamed Camara,4,GUI,DM,26-205,90,0,0,0,0,1,0,0,0,49,3,1,1,0.0,0.0,0.0,1,0,28,41,68.3,5,26,0,1,1
fc67cf77,Olympiacos,Santiago Hezze,32,ARG,DM,21-334,23,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,1,1,0,0,0
fc67cf77,Olympiacos,Vicente Iborra,8,ESP,DM,35-248,67,0,0,0,0,2,0,0,0,39,0,0,1,0.3,0.3,0.0,2,0,26,30,86.7,5,17,0,1,0
fc67cf77,Olympiacos,Francisco Ortega,3,ARG,LB,24-186,76,0,0,0,0,0,0,0,0,55,2,4,0,0.0,0.0,0.1,4,1,30,43,69.8,0,22,2,2,2
fc67cf77,Olympiacos,Quini,18,ESP,LB,33-362,14,0,0,0,0,0,0,0,0,14,0,1,1,0.0,0.0,0.0,0,0,5,11,45.5,1,4,2,0,0
fc67cf77,Olympiacos,Nicolás Freire,16,ARG,CB,29-215,90,0,0,0,0,0,0,0,0,70,0,2,2,0.0,0.0,0.0,0,0,42,58,72.4,1,32,0,0,0
fc67cf77,Olympiacos,Panagiotis Retsos,45,GRE,CB,25-043,90,0,0,0,0,0,0,0,0,71,1,0,3,0.0,0.0,0.0,0,0,49,62,79.0,3,39,0,0,0
fc67cf77,Olympiacos,Rodinei,23,BRA,RB,31-235,90,0,1,0,0,0,0,0,0,54,4,0,0,0.0,0.0,0.3,4,1,31,39,79.5,7,28,2,5,3
fc67cf77,Olympiacos,Alexandros Paschalakis,1,GRE,GK,34-055,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,21,25,84.0,0,18,0,0,0
fc67cf77,Freiburg,Lucas Höler,9,GER,FW,29-073,89,0,0,0,0,1,0,1,0,39,0,0,2,0.0,0.0,0.0,2,0,14,23,60.9,2,23,0,1,0
