match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2a80a9cc,Bologna,Santiago Castro,9,ARG,FW,20-037,67,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,3,5,60.0,0,7,0,1,0
2a80a9cc,Bologna,Thijs Dallinga,24,NED,FW,24-094,23,0,0,0,0,1,0,0,0,9,1,1,0,0.1,0.1,0.0,1,0,3,6,50.0,0,4,0,0,0
2a80a9cc,Bologna,Dan Ndoye,11,SUI,LW,24-011,90,0,0,0,0,0,0,0,0,53,2,2,2,0.0,0.0,0.1,1,0,22,35,62.9,4,34,2,2,2
2a80a9cc,Bologna,Samuel Iling-Junior,14,ENG,RW,21-032,67,0,0,0,0,0,0,0,0,31,4,0,1,0.0,0.0,0.0,2,0,10,21,47.6,2,19,2,3,2
2a80a9cc,Bologna,Riccardo Orsolini,7,ITA,RW,27-286,23,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.1,1,0,6,7,85.7,1,5,1,0,0
2a80a9cc,Bologna,Giovanni Fabbian,80,ITA,AM,21-296,80,0,0,0,0,3,1,1,0,23,0,1,2,0.2,0.2,0.0,2,0,15,17,88.2,3,18,2,1,1
2a80a9cc,Bologna,Lewis Ferguson,19,SCO,AM,25-073,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,5,0,0,0
2a80a9cc,Bologna,Nikola Moro,6,CRO,DM,26-238,45,0,0,0,0,0,0,1,0,28,2,1,2,0.0,0.0,0.1,1,0,16,22,72.7,1,11,0,0,0
2a80a9cc,Bologna,Tommaso Pobega,18,ITA,DM,25-113,45,0,0,0,0,0,0,0,0,35,1,3,1,0.0,0.0,0.0,0,0,17,28,60.7,3,12,1,1,1
2a80a9cc,Bologna,Remo Freuler,8,SUI,DM,32-204,90,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.0,0,0,26,34,76.5,5,14,0,0,0
2a80a9cc,Bologna,Juan Miranda,33,ESP,LB,24-291,89,0,0,0,0,1,0,0,0,70,3,0,0,0.1,0.1,0.0,0,0,33,56,58.9,1,26,0,2,1
2a80a9cc,Bologna,Jens Odgaard,21,DEN,LB,25-219,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
2a80a9cc,Bologna,Jhon Lucumí,26,COL,CB,26-132,90,0,0,0,0,0,0,1,0,60,3,3,1,0.0,0.0,0.0,1,0,37,44,84.1,1,18,1,0,0
2a80a9cc,Bologna,Sam Beukema,31,NED,CB,25-354,90,0,0,0,0,1,1,0,0,45,2,1,2,0.1,0.1,0.0,1,0,30,34,88.2,1,21,0,0,0
2a80a9cc,Bologna,Stefan Posch,3,AUT,RB,27-175,90,0,0,0,0,0,0,0,0,75,8,1,2,0.0,0.0,0.0,2,0,37,60,61.7,5,29,1,2,2
2a80a9cc,Bologna,Łukasz Skorupski,1,POL,GK,33-184,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,20,29,69.0,0,20,0,0,0
2a80a9cc,Monaco,Breel Embolo,36,SUI,FW,27-265,90,0,1,0,0,2,1,0,0,34,0,1,0,0.3,0.3,0.4,4,1,11,19,57.9,2,23,3,6,3
2a80a9cc,Monaco,Aleksandr Golovin,10,RUS,LW,28-159,90,0,0,0,0,1,1,0,0,40,1,0,3,0.0,0.0,0.1,2,0,25,33,75.8,1,10,0,1,1
2a80a9cc,Monaco,Maghnes Akliouche,11,FRA,RW,22-254,90,0,0,0,0,2,1,0,0,66,1,2,0,0.2,0.2,0.0,3,0,34,46,73.9,6,27,6,7,1
2a80a9cc,Monaco,Eliesse Ben Seghir,7,MAR,AM,19-263,70,0,0,0,0,1,0,0,0,44,2,2,0,0.0,0.0,0.2,1,0,31,39,79.5,2,21,2,4,3
2a80a9cc,Monaco,Takumi Minamino,18,JPN,AM,29-294,20,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,1,1,0,0,0
2a80a9cc,Monaco,Soungoutou Magassa,88,FRA,DM,21-028,90,0,0,0,0,1,0,0,0,60,2,1,2,0.0,0.0,0.1,1,0,39,45,86.7,3,26,1,0,0
2a80a9cc,Monaco,Lamine Camara,15,SEN,DM,20-309,77,0,0,0,0,1,0,1,0,57,4,2,2,0.0,0.0,0.0,0,0,26,42,61.9,3,19,0,1,0
2a80a9cc,Monaco,Eliot Matazo,8,BEL,DM,22-264,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,0,0,0,0
