match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2d931c93,Red Star,Bruno Duarte,17,BRA,FW,28-179,70,0,0,0,0,4,1,0,0,26,0,0,0,0.2,0.2,0.0,0,0,15,19,78.9,2,15,3,1,0
2d931c93,Red Star,Cherif Ndiaye,9,SEN,FW,28-240,20,0,1,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.6,1,1,2,3,66.7,1,3,0,0,0
2d931c93,Red Star,Peter Olayinka,14,NGA,LW,28-306,70,0,0,0,0,1,0,0,0,31,3,1,1,0.0,0.0,0.0,1,0,10,18,55.6,2,23,3,4,2
2d931c93,Red Star,Milson,27,ANG,LW,24-343,20,1,0,0,0,1,1,0,0,8,0,0,0,0.6,0.6,0.0,0,0,3,5,60.0,0,5,1,1,0
2d931c93,Red Star,Silas Katompa,15,COD,RW,25-349,90,0,0,0,0,1,0,1,0,31,3,1,2,0.0,0.0,0.0,2,0,15,20,75.0,0,17,1,5,3
2d931c93,Red Star,Mirko Ivanić,4,MNE,AM,31-006,90,0,0,0,0,2,0,0,0,50,0,0,0,0.0,0.0,0.0,3,0,29,42,69.0,10,36,2,3,2
2d931c93,Red Star,Timi Elšnik,21,SVN,"LB,DM",26-143,90,0,0,0,0,1,0,0,0,91,1,0,5,0.0,0.0,0.1,6,1,65,82,79.3,17,50,5,1,1
2d931c93,Red Star,Rade Krunić,6,BIH,DM,30-348,81,0,0,0,0,1,1,0,0,45,1,1,1,0.1,0.1,0.0,4,0,32,41,78.0,7,32,3,4,4
2d931c93,Red Star,Luka Ilić,32,SRB,DM,25-079,9,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,2,6,0,0,0
2d931c93,Red Star,Seol Young-woo,66,KOR,"RB,LB",25-289,90,0,0,0,0,1,0,1,0,76,2,3,0,0.0,0.0,0.1,5,0,51,68,75.0,4,46,2,4,2
2d931c93,Red Star,Uroš Spajić,5,SRB,CB,31-219,90,0,0,0,0,0,0,0,0,64,0,3,1,0.0,0.0,0.0,1,0,53,57,93.0,0,36,0,0,0
2d931c93,Red Star,Nasser Djiga,24,BFA,CB,21-309,90,0,0,0,0,0,0,0,0,72,0,0,0,0.0,0.0,0.0,0,0,50,60,83.3,4,47,2,0,0
2d931c93,Red Star,Ognjen Mimovic,70,SRB,RB,20-033,26,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.1,1,0,14,16,87.5,1,15,1,0,0
2d931c93,Red Star,Dálcio,22,GNB,DM,28-120,64,0,0,0,0,2,0,0,0,52,1,0,1,0.0,0.0,0.1,3,0,37,44,84.1,3,31,0,3,2
2d931c93,Red Star,Omri Glazer,18,ISR,GK,28-192,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,24,26,92.3,0,16,0,0,0
2d931c93,Benfica,Vangelis Pavlidis,14,GRE,FW,25-303,87,0,0,0,0,2,1,0,0,31,0,0,1,0.1,0.1,0.0,1,0,16,21,76.2,0,18,1,1,1
2d931c93,Benfica,Zeki Amdouni,7,SUI,FW,23-290,3,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,1,0,0
2d931c93,Benfica,Kerem Aktürkoğlu,17,TUR,"LW,RW",25-334,90,1,0,0,0,3,1,0,0,35,2,1,0,0.9,0.9,0.0,2,1,18,23,78.3,1,24,2,2,0
2d931c93,Benfica,Ángel Di María,11,ARG,"RW,LW",36-218,87,0,0,0,0,1,0,0,0,46,0,1,0,0.0,0.0,0.1,3,1,24,39,61.5,9,39,6,4,1
2d931c93,Benfica,Jan-Niklas Beste,37,GER,LW,25-259,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,1,0
2d931c93,Benfica,Benjamín Rollheiser,32,ARG,AM,24-179,55,0,0,0,0,1,0,0,0,25,1,0,2,0.1,0.1,0.0,2,1,17,18,94.4,3,16,2,0,0
2d931c93,Benfica,Fredrik Aursnes,8,NOR,"DM,CM",28-284,35,0,0,0,0,0,0,1,0,23,0,0,0,0.0,0.0,0.0,4,0,18,20,90.0,5,15,0,0,0
2d931c93,Benfica,Orkun Kökçü,10,TUR,"DM,AM",23-265,87,1,0,0,0,2,1,0,0,60,3,0,3,0.1,0.1,0.0,2,1,36,48,75.0,2,43,3,3,1
2d931c93,Benfica,Leandro Barreiro Martins,18,LUX,"CM,AM",24-260,3,0,0,0,0,0,0,0,0,3,1,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0
2d931c93,Benfica,Florentino Luís,61,POR,"DM,CM",25-031,90,0,0,0,0,0,0,0,0,52,4,1,1,0.0,0.0,0.0,1,0,38,40,95.0,1,28,0,3,3
2d931c93,Benfica,Álvaro Carreras,3,ESP,LB,21-180,90,0,0,0,0,0,0,1,0,56,2,2,1,0.0,0.0,0.1,4,0,36,49,73.5,4,33,4,0,0
2d931c93,Benfica,Nicolás Otamendi,30,ARG,CB,36-220,90,0,0,0,0,0,0,0,0,61,2,3,3,0.0,0.0,0.0,0,0,40,43,93.0,2,33,0,0,0
2d931c93,Benfica,António Silva,4,POR,CB,20-325,90,0,0,0,0,0,0,0,0,39,0,1,1,0.0,0.0,0.0,0,0,19,29,65.5,1,22,0,0,0
2d931c93,Benfica,Alexander Bah,6,DEN,RB,26-285,36,0,0,0,0,0,0,0,0,21,1,2,1,0.0,0.0,0.0,0,0,8,11,72.7,2,11,0,0,0
2d931c93,Benfica,Issa Kaboré,28,BFA,RB,23-130,54,0,0,0,0,0,0,1,0,35,2,0,2,0.0,0.0,0.0,0,0,15,25,60.0,2,16,2,3,2
2d931c93,Benfica,Anatolii Trubin,1,UKR,GK,23-049,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,37,70.3,0,22,0,0,0
