match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
438254ac,Stuttgart,Deniz Undav,26,GER,FW,28-194,59,0,0,0,0,2,0,0,0,37,0,0,0,0.1,0.1,0.0,1,0,20,30,66.7,2,19,0,1,0
438254ac,Stuttgart,Ermedin Demirović,9,BIH,FW,26-310,31,0,0,0,0,2,0,0,0,6,0,1,0,0.1,0.1,0.0,0,0,1,1,100.0,0,3,2,1,1
438254ac,Stuttgart,Jamie Leweling,18,GER,"LW,RW",23-338,77,0,0,0,0,1,0,0,0,37,1,2,0,0.0,0.0,0.3,3,0,19,25,76.0,4,22,3,4,1
438254ac,Stuttgart,Yannik Keitel,5,GER,DM,24-349,13,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,2,3,0,1,0
438254ac,Stuttgart,Chris Führich,27,GER,"LW,RW",27-020,90,0,0,0,0,2,2,0,0,32,5,0,2,0.4,0.4,0.0,1,0,15,20,75.0,1,19,5,2,1
438254ac,Stuttgart,Enzo Millot,8,FRA,AM,22-196,90,0,0,0,0,1,0,0,0,57,3,0,0,0.1,0.1,0.1,5,0,38,49,77.6,1,32,0,3,2
438254ac,Stuttgart,Angelo Stiller,6,GER,DM,23-300,70,0,0,0,0,0,0,1,0,66,2,2,1,0.0,0.0,0.1,2,0,49,58,84.5,12,30,0,2,1
438254ac,Stuttgart,Fabian Rieder,32,SUI,"RW,DM",22-348,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,6,0,1,0
438254ac,Stuttgart,Atakan Karazor,16,,DM,28-108,90,0,0,0,0,0,0,1,0,64,6,2,0,0.0,0.0,0.1,3,0,44,52,84.6,6,29,0,0,0
438254ac,Stuttgart,Maximilian Mittelstädt,7,GER,LB,27-317,90,0,0,0,0,1,0,0,0,65,6,2,2,0.0,0.0,0.0,0,0,41,49,83.7,1,30,4,2,1
438254ac,Stuttgart,Julian Chabot,24,GER,CB,26-352,90,0,0,0,0,1,0,0,0,53,1,0,0,0.0,0.0,0.0,1,0,35,42,83.3,4,25,0,0,0
438254ac,Stuttgart,Ameen Al-Dakhil,2,BEL,CB,22-329,70,0,0,0,0,0,0,0,0,41,0,1,3,0.0,0.0,0.0,0,0,31,35,88.6,0,25,1,0,0
438254ac,Stuttgart,Anrie Chase,45,JPN,CB,20-311,20,0,0,0,0,0,0,0,0,18,0,0,2,0.0,0.0,0.0,0,0,12,15,80.0,0,6,0,0,0
438254ac,Stuttgart,Josha Vagnoman,4,GER,RB,24-049,59,0,0,0,0,0,0,0,0,41,3,1,0,0.0,0.0,0.0,0,0,27,32,84.4,6,15,0,0,0
438254ac,Stuttgart,Leonidas Stergiou,20,SUI,RB,22-332,31,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.1,1,0,11,11,100.0,1,6,0,0,0
438254ac,Stuttgart,Fabian Bredlow,1,GER,GK,29-333,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,0,22,34,64.7,0,22,0,1,1
438254ac,Paris S-G,Ousmane Dembélé,10,FRA,"FW,LW",27-259,90,3,0,0,0,5,3,0,0,68,0,0,0,1.2,1.2,0.1,4,1,43,58,74.1,5,28,4,4,0
438254ac,Paris S-G,Bradley Barcola,29,FRA,LW,22-149,70,1,1,0,0,1,1,0,0,31,0,0,3,0.7,0.7,1.2,3,1,17,20,85.0,1,17,5,6,4
438254ac,Paris S-G,Gonçalo Ramos,9,POR,FW,23-223,20,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,8,11,72.7,1,3,1,0,0
438254ac,Paris S-G,Désiré Doué,14,FRA,RW,19-240,59,0,1,0,0,4,2,0,0,48,0,1,0,0.4,0.4,0.7,4,1,32,35,91.4,2,30,3,7,3
438254ac,Paris S-G,Lee Kang-in,19,KOR,RW,23-345,31,0,0,0,0,1,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,14,17,82.4,3,12,1,3,2
438254ac,Paris S-G,Warren Zaïre-Emery,33,FRA,"LM,RB",18-327,90,0,0,0,0,0,0,0,0,61,2,1,1,0.0,0.0,0.1,1,0,44,55,80.0,8,31,2,1,1
438254ac,Paris S-G,Vitinha,17,POR,CM,24-351,90,0,0,0,0,1,0,0,0,96,2,0,0,0.0,0.0,0.1,4,3,78,85,91.8,5,43,1,3,0
438254ac,Paris S-G,João Neves,87,POR,RM,20-124,76,0,1,0,0,0,0,1,0,53,2,1,1,0.0,0.0,0.0,1,1,40,44,90.9,4,22,2,0,0
438254ac,Paris S-G,Senny Mayulu,24,FRA,RM,18-257,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,1,5,0,2,1
438254ac,Paris S-G,Lucas Hernández,21,FRA,LB,28-350,70,0,0,0,0,0,0,0,0,60,1,0,2,0.0,0.0,0.0,2,0,49,53,92.5,5,17,0,0,0
438254ac,Paris S-G,Lucas Beraldo,35,BRA,LB,21-066,20,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,20,20,100.0,2,9,0,0,0
438254ac,Paris S-G,Willian Pacho,51,ECU,CB,23-105,90,0,0,0,0,0,0,0,0,70,2,0,3,0.0,0.0,0.0,0,0,52,57,91.2,1,33,0,0,0
438254ac,Paris S-G,Marquinhos,5,BRA,CB,30-260,90,0,0,0,0,0,0,0,0,76,3,0,4,0.0,0.0,0.0,0,0,58,62,93.5,2,31,0,0,0
438254ac,Paris S-G,Achraf Hakimi,2,MAR,RB,26-086,70,0,1,0,0,0,0,0,0,87,4,1,4,0.0,0.0,0.2,3,1,68,76,89.5,2,31,1,1,0
438254ac,Paris S-G,Fabián Ruiz Peña,8,ESP,LM,28-301,20,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,2,0,13,16,81.3,1,9,0,1,1
438254ac,Paris S-G,Gianluigi Donnarumma,1,ITA,GK,25-339,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,35,74.3,0,21,0,0,0
