match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
568274fc,Young Boys,Silvère Ganvoula M'Boussy,35,CGO,FW,28-087,82,0,0,0,0,2,2,0,0,19,0,0,0,0.2,0.2,0.0,1,0,3,8,37.5,0,10,1,1,1
568274fc,Young Boys,Cedric Itten,9,SUI,FW,27-265,8,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,2,0,3,4,75.0,1,2,0,0,0
568274fc,Young Boys,Ebrima Colley,11,GAM,"LW,LM",24-229,62,0,0,0,0,2,1,0,0,26,0,0,0,0.1,0.1,0.1,3,0,15,23,65.2,4,20,2,0,0
568274fc,Young Boys,Alan Virginius,21,FRA,"RM,FW",21-258,28,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,1,0,0
568274fc,Young Boys,Joel Monteiro,77,SUI,"RW,LM,RM",25-043,82,0,0,0,0,0,0,1,0,31,6,2,2,0.0,0.0,0.0,0,0,8,19,42.1,1,16,0,1,0
568274fc,Young Boys,Darian Males,39,SUI,LM,23-137,8,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,1,0
568274fc,Young Boys,Filip Ugrinic,7,SUI,"CM,AM",25-256,90,0,0,0,0,4,2,0,0,53,1,2,1,0.1,0.1,0.2,4,0,36,44,81.8,3,21,2,3,2
568274fc,Young Boys,Sandro Lauper,30,SUI,"CM,DM",27-328,90,0,0,0,0,0,0,1,0,50,1,3,2,0.0,0.0,0.0,1,0,37,40,92.5,6,29,0,0,0
568274fc,Young Boys,Cheikh Tidiane Niasse,20,SEN,DM,24-242,45,0,0,0,0,0,0,1,0,28,1,0,0,0.0,0.0,0.0,0,0,20,25,80.0,2,20,3,2,2
568274fc,Young Boys,Meschak Elia,15,COD,"FW,RM",27-042,45,0,0,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,2,0,5,8,62.5,0,5,0,0,0
568274fc,Young Boys,Jaouen Hadjam,3,ALG,LB,21-175,62,0,0,0,0,1,0,0,0,49,2,0,0,0.1,0.1,0.0,3,0,36,46,78.3,2,36,1,2,2
568274fc,Young Boys,Abdu Conté,22,POR,LB,26-177,28,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,1,5,1,0,0
568274fc,Young Boys,Tanguy Zoukrou,4,FRA,CB,21-133,90,0,0,0,0,0,0,0,0,67,0,2,1,0.0,0.0,0.0,1,0,55,61,90.2,0,51,1,0,0
