match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
7acc13f8,RB Leipzig,Loïs Openda,11,BEL,FW,24-250,90,0,0,0,0,1,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,8,13,61.5,1,14,1,2,1
7acc13f8,RB Leipzig,Benjamin Šeško,30,SVN,FW,21-145,73,0,0,0,0,3,2,0,0,27,1,0,0,0.4,0.4,0.0,1,0,4,14,28.6,0,18,1,1,0
7acc13f8,RB Leipzig,Christoph Baumgartner,14,AUT,FW,25-083,17,0,0,0,0,1,0,0,0,10,1,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,7,2,0,0
7acc13f8,RB Leipzig,Xavi Simons,10,NED,LM,21-185,77,0,0,0,0,2,1,0,0,60,1,0,0,0.1,0.1,0.5,4,0,40,53,75.5,2,43,2,5,1
7acc13f8,RB Leipzig,Yussuf Poulsen,9,DEN,"RM,LM",30-130,13,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,2,3,0,0,0
7acc13f8,RB Leipzig,Amadou Haidara,8,MLI,CM,26-266,85,0,0,0,0,3,2,0,0,66,4,1,0,0.1,0.1,0.0,3,0,49,53,92.5,3,38,0,2,1
7acc13f8,RB Leipzig,Elif Elmas,6,MKD,CM,25-029,5,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,6,7,85.7,1,4,0,0,0
7acc13f8,RB Leipzig,Arthur Vermeeren,18,BEL,CM,19-259,73,0,0,0,0,0,0,0,0,52,1,0,3,0.0,0.0,0.0,2,0,41,45,91.1,3,35,0,0,0
7acc13f8,RB Leipzig,Kevin Kampl,44,SVN,CM,34-014,17,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,7,7,100.0,0,5,0,0,0
7acc13f8,RB Leipzig,Antonio Nusa,7,NOR,"RM,LM",19-189,90,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0.1,6,0,13,22,59.1,3,21,2,3,1
7acc13f8,RB Leipzig,Benjamin Henrichs,39,GER,"LB,RB",27-243,90,0,0,0,0,2,1,0,0,61,1,3,1,0.1,0.1,0.0,1,0,38,49,77.6,2,35,4,3,3
7acc13f8,RB Leipzig,Castello Lukeba,23,FRA,"CB,LB",21-311,90,0,0,0,0,0,0,1,0,77,0,1,1,0.0,0.0,0.0,2,0,57,67,85.1,7,51,1,1,1
7acc13f8,RB Leipzig,Willi Orban,4,HUN,CB,31-355,90,0,0,0,0,0,0,0,0,57,1,1,1,0.0,0.0,0.0,0,0,42,49,85.7,0,36,0,0,0
7acc13f8,RB Leipzig,Lutsharel Geertruida,3,NED,RB,24-097,73,0,0,0,0,0,0,1,0,39,0,2,1,0.0,0.0,0.0,0,0,28,35,80.0,1,27,0,1,0
7acc13f8,RB Leipzig,El Chadaille Bitshiabu,5,FRA,"RB,CB",19-160,17,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,1,0,17,19,89.5,1,15,0,0,0
7acc13f8,RB Leipzig,Péter Gulácsi,1,HUN,GK,34-170,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,32,35,91.4,0,24,0,0,0
7acc13f8,Liverpool,Darwin Núñez,9,URU,FW,25-121,74,1,0,0,0,3,3,0,0,30,1,0,0,1.3,1.3,0.0,1,0,16,22,72.7,2,21,3,0,0
7acc13f8,Liverpool,Curtis Jones,17,ENG,"LM,FW",23-267,16,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,15,15,100.0,1,11,0,4,1
7acc13f8,Liverpool,Cody Gakpo,18,NED,"LW,FW",25-169,90,0,0,0,0,4,2,0,0,45,0,0,0,0.7,0.7,0.5,5,0,30,39,76.9,8,39,7,2,1
7acc13f8,Liverpool,Mohamed Salah,11,EGY,RW,32-130,62,0,1,0,0,3,0,0,0,33,0,0,0,0.2,0.2,0.9,1,1,21,29,72.4,2,22,1,0,0
7acc13f8,Liverpool,Luis Díaz,7,COL,"LW,RW",27-284,28,0,0,0,0,1,1,0,0,22,0,0,0,0.0,0.0,0.0,2,0,15,21,71.4,0,13,3,1,1
7acc13f8,Liverpool,Alexis Mac Allister,10,ARG,"LM,RM",25-304,90,0,0,0,0,1,0,1,0,65,3,0,1,0.1,0.1,0.1,5,0,50,57,87.7,4,36,1,0,0
7acc13f8,Liverpool,Ryan Gravenberch,38,NED,CM,22-160,90,0,0,0,0,0,0,0,0,74,4,3,3,0.0,0.0,0.0,1,0,60,63,95.2,7,41,1,0,0
7acc13f8,Liverpool,Dominik Szoboszlai,8,HUN,"RM,RW",23-364,90,0,0,0,0,1,0,0,0,67,0,1,1,0.0,0.0,0.3,4,0,51,60,85.0,7,34,2,4,1
7acc13f8,Liverpool,Kostas Tsimikas,21,GRE,LB,28-164,74,0,0,0,0,1,0,0,0,76,1,3,1,0.0,0.0,0.1,3,0,60,70,85.7,8,46,0,1,1
7acc13f8,Liverpool,Andrew Robertson,26,SCO,LB,30-226,16,0,0,0,0,1,0,0,0,21,0,1,0,0.0,0.0,0.1,2,0,14,18,77.8,4,15,1,1,1
7acc13f8,Liverpool,Virgil van Dijk,4,NED,CB,33-107,90,0,0,0,0,1,1,0,0,81,1,2,0,0.1,0.1,0.0,0,0,70,74,94.6,3,43,0,0,0
7acc13f8,Liverpool,Ibrahima Konaté,5,FRA,CB,25-151,90,0,0,0,0,0,0,0,0,75,1,3,1,0.0,0.0,0.0,0,0,53,59,89.8,3,40,0,0,0
7acc13f8,Liverpool,Trent Alexander-Arnold,66,ENG,RB,26-016,74,0,0,0,0,1,0,0,0,54,1,1,1,0.0,0.0,0.0,4,0,38,51,74.5,5,37,1,1,1
