match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
99c3796e,Liverpool,Darwin Núñez,9,URU,FW,25-211,90,0,0,0,0,1,1,0,0,32,4,1,0,0.2,0.2,0.3,3,0,13,20,65.0,4,19,3,0,0
99c3796e,Liverpool,Luis Díaz,7,COL,LW,28-008,74,0,0,0,0,0,0,0,0,40,2,0,3,0.0,0.0,0.9,3,0,26,34,76.5,3,33,2,3,3
99c3796e,Liverpool,Federico Chiesa,14,ITA,LW,27-088,16,0,0,0,0,2,2,0,0,7,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,1,4,3,0,0
99c3796e,Liverpool,Mohamed Salah,11,EGY,RW,32-220,90,1,0,0,0,6,3,0,0,42,0,0,0,1.8,1.8,0.0,1,0,21,32,65.6,6,34,9,0,0
99c3796e,Liverpool,Curtis Jones,17,ENG,LM,23-357,45,0,1,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.6,2,1,21,24,87.5,2,21,1,0,0
99c3796e,Liverpool,Alexis Mac Allister,10,ARG,"LM,CM",26-028,45,0,0,0,0,1,0,1,0,28,4,0,3,0.1,0.1,0.0,0,0,17,20,85.0,2,19,0,0,0
99c3796e,Liverpool,Ryan Gravenberch,38,NED,CM,22-250,45,0,0,0,0,0,0,0,0,23,1,2,1,0.0,0.0,0.0,0,0,17,19,89.5,2,15,1,0,0
99c3796e,Liverpool,Harvey Elliott,19,ENG,RM,21-292,45,1,0,0,0,1,1,1,0,28,0,3,0,0.0,0.0,0.0,3,1,19,23,82.6,2,23,0,1,0
99c3796e,Liverpool,Dominik Szoboszlai,8,HUN,"RM,LM",24-088,62,0,0,0,0,1,0,0,0,40,3,0,0,0.0,0.0,0.0,1,0,26,29,89.7,4,27,0,2,0
99c3796e,Liverpool,Wataru Endo,3,JPN,CM,31-347,28,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,17,19,89.5,1,18,0,2,0
99c3796e,Liverpool,Kostas Tsimikas,21,GRE,LB,28-254,90,0,0,0,0,0,0,0,0,81,2,0,1,0.0,0.0,0.3,6,2,65,74,87.8,5,59,1,2,0
99c3796e,Liverpool,Virgil van Dijk,4,NED,CB,33-197,90,0,0,0,0,0,0,0,0,99,0,0,0,0.0,0.0,0.0,0,0,92,96,95.8,2,89,0,0,0
