match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
9dc1db6f,Leverkusen,Patrik Schick,14,CZE,FW,29-005,89,0,0,0,0,2,0,0,0,26,0,0,0,0.2,0.2,0.1,2,0,18,20,90.0,1,12,0,2,1
9dc1db6f,Leverkusen,Artem Stepanov,29,UKR,FW,17-172,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
9dc1db6f,Leverkusen,Florian Wirtz,10,GER,AM,21-271,89,1,0,0,0,6,2,0,0,98,0,1,2,0.3,0.3,0.5,11,0,64,74,86.5,7,54,4,5,1
9dc1db6f,Leverkusen,Jonas Hofmann,7,GER,AM,32-199,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0
9dc1db6f,Leverkusen,Nathan Tella,19,NGA,"AM,LW",25-208,82,1,0,0,0,4,2,0,0,42,1,1,1,0.4,0.4,0.0,2,0,22,26,84.6,2,20,2,2,0
9dc1db6f,Leverkusen,Robert Andrich,8,GER,DM,30-129,8,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,2,0,0,0
9dc1db6f,Leverkusen,Granit Xhaka,34,SUI,"DM,CM",32-124,90,0,0,0,0,3,0,1,0,113,3,0,1,0.2,0.2,0.0,8,0,97,104,93.3,13,57,2,0,0
9dc1db6f,Leverkusen,Exequiel Palacios,25,ARG,"CM,DM",26-116,82,0,0,0,0,2,1,0,0,102,2,1,1,0.1,0.1,0.0,4,0,89,92,96.7,11,50,2,0,0
9dc1db6f,Leverkusen,Aleix García,24,ESP,LW,27-215,8,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,5,0,0,0
9dc1db6f,Leverkusen,Álex Grimaldo,20,ESP,"LB,WB",29-131,90,0,0,0,0,6,4,0,0,101,0,0,1,0.5,0.5,0.3,8,1,80,93,86.0,5,64,3,0,0
9dc1db6f,Leverkusen,Jeremie Frimpong,30,NED,"WB,RW",24-050,87,0,1,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.1,4,1,39,48,81.3,1,30,8,5,2
9dc1db6f,Leverkusen,Arthur,13,BRA,RW,21-318,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
9dc1db6f,Leverkusen,Edmond Tapsoba,12,BFA,CB,25-362,90,0,0,0,0,1,0,0,0,114,0,1,0,0.0,0.0,0.0,3,0,103,110,93.6,15,67,4,0,0
9dc1db6f,Leverkusen,Jonathan Tah,4,GER,CB,28-353,90,0,0,0,0,0,0,0,0,92,0,0,0,0.0,0.0,0.1,2,0,84,88,95.5,3,64,3,0,0
9dc1db6f,Leverkusen,Nordi Mukiele,23,FRA,"RB,CB",27-089,90,0,0,0,0,1,0,0,0,106,1,1,1,0.0,0.0,0.0,2,1,84,96,87.5,6,51,4,1,0
9dc1db6f,Leverkusen,Matej Kovar,17,CZE,GK,24-257,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,30,34,88.2,0,23,0,0,0
