match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
d22fed87,Barcelona,Robert Lewandowski,9,POL,FW,36-097,90,2,0,1,1,1,1,0,0,33,1,0,0,0.9,0.1,0.2,4,1,14,22,63.6,4,21,1,0,0
d22fed87,Barcelona,Fermin López,16,ESP,LW,21-199,77,0,0,0,0,5,3,0,0,36,0,0,2,0.6,0.6,0.0,2,0,17,24,70.8,1,27,2,2,1
d22fed87,Barcelona,Pablo Torre,14,ESP,LW,21-237,13,0,0,0,0,1,0,0,0,14,1,1,1,0.4,0.4,0.0,1,0,8,9,88.9,2,6,0,1,0
d22fed87,Barcelona,Raphinha,11,BRA,RW,27-348,90,0,0,0,0,6,0,0,0,65,3,1,0,0.3,0.3,0.2,9,1,43,54,79.6,8,42,9,3,2
d22fed87,Barcelona,Dani Olmo,20,ESP,AM,26-203,67,1,0,0,0,4,1,0,0,47,1,0,0,0.6,0.6,0.1,4,1,30,41,73.2,3,28,2,1,1
d22fed87,Barcelona,Gavi,6,ESP,AM,20-113,23,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,1,0,18,18,100.0,3,6,0,1,0
d22fed87,Barcelona,Pedri,8,ESP,DM,22-001,87,0,0,0,0,0,0,0,0,100,3,0,2,0.0,0.0,0.0,6,1,84,93,90.3,19,55,1,4,4
d22fed87,Barcelona,Frenkie de Jong,21,NED,DM,27-198,3,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,10,10,100.0,1,4,0,0,0
d22fed87,Barcelona,Marc Casado,17,ESP,DM,21-073,90,0,0,0,0,1,1,0,0,100,3,0,1,0.1,0.1,0.3,2,0,92,94,97.9,12,44,0,0,0
d22fed87,Barcelona,Gerard Martín,35,ESP,LB,22-330,77,0,1,0,0,0,0,0,0,91,1,3,1,0.0,0.0,0.5,4,1,70,80,87.5,6,46,1,3,0
d22fed87,Barcelona,Alejandro Balde,3,ESP,LB,21-039,13,0,1,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,1,1,8,12,66.7,2,9,2,3,2
d22fed87,Barcelona,Iñigo Martínez,5,ESP,CB,33-193,90,0,0,0,0,0,0,0,0,123,2,0,0,0.0,0.0,0.0,0,0,109,117,93.2,10,63,1,0,0
d22fed87,Barcelona,Pau Cubarsí,2,ESP,CB,17-309,90,0,0,0,0,0,0,0,0,119,2,0,0,0.0,0.0,0.0,0,0,110,115,95.7,11,61,0,0,0
d22fed87,Barcelona,Jules Koundé,23,FRA,RB,26-014,90,0,0,0,0,0,0,0,0,92,1,0,1,0.0,0.0,0.0,1,0,65,80,81.3,5,37,3,2,0
d22fed87,Barcelona,Iñaki Peña,13,ESP,GK,25-269,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,38,40,95.0,0,22,0,0,0
