match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
db400f4b,Manchester City,Erling Haaland,9,NOR,FW,24-059,90,0,0,0,0,3,1,0,0,14,0,1,0,0.3,0.3,0.0,1,0,7,9,77.8,0,8,0,0,0
db400f4b,Manchester City,Jack Grealish,10,ENG,LW,29-008,90,0,0,0,0,3,0,0,0,49,1,1,0,0.2,0.2,0.2,9,0,35,41,85.4,5,38,10,3,0
db400f4b,Manchester City,Sávio,26,BRA,RW,20-161,45,0,0,0,0,2,0,0,0,33,0,0,0,0.2,0.2,0.1,1,0,25,29,86.2,2,31,6,2,1
db400f4b,Manchester City,Phil Foden,47,ENG,CM,24-113,45,0,0,0,0,4,2,0,0,35,0,0,0,0.4,0.4,0.1,4,0,21,25,84.0,3,26,0,1,0
db400f4b,Manchester City,Kevin De Bruyne,17,BEL,CM,33-082,45,0,0,0,0,3,0,0,0,41,0,0,1,0.1,0.1,0.4,4,0,25,35,71.4,2,30,2,0,0
db400f4b,Manchester City,İlkay Gündoğan,19,GER,CM,33-330,45,0,0,0,0,3,1,0,0,34,1,0,0,0.7,0.7,0.2,2,0,26,28,92.9,2,20,1,0,0
db400f4b,Manchester City,Bernardo Silva,20,POR,"CM,RW",30-039,79,0,0,0,0,1,0,0,0,51,0,0,0,0.2,0.2,0.0,4,0,44,48,91.7,6,42,2,0,0
db400f4b,Manchester City,Jeremy Doku,11,BEL,RW,22-114,11,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.3,3,0,8,11,72.7,0,13,3,2,0
db400f4b,Manchester City,Rodri,16,ESP,DM,28-088,90,0,0,0,0,1,0,0,0,96,3,0,1,0.0,0.0,0.0,4,0,82,89,92.1,7,67,2,0,0
db400f4b,Manchester City,Rico Lewis,82,ENG,DM,19-302,90,0,0,0,0,0,0,0,0,71,0,0,1,0.0,0.0,0.0,3,0,63,68,92.6,8,48,4,0,0
db400f4b,Manchester City,Joško Gvardiol,24,CRO,LB,22-239,90,0,0,0,0,1,1,0,0,96,1,2,3,0.1,0.1,0.4,2,0,86,89,96.6,11,81,1,1,1
db400f4b,Manchester City,Rúben Dias,3,POR,CB,27-127,90,0,0,0,0,0,0,1,0,89,2,1,0,0.0,0.0,0.0,0,0,76,82,92.7,4,61,0,0,0
db400f4b,Manchester City,Manuel Akanji,25,SUI,RB,29-061,90,0,0,0,0,1,0,0,0,109,0,0,2,0.1,0.1,0.0,2,0,94,102,92.2,12,83,0,0,0
db400f4b,Manchester City,Ederson,31,BRA,GK,31-032,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,22,0,0,0
db400f4b,Inter,Mehdi Taremi,99,IRN,FW,32-062,90,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.2,4,0,11,16,68.8,3,15,3,1,0
db400f4b,Inter,Marcus Thuram,9,FRA,FW,27-043,65,0,0,0,0,3,1,0,0,25,1,0,0,0.3,0.3,0.0,3,0,10,12,83.3,3,15,3,5,1
db400f4b,Inter,Lautaro Martínez,10,ARG,FW,27-027,25,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,4,1,0,0
db400f4b,Inter,Piotr Zieliński,7,POL,CM,30-121,65,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.2,1,0,22,26,84.6,2,20,2,0,0
db400f4b,Inter,Henrikh Mkhitaryan,22,ARM,CM,35-241,25,0,0,0,0,1,0,0,0,19,1,0,1,0.1,0.1,0.0,0,0,13,14,92.9,0,8,0,1,0
db400f4b,Inter,Hakan Çalhanoğlu,20,TUR,CM,30-223,81,0,0,0,0,2,0,0,0,69,2,1,2,0.1,0.1,0.0,3,0,53,60,88.3,2,42,0,0,0
db400f4b,Inter,Davide Frattesi,16,ITA,CM,24-332,9,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
db400f4b,Inter,Nicolò Barella,23,ITA,CM,27-224,90,0,0,0,0,2,0,0,0,62,1,1,2,0.0,0.0,0.1,5,0,48,54,88.9,7,46,1,1,0
db400f4b,Inter,Carlos Augusto,30,BRA,WB,25-255,90,0,0,0,0,1,1,0,0,36,0,2,2,0.1,0.1,0.0,1,0,20,25,80.0,0,20,1,0,0
db400f4b,Inter,Matteo Darmian,36,ITA,WB,34-291,74,0,0,0,0,1,0,0,0,27,1,2,4,0.1,0.1,0.0,1,0,12,19,63.2,0,8,1,0,0
db400f4b,Inter,Denzel Dumfries,2,NED,WB,28-153,16,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
db400f4b,Inter,Alessandro Bastoni,95,ITA,CB,25-158,90,0,0,0,0,0,0,0,0,79,2,1,3,0.0,0.0,0.0,1,0,58,70,82.9,1,58,0,0,0
