match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2c3bac7f,Slavia Prague,Mojmir Chytil,13,CZE,FW,25-276,45,0,0,0,0,1,1,0,0,16,0,1,2,0.2,0.2,0.4,4,0,6,11,54.5,1,9,3,3,3
2c3bac7f,Slavia Prague,Christos Zafeiris,10,GRE,CM,21-342,45,0,1,0,0,0,0,1,0,36,1,1,0,0.0,0.0,0.6,5,1,23,32,71.9,4,17,3,0,0
2c3bac7f,Slavia Prague,Daniel Fila,11,CZE,FW,22-162,90,0,0,0,0,5,1,0,0,30,0,0,1,0.6,0.6,0.0,2,0,11,16,68.8,0,12,3,0,0
2c3bac7f,Slavia Prague,Ondřej Lingr,32,CZE,CM,26-115,90,0,0,0,0,2,0,0,0,49,4,1,1,0.3,0.3,0.1,6,1,20,36,55.6,2,17,2,3,1
2c3bac7f,Slavia Prague,Dominik Pech,48,CZE,CM,18-148,90,0,0,0,0,0,0,0,0,44,1,0,0,0.0,0.0,0.0,2,0,29,36,80.6,1,18,1,3,0
2c3bac7f,Slavia Prague,Oscar Dorley,19,LBR,CM,26-195,45,0,0,0,0,0,0,1,0,27,0,0,1,0.0,0.0,0.0,1,0,22,23,95.7,4,13,0,1,0
2c3bac7f,Slavia Prague,Tomáš Chorý,25,CZE,FW,30-004,45,1,0,0,0,1,1,1,0,23,1,0,1,0.2,0.2,0.0,1,0,9,13,69.2,0,14,1,0,0
2c3bac7f,Slavia Prague,Ondřej Zmrzlý,33,CZE,WB,25-283,45,0,0,0,0,1,0,0,0,20,1,0,1,0.0,0.0,0.1,1,0,9,15,60.0,1,6,1,0,0
2c3bac7f,Slavia Prague,El Hadji Diouf,12,SEN,WB,20-033,45,0,1,0,0,1,0,0,0,26,0,0,1,0.1,0.1,0.2,1,1,15,23,65.2,2,11,1,0,0
2c3bac7f,Slavia Prague,Simion Michez,14,BEL,WB,22-356,65,0,0,0,0,1,0,0,0,57,3,0,5,0.0,0.0,0.0,1,0,23,35,65.7,2,31,3,5,1
2c3bac7f,Slavia Prague,Ivan Schranz,26,SVK,WB,31-139,25,1,0,0,0,2,2,0,0,20,0,0,0,0.3,0.3,0.0,0,0,9,16,56.3,1,9,1,0,0
2c3bac7f,Slavia Prague,Mikuláš Konečný,46,CZE,CB,18-242,76,0,0,0,0,0,0,1,0,46,1,1,4,0.0,0.0,0.0,1,1,27,37,73.0,1,17,1,1,0
2c3bac7f,Slavia Prague,Štěpán Kozel,2,CZE,CB,21-328,14,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,1,0,5,6,83.3,2,4,0,0,0
2c3bac7f,Slavia Prague,David Zima,4,CZE,CB,24-083,90,0,0,0,0,0,0,0,0,58,1,5,1,0.0,0.0,0.0,0,0,33,42,78.6,2,22,1,0,0
2c3bac7f,Slavia Prague,Tomáš Holeš,3,CZE,CB,31-305,90,0,0,0,0,2,0,0,0,94,2,3,3,0.1,0.1,0.2,4,0,62,79,78.5,9,30,1,0,0
2c3bac7f,Slavia Prague,Aleš Mandous,24,CZE,GK,32-284,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,27,33,81.8,0,20,0,0,0
2c3bac7f,Malmö,Erik Botheim,20,NOR,FW,25-020,81,0,0,0,1,2,2,0,0,15,0,0,0,1.4,0.6,0.0,1,0,7,9,77.8,1,8,1,0,0
2c3bac7f,Malmö,Oscar Lewicki,6,SWE,CB,32-200,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,1,0,0,0
2c3bac7f,Malmö,Taha Abdi Ali,22,SWE,"LW,RW,FW",26-213,90,1,0,0,0,3,2,0,0,37,1,0,0,0.4,0.4,0.0,1,0,15,24,62.5,3,20,5,6,2
2c3bac7f,Malmö,Hugo Bolin,38,SWE,"RW,LW,LM",21-190,88,1,0,0,0,5,2,0,0,38,3,0,2,0.6,0.6,0.4,3,0,16,26,61.5,5,24,6,1,1
