match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
3dba5cee,Rangers,Cyriel Dessers,9,NGA,FW,30-095,67,0,0,0,0,0,0,1,0,20,2,0,0,0.0,0.0,0.0,1,0,12,16,75.0,0,9,0,1,0
3dba5cee,Rangers,Hamza Igamane,29,MAR,FW,22-131,53,0,0,0,0,2,1,0,0,26,0,0,0,0.1,0.1,0.0,1,0,9,15,60.0,2,14,0,6,2
3dba5cee,Rangers,Mohamed Diomandé,10,CIV,AM,23-134,67,0,0,0,0,1,1,1,0,33,2,0,1,0.0,0.0,0.0,2,0,17,24,70.8,4,19,1,2,1
3dba5cee,Rangers,Nedim Bajrami,14,ALB,"LM,AM",26-013,53,0,0,0,0,2,1,0,0,30,0,0,1,0.1,0.1,0.0,2,0,19,22,86.4,4,20,3,3,2
3dba5cee,Rangers,Václav Černý,18,CZE,"AM,RM",27-147,120,0,0,0,0,8,3,0,0,86,2,1,2,0.4,0.4,0.1,7,0,38,53,71.7,2,49,6,17,8
3dba5cee,Rangers,Connor Barron,8,SCO,CM,22-196,94,0,0,0,0,0,0,0,0,56,1,2,2,0.0,0.0,0.2,5,0,36,45,80.0,6,23,0,1,0
3dba5cee,Rangers,Tom Lawrence,11,WAL,CM,31-059,26,0,0,0,0,1,0,0,0,14,0,1,2,0.0,0.0,0.0,0,0,8,9,88.9,1,4,0,0,0
3dba5cee,Rangers,Nicolas Raskin,43,BEL,CM,24-018,120,0,0,0,0,2,0,0,0,81,5,1,3,0.1,0.1,0.0,4,0,49,61,80.3,7,23,0,1,0
3dba5cee,Rangers,Jefté,22,BRA,WB,21-082,84,0,0,0,0,1,0,0,0,39,0,1,1,0.0,0.0,0.1,1,0,26,30,86.7,1,16,2,1,0
3dba5cee,Rangers,Ianis Hagi,30,ROU,FW,26-142,36,0,0,0,0,1,0,1,0,22,0,0,2,0.0,0.0,0.0,3,0,16,16,100.0,2,12,0,2,1
3dba5cee,Rangers,Dujon Sterling,21,ENG,WB,25-140,55,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,1,0,31,36,86.1,3,15,1,1,0
3dba5cee,Rangers,Rıdvan Yılmaz,3,TUR,"LB,WB",23-296,65,0,0,0,0,1,1,1,0,43,0,0,3,0.0,0.0,0.0,0,0,24,35,68.6,1,15,3,0,0
3dba5cee,Rangers,Leon Balogun,27,NGA,CB,36-258,120,0,0,0,0,2,1,1,0,64,3,2,3,0.0,0.0,0.0,1,0,35,42,83.3,3,22,0,0,0
3dba5cee,Rangers,John Souttar,5,SCO,CB,28-169,120,0,0,0,0,1,0,1,0,67,0,2,4,0.1,0.1,0.0,2,0,30,41,73.2,3,19,0,0,0
3dba5cee,Rangers,James Tavernier,2,ENG,"CB,RB",33-133,120,0,0,0,0,1,1,0,0,95,1,1,2,0.0,0.0,0.2,4,0,57,75,76.0,2,37,1,1,1
3dba5cee,Rangers,Jack Butland,1,ENG,GK,32-003,120,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,20,40,50.0,0,19,0,0,0
3dba5cee,Fenerbahçe,Youssef En-Nesyri,19,MAR,FW,27-285,104,0,0,0,0,3,0,0,0,41,2,0,0,0.3,0.3,0.0,1,1,13,25,52.0,0,22,1,2,1
3dba5cee,Fenerbahçe,İrfan Kahveci,17,TUR,FW,29-241,16,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.1,1,0,5,7,71.4,1,3,0,0,0
3dba5cee,Fenerbahçe,Sebastian Szymański,53,POL,"AM,WB",25-307,104,2,0,0,0,4,2,0,0,55,3,1,1,0.9,0.9,0.2,3,0,29,43,67.4,7,34,1,1,1
3dba5cee,Fenerbahçe,Mert Yandaş,8,TUR,CM,30-206,16,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,1,0,1,1
3dba5cee,Fenerbahçe,Talisca,94,BRA,AM,31-040,73,0,0,0,0,4,0,1,0,29,0,1,0,0.2,0.2,0.0,4,0,15,20,75.0,2,18,0,3,1
3dba5cee,Fenerbahçe,Edin Džeko,9,BIH,FW,38-361,47,0,0,0,0,3,0,0,0,38,0,0,0,0.2,0.2,0.1,4,0,20,32,62.5,4,21,1,0,0
3dba5cee,Fenerbahçe,Fred,13,BRA,CM,32-008,120,0,0,0,0,0,0,0,0,121,4,0,4,0.0,0.0,0.1,5,1,81,102,79.4,14,79,3,3,2
3dba5cee,Fenerbahçe,Sofyan Amrabat,34,MAR,"CM,DM",28-204,120,0,0,0,0,1,0,0,0,102,3,3,0,0.0,0.0,0.1,4,0,78,90,86.7,16,61,0,2,1
3dba5cee,Fenerbahçe,Filip Kostić,18,SRB,"WB,LW",32-132,120,0,0,0,0,1,0,0,0,117,4,0,2,0.0,0.0,0.3,5,0,74,105,70.5,9,63,7,1,0
3dba5cee,Fenerbahçe,Bright Osayi-Samuel,21,NGA,WB,27-072,73,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,23,26,88.5,2,11,1,0,0
3dba5cee,Fenerbahçe,Dušan Tadić,10,SRB,"AM,RW",36-113,47,0,0,0,0,3,0,0,0,46,0,0,0,0.2,0.2,0.0,4,0,30,39,76.9,5,26,2,0,0
3dba5cee,Fenerbahçe,Yusuf Akçiçek,95,TUR,CB,19-047,120,0,0,0,0,1,1,0,0,109,5,1,4,0.1,0.1,0.0,1,0,76,89,85.4,7,59,0,1,1
3dba5cee,Fenerbahçe,Milan Škriniar,37,SVK,CB,30-030,120,0,0,0,0,0,0,0,0,122,4,2,4,0.0,0.0,0.0,1,0,94,97,96.9,0,64,0,0,0
3dba5cee,Fenerbahçe,Mert Müldür,16,TUR,CB,25-344,87,0,1,0,0,1,0,0,0,91,6,4,1,0.0,0.0,0.5,7,2,60,76,78.9,6,57,4,0,0
3dba5cee,Fenerbahçe,Alexander Djiku,6,GHA,CB,30-216,33,0,0,0,0,0,0,1,0,45,1,0,0,0.0,0.0,0.0,0,0,36,41,87.8,4,28,1,0,0
3dba5cee,Fenerbahçe,İrfan Can Eğribayat,1,TUR,GK,26-256,120,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,30,36,83.3,0,21,0,0,0
