match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
73b14a3c,Olympiacos,Ayoub El Kaabi,9,MAR,FW,31-218,76,2,0,0,0,6,4,0,0,30,1,0,0,1.8,1.8,0.3,4,0,16,20,80.0,3,13,1,0,0
73b14a3c,Olympiacos,Roman Yaremchuk,17,UKR,FW,29-064,14,0,0,0,0,2,1,0,0,8,0,0,0,0.3,0.3,0.0,2,1,3,5,60.0,1,2,0,0,0
73b14a3c,Olympiacos,Kristoffer Velde,11,NOR,LW,25-143,69,0,0,0,0,4,0,0,0,37,4,0,0,0.3,0.3,0.7,8,0,13,21,61.9,2,16,2,4,1
73b14a3c,Olympiacos,Chiquinho,22,POR,AM,29-195,21,0,0,0,0,0,0,0,0,16,1,2,0,0.0,0.0,0.0,1,0,6,11,54.5,0,8,0,0,0
73b14a3c,Olympiacos,Gelson Martins,10,POR,RW,29-264,90,0,0,0,0,1,1,0,0,49,4,0,3,0.3,0.3,0.0,1,0,22,36,61.1,6,31,2,5,4
73b14a3c,Olympiacos,Charalampos Kostoulas,84,GRE,"AM,LW",17-245,90,0,1,0,0,3,1,0,0,47,3,1,1,0.2,0.2,0.7,5,1,20,27,74.1,2,25,2,1,0
73b14a3c,Olympiacos,Dani García,14,ESP,DM,34-251,68,0,1,0,0,0,0,0,0,23,2,0,1,0.0,0.0,0.6,2,1,16,19,84.2,8,8,0,0,0
73b14a3c,Olympiacos,Christos Mouzakitis,96,GRE,DM,18-036,22,0,0,0,0,2,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,6,8,75.0,1,8,0,0,0
73b14a3c,Olympiacos,Santiago Hezze,32,ARG,DM,23-100,90,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.0,3,0,29,36,80.6,7,25,0,0,0
73b14a3c,Olympiacos,Lorenzo Pirola,5,ITA,"LB,CB",22-345,90,0,0,0,0,1,0,0,0,36,2,0,1,0.0,0.0,0.0,2,0,14,25,56.0,2,6,0,0,0
73b14a3c,Olympiacos,David Carmo,16,ANG,CB,25-195,69,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.0,2,0,13,15,86.7,1,6,1,0,0
73b14a3c,Olympiacos,Francisco Ortega,3,ARG,LB,25-317,21,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.1,1,0,10,17,58.8,0,5,2,0,0
73b14a3c,Olympiacos,Giulian Biancone,4,FRA,CB,24-305,90,1,0,0,0,1,1,0,0,49,1,2,1,0.5,0.5,0.0,2,0,17,35,48.6,5,20,0,1,1
73b14a3c,Olympiacos,Costinha,20,POR,RB,24-310,85,0,0,0,0,3,1,0,0,66,1,2,1,0.4,0.4,0.5,4,0,31,49,63.3,4,30,3,6,2
73b14a3c,Olympiacos,Rodinei,23,BRA,RB,33-001,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,3,0,0,0
73b14a3c,Olympiacos,Kostas Tzolakis,88,GRE,GK,22-083,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,20,30,66.7,0,20,0,2,1
73b14a3c,Qarabağ,Nəriman Axundzadə,90,AZE,FW,20-282,71,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,9,13,69.2,1,8,1,0,0
73b14a3c,Qarabağ,Musa Qurbanlı,22,AZE,FW,22-292,19,0,0,0,0,1,0,1,0,7,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,1,2,0,1,0
73b14a3c,Qarabağ,Abdellah Zoubir,10,FRA,LW,33-056,78,0,0,0,0,2,1,1,0,55,1,0,1,0.1,0.1,0.0,1,0,35,39,89.7,6,35,3,4,2
73b14a3c,Qarabağ,Emmanuel Addai,11,GHA,LW,23-182,12,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,6,0,2,1
73b14a3c,Qarabağ,Leandro Andrade,15,CPV,RW,25-128,71,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,17,20,85.0,3,13,1,1,0
73b14a3c,Qarabağ,Oleksii Kashchuk,21,UKR,RW,24-215,19,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,1,0
73b14a3c,Qarabağ,Yassine Benzia,7,ALG,AM,30-144,90,0,0,0,0,0,0,0,0,59,1,2,1,0.0,0.0,0.0,1,0,37,48,77.1,7,29,2,1,1
73b14a3c,Qarabağ,Marko Janković,8,MNE,DM,29-205,90,0,0,0,0,0,0,0,0,66,3,0,2,0.0,0.0,0.0,0,0,34,57,59.6,7,38,1,4,3
73b14a3c,Qarabağ,Julio Romão,6,BRA,DM,26-307,90,0,0,0,0,0,0,1,0,66,4,2,3,0.0,0.0,0.0,0,0,44,50,88.0,2,35,2,4,2
73b14a3c,Qarabağ,Elvin Cəfərquliyev,44,AZE,LB,24-096,71,0,0,0,0,0,0,0,0,49,2,1,0,0.0,0.0,0.0,0,0,32,42,76.2,4,21,2,0,0
73b14a3c,Qarabağ,Toral Bayramov,27,AZE,LB,23-342,19,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,7,10,70.0,0,5,0,0,0
73b14a3c,Qarabağ,Kevin Medina,81,COL,CB,31-327,90,0,0,0,0,0,0,1,0,52,2,2,2,0.0,0.0,0.0,1,0,28,40,70.0,0,23,0,0,0
73b14a3c,Qarabağ,Bəhlul Mustafazadə,13,AZE,CB,27-338,90,0,0,0,0,0,0,0,0,49,1,1,3,0.0,0.0,0.0,0,0,22,31,71.0,0,18,0,0,0
73b14a3c,Qarabağ,Matheus Silva,2,BRA,RB,27-119,78,0,0,0,0,0,0,0,0,49,2,1,1,0.0,0.0,0.1,1,0,26,38,68.4,4,19,0,1,0
73b14a3c,Qarabağ,Marko Vešović,29,MNE,RB,33-155,12,0,0,0,0,0,0,1,0,17,1,1,2,0.0,0.0,0.0,0,0,7,8,87.5,0,7,0,2,1
