match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
745343bd,Maccabi Tel Aviv,Dor Turgeman,9,ISR,FW,21-098,69,0,0,0,0,2,0,0,0,15,0,0,0,0.1,0.1,0.0,1,0,7,12,58.3,0,8,1,0,0
745343bd,Maccabi Tel Aviv,Elad Madmon,19,ISR,FW,20-355,21,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,2,2
745343bd,Maccabi Tel Aviv,Weslley Patati,17,BRA,"LW,RW,RM,LM",21-121,90,0,0,0,0,0,0,0,0,45,1,3,1,0.0,0.0,0.2,3,0,18,31,58.1,0,27,2,4,2
745343bd,Maccabi Tel Aviv,Osher Davida,77,ISR,"RW,LW,RM",23-347,80,0,0,0,0,1,0,0,0,36,0,1,0,0.0,0.0,0.2,3,0,22,29,75.9,2,22,1,3,2
745343bd,Maccabi Tel Aviv,Henry Addo,20,SVK,LM,21-274,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,2,0,0
745343bd,Maccabi Tel Aviv,Ido Shahar,36,ISR,AM,23-163,68,0,0,0,0,0,0,0,0,30,0,1,2,0.0,0.0,0.0,2,0,16,24,66.7,4,13,0,0,0
745343bd,Maccabi Tel Aviv,Dor Peretz,42,ISR,CM,29-258,22,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0
745343bd,Maccabi Tel Aviv,Gavriel Kanichowsky,16,ISR,DM,27-159,45,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,13,14,92.9,0,11,0,1,0
745343bd,Maccabi Tel Aviv,Joris van Overeem,14,NED,"CM,DM",30-243,45,0,0,0,0,1,0,0,0,28,1,2,2,0.2,0.2,0.0,1,0,17,23,73.9,1,17,0,0,0
745343bd,Maccabi Tel Aviv,Issouf Sissokho,28,MLI,DM,23-000,90,0,0,0,0,0,0,0,0,54,3,0,2,0.0,0.0,0.0,0,0,42,46,91.3,4,27,0,0,0
745343bd,Maccabi Tel Aviv,Roy Revivo,3,ISR,LB,21-253,90,0,0,0,0,0,0,0,0,53,2,0,2,0.0,0.0,0.0,1,0,35,41,85.4,3,22,2,1,0
745343bd,Maccabi Tel Aviv,Raz Shlomo,13,ISR,CB,25-170,90,0,0,0,0,0,0,0,0,99,1,0,0,0.0,0.0,0.1,1,0,82,93,88.2,7,68,1,1,1
745343bd,Maccabi Tel Aviv,Stav Lemkin,4,ISR,"CB,RB",21-303,90,0,0,0,0,3,1,0,0,89,1,0,0,0.2,0.2,0.0,0,0,63,74,85.1,4,55,0,2,1
745343bd,Maccabi Tel Aviv,Tyrese Asante,6,NED,RB,22-296,69,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,0,0,38,46,82.6,2,29,1,1,0
745343bd,Maccabi Tel Aviv,Nemanja Stojić,18,SRB,CB,27-015,21,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,33,37,89.2,2,30,0,1,0
745343bd,Maccabi Tel Aviv,Simon Sluga,23,CRO,GK,31-319,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,40,47,85.1,0,27,0,0,0
745343bd,Porto,Danny Loader,19,CMR,FW,24-155,66,0,0,0,0,2,1,0,0,14,0,0,0,0.4,0.4,0.0,0,0,4,8,50.0,0,8,1,1,1
745343bd,Porto,Deniz Gül,27,TUR,FW,20-212,24,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,7,0,0,0
745343bd,Porto,Fabio Vieira,10,POR,LW,24-245,66,0,0,0,0,0,0,0,0,26,1,0,1,0.0,0.0,0.0,2,0,17,23,73.9,8,15,1,1,1
745343bd,Porto,Vasco Sousa,15,POR,"CM,RM",21-302,24,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,0,6,0,0,0
745343bd,Porto,Pepê,11,BRA,"RW,LW",27-341,74,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,17,25,68.0,4,26,1,0,0
745343bd,Porto,Galeno,13,BRA,"LM,LW",27-100,16,0,0,0,0,1,1,0,0,15,0,1,0,0.0,0.0,0.0,2,0,6,9,66.7,0,6,2,1,1
745343bd,Porto,Moura,74,POR,LM,25-167,74,0,0,0,0,0,0,1,0,59,2,0,1,0.0,0.0,0.0,0,0,39,54,72.2,5,35,6,1,0
745343bd,Porto,Zaidu Sanusi,12,NGA,"LB,LM",27-231,16,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,1,0,3,6,50.0,0,1,0,0,0
745343bd,Porto,Nicolás González,16,ESP,"CM,RW",23-027,84,1,0,0,0,2,1,0,0,49,2,0,3,0.1,0.1,0.0,0,0,31,38,81.6,5,27,0,2,1
745343bd,Porto,Zé Pedro Figueiredo,97,POR,CB,27-238,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
745343bd,Porto,Alan Varela,22,ARG,CM,23-210,90,0,0,0,0,1,0,0,0,46,2,0,3,0.0,0.0,0.1,2,1,31,37,83.8,0,26,1,1,0
745343bd,Porto,João Mário Lopes,23,POR,"RM,RB",25-027,90,0,1,0,0,1,0,0,0,50,1,0,0,0.0,0.0,0.4,3,1,36,45,80.0,1,26,2,4,2
745343bd,Porto,Otavio Ataide,4,BRA,CB,22-284,90,0,0,0,0,0,0,0,0,90,1,4,6,0.0,0.0,0.1,2,0,60,72,83.3,6,64,3,0,0
745343bd,Porto,Stephen Eustáquio,6,CAN,"CB,CM",28-040,90,0,0,0,0,0,0,0,0,71,2,2,1,0.0,0.0,0.0,2,0,57,60,95.0,2,41,0,0,0
745343bd,Porto,Tiago Djaló,3,POR,CB,24-296,90,0,0,0,0,1,0,0,0,52,2,1,0,0.0,0.0,0.0,1,0,39,44,88.6,2,36,2,1,1
745343bd,Porto,Diogo Costa,99,POR,GK,25-133,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,34,46,73.9,0,32,0,0,0
