match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
878aaa47,Ferencváros,Barnabás Varga,19,HUN,FW,31-019,90,0,1,0,0,0,0,1,0,47,0,1,1,0.0,0.0,0.1,5,1,22,34,64.7,8,24,0,2,1
878aaa47,Ferencváros,Saldanha,11,BRA,FW,25-179,63,0,0,0,0,3,1,0,0,35,1,0,2,0.2,0.2,0.0,0,0,9,20,45.0,1,21,2,2,0
878aaa47,Ferencváros,Adama Traoré,20,MLI,FW,29-253,27,0,0,0,0,1,0,0,0,15,0,0,0,0.3,0.3,0.0,1,0,8,9,88.9,1,12,4,1,0
878aaa47,Ferencváros,Mohammad Abu Fani,15,ISR,CM,26-292,80,1,0,0,0,2,2,0,0,60,3,0,3,0.1,0.1,0.4,5,0,29,42,69.0,5,23,3,3,1
878aaa47,Ferencváros,Philippe Rommens,88,BEL,CM,27-177,10,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,1,0,0,0
878aaa47,Ferencváros,Julio Romão,66,BRA,CM,26-321,90,0,0,0,0,1,0,0,0,47,4,1,5,0.1,0.1,0.0,2,0,18,26,69.2,2,15,1,3,2
878aaa47,Ferencváros,Kristoffer Zachariassen,16,NOR,CM,30-109,58,0,0,0,0,0,0,0,0,19,1,0,1,0.0,0.0,0.0,1,0,6,10,60.0,0,12,0,2,0
878aaa47,Ferencváros,Mohamed Ali Ben Romdhane,7,TUN,CM,25-160,32,0,0,0,0,1,0,0,0,16,1,0,2,0.0,0.0,0.3,1,0,6,10,60.0,1,11,0,0,0
878aaa47,Ferencváros,Eldar Ćivić,17,BIH,LB,28-261,90,0,0,0,0,1,0,0,0,51,2,1,1,0.0,0.0,0.0,1,0,26,38,68.4,0,18,1,3,2
878aaa47,Ferencváros,Raul Bicalho,34,BRA,CB,25-295,90,0,0,0,0,1,0,0,0,56,3,3,1,0.1,0.1,0.0,1,0,28,38,73.7,5,26,1,1,0
878aaa47,Ferencváros,Ibrahim Cissé,27,SEN,CB,28-287,90,0,0,0,0,0,0,0,0,31,3,2,1,0.0,0.0,0.0,0,0,15,17,88.2,2,10,0,0,0
878aaa47,Ferencváros,Stefan Gartenmann,3,SUI,CB,28-011,90,0,0,0,0,2,0,0,0,61,3,1,3,0.1,0.1,0.0,3,1,23,41,56.1,4,15,0,1,0
878aaa47,Ferencváros,Cebrails Makreckis,25,LVA,RB,24-279,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,2,0,37,48,77.1,2,24,2,5,3
878aaa47,Ferencváros,Dávid Gróf,89,HUN,GK,35-302,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,14,32,43.8,0,14,0,0,0
878aaa47,Viktoria Plzeň,Prince Adu Kwabena,80,GHA,FW,21-143,90,0,0,0,0,1,0,0,0,55,9,0,1,0.0,0.0,0.0,1,0,20,28,71.4,2,24,1,9,6
878aaa47,Viktoria Plzeň,Matěj Vydra,11,CZE,FW,32-288,65,0,0,0,0,4,0,0,0,36,0,1,1,0.3,0.3,0.0,4,0,15,24,62.5,3,13,0,2,0
878aaa47,Viktoria Plzeň,Rafiu Durosinmi,17,NGA,FW,22-043,25,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,9,14,64.3,2,4,0,1,0
878aaa47,Viktoria Plzeň,Cadu,22,BRA,LW,27-189,76,0,0,0,0,0,0,0,0,33,2,0,3,0.0,0.0,0.1,1,0,18,25,72.0,3,9,1,0,0
878aaa47,Viktoria Plzeň,Merchas Doski,14,IRQ,LW,25-068,14,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,2,4,0,0,0
878aaa47,Viktoria Plzeň,Milan Havel,24,CZE,RW,30-190,55,0,0,0,0,1,0,0,0,34,2,0,4,0.1,0.1,0.0,0,0,17,24,70.8,0,10,1,1,0
878aaa47,Viktoria Plzeň,Amar Memić,99,BIH,RW,24-024,35,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,8,14,57.1,1,5,0,0,0
878aaa47,Viktoria Plzeň,Pavel Šulc,31,CZE,CM,24-046,90,0,0,0,0,2,0,0,0,56,1,1,0,0.0,0.0,0.1,3,0,25,39,64.1,4,23,0,1,0
878aaa47,Viktoria Plzeň,Lukáš Červ,6,CZE,CM,23-309,90,0,0,0,0,5,1,0,0,69,3,0,3,0.2,0.2,0.0,4,0,33,50,66.0,6,23,0,2,0
878aaa47,Viktoria Plzeň,Lukáš Kalvach,23,CZE,DM,29-209,76,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.3,7,0,31,42,73.8,1,12,0,0,0
878aaa47,Viktoria Plzeň,Jiří Panoš,20,CZE,DM,17-090,14,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,1,0,6,8,75.0,1,5,0,1,1
878aaa47,Viktoria Plzeň,Václav Jemelka,21,CZE,CB,29-235,90,0,0,0,0,0,0,0,0,62,5,0,0,0.0,0.0,0.0,1,0,39,47,83.0,5,23,2,0,0
878aaa47,Viktoria Plzeň,Svetozar Marković,3,SRB,CB,24-327,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.1,3,0,36,44,81.8,0,26,0,0,0
878aaa47,Viktoria Plzeň,Sampson Dweh Jr.,40,LBR,CB,23-126,90,0,0,0,0,3,1,0,0,91,5,1,2,0.3,0.3,0.0,0,0,59,67,88.1,5,30,0,1,0
878aaa47,Viktoria Plzeň,Martin Jedlička,16,CZE,GK,27-020,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,31,40,77.5,0,21,0,0,0
