match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
87b3c99d,PAOK,Fyodor Chalov,9,RUS,FW,26-288,63,0,1,0,0,1,1,0,0,26,1,1,0,0.1,0.1,0.2,3,1,13,17,76.5,1,20,2,0,0
87b3c99d,PAOK,Brandon,71,ESP,FW,29-354,27,0,0,0,0,1,0,0,0,20,0,0,2,0.3,0.3,0.2,3,0,10,12,83.3,1,19,1,2,1
87b3c99d,PAOK,Taison,11,BRA,LW,37-010,75,0,0,0,0,2,2,0,0,36,0,2,1,0.1,0.1,0.0,2,0,18,27,66.7,2,28,2,1,0
87b3c99d,PAOK,Shola Shoretire,47,ENG,LW,20-356,15,0,0,0,0,1,1,0,0,17,1,0,0,0.2,0.2,0.0,1,0,12,14,85.7,1,11,0,0,0
87b3c99d,PAOK,Kiril Despodov,77,BUL,RW,28-073,83,0,0,0,0,0,0,1,0,38,2,0,1,0.0,0.0,0.1,4,0,23,30,76.7,4,18,1,1,0
87b3c99d,PAOK,Tarik Tissoudali,34,MAR,RW,31-296,7,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.3,1,0,2,2,100.0,0,2,1,0,0
87b3c99d,PAOK,Giannis Konstantelias,7,GRE,AM,21-324,90,1,0,0,0,2,1,0,0,41,0,0,2,0.4,0.4,0.1,2,0,27,34,79.4,3,29,2,6,5
87b3c99d,PAOK,Stefan Schwab,22,AUT,DM,34-118,90,1,0,1,1,4,1,0,0,48,4,0,2,0.9,0.2,0.2,3,1,25,32,78.1,3,22,1,1,0
87b3c99d,PAOK,Magomed Ozdoyev,27,RUS,DM,32-079,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,3,14,1,0,0
87b3c99d,PAOK,Baba Rahman,21,GHA,LB,30-205,90,0,0,0,0,0,0,0,0,59,5,0,5,0.0,0.0,0.1,1,0,31,41,75.6,3,29,1,3,1
87b3c99d,PAOK,Giannis Michailidis,5,GRE,CB,24-340,90,0,0,0,0,0,0,0,0,53,2,0,0,0.0,0.0,0.0,1,1,27,33,81.8,2,24,0,0,0
87b3c99d,PAOK,Tomasz Kędziora,16,POL,CB,30-226,90,0,0,0,0,2,0,0,0,50,1,1,1,0.1,0.1,0.0,0,0,22,27,81.5,1,26,0,0,0
87b3c99d,PAOK,Jonny Castro,19,ESP,RB,30-326,90,0,0,0,0,0,0,1,0,74,4,1,5,0.0,0.0,0.0,1,0,46,53,86.8,5,42,1,2,1
87b3c99d,PAOK,Dominik Kotarski,42,CRO,GK,24-348,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,16,32,50.0,0,20,0,0,0
87b3c99d,Slavia Prague,Mojmir Chytil,13,CZE,FW,25-269,90,0,0,0,0,2,0,1,0,23,1,0,0,0.1,0.1,0.2,2,0,8,13,61.5,1,10,1,4,2
87b3c99d,Slavia Prague,Dominik Pech,48,CZE,LW,18-141,90,0,0,0,0,1,1,0,0,28,0,0,0,0.2,0.2,0.0,1,0,17,24,70.8,3,22,5,5,3
87b3c99d,Slavia Prague,Ondřej Lingr,32,CZE,RW,26-108,82,0,0,0,0,1,1,0,0,25,2,0,0,0.1,0.1,0.0,3,0,4,11,36.4,0,12,0,1,0
87b3c99d,Slavia Prague,Filip Prebsl,28,CZE,RW,21-325,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,3,0,0,0
87b3c99d,Slavia Prague,El Hadji Diouf,12,SEN,LM,20-026,90,0,0,0,0,1,0,0,0,75,2,0,1,0.1,0.1,0.2,2,0,43,55,78.2,6,43,5,5,1
87b3c99d,Slavia Prague,Oscar Dorley,19,LBR,CM,26-188,82,0,0,0,0,1,0,0,0,43,3,2,0,0.0,0.0,0.0,2,0,31,35,88.6,4,20,1,3,1
87b3c99d,Slavia Prague,Ondřej Zmrzlý,33,CZE,CM,25-276,8,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,2,3,66.7,0,4,1,0,0
87b3c99d,Slavia Prague,Christos Zafeiris,10,GRE,CM,21-335,90,0,0,0,0,1,0,0,0,48,3,1,1,0.0,0.0,0.0,3,0,23,34,67.6,6,21,2,2,2
87b3c99d,Slavia Prague,David Doudera,21,CZE,RM,26-237,65,0,0,0,0,3,0,1,0,41,0,0,1,0.1,0.1,0.1,5,0,23,32,71.9,3,17,1,1,1
87b3c99d,Slavia Prague,Simion Michez,14,BEL,RM,22-349,25,0,0,0,0,1,0,0,0,16,2,0,0,0.0,0.0,0.0,2,0,9,13,69.2,0,7,3,0,0
87b3c99d,Slavia Prague,David Zima,4,CZE,CB,24-076,90,0,0,0,0,4,2,0,0,76,2,2,3,0.3,0.3,0.1,2,0,44,55,80.0,8,35,2,0,0
87b3c99d,Slavia Prague,Ogbu Igoh,5,NGA,CB,24-350,71,0,0,0,0,0,0,1,0,58,1,1,1,0.0,0.0,0.0,1,0,48,53,90.6,5,34,1,0,0
87b3c99d,Slavia Prague,Daniel Fila,11,CZE,CB,22-155,19,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,0,4,0.0,0,5,2,3,2
87b3c99d,Slavia Prague,Mikuláš Konečný,46,CZE,CB,18-235,65,0,0,0,0,0,0,0,0,51,1,2,1,0.0,0.0,0.0,1,0,31,40,77.5,2,19,1,3,1
87b3c99d,Slavia Prague,Tomáš Holeš,3,CZE,CB,31-298,25,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,18,22,81.8,3,15,0,0,0
87b3c99d,Slavia Prague,Aleš Mandous,24,CZE,GK,32-277,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,40,46,87.0,0,29,0,0,0
