match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
b42bcad7,Roma,Artem Dovbyk,11,UKR,FW,27-125,52,1,0,1,1,1,0,0,0,14,1,0,0,0.8,0.1,0.0,1,0,5,9,55.6,0,10,0,0,0
b42bcad7,Roma,Eldor Shomurodov,14,UZB,FW,29-117,38,0,0,0,0,4,1,0,0,23,0,0,0,0.7,0.7,0.0,0,0,7,14,50.0,0,14,3,1,1
b42bcad7,Roma,Niccolò Pisilli,61,ITA,AM,20-031,67,0,0,0,0,1,0,0,0,43,4,0,1,0.2,0.2,0.0,5,1,30,36,83.3,3,37,2,2,0
b42bcad7,Roma,Lorenzo Pellegrini,7,ITA,AM,28-127,23,0,0,0,0,2,1,0,0,11,0,0,0,0.1,0.1,0.0,2,0,8,9,88.9,1,7,0,0,0
b42bcad7,Roma,Tommaso Baldanzi,35,ITA,AM,21-215,67,0,0,0,0,3,0,0,0,44,2,0,0,0.1,0.1,0.0,1,1,31,37,83.8,2,35,5,3,2
b42bcad7,Roma,Paulo Dybala,21,ARG,AM,30-344,23,0,0,0,0,0,0,0,0,21,2,0,1,0.0,0.0,0.7,4,0,14,16,87.5,2,14,0,0,0
b42bcad7,Roma,Enzo Le Fée,28,FRA,CM,24-264,52,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.4,4,0,52,60,86.7,2,51,2,2,2
b42bcad7,Roma,Bryan Cristante,4,ITA,CM,29-235,38,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,0,0,18,22,81.8,3,20,0,0,0
b42bcad7,Roma,Manu Koné,17,FRA,CM,23-160,90,0,0,0,0,0,0,0,0,70,1,2,0,0.0,0.0,0.0,2,0,59,61,96.7,1,57,3,1,1
b42bcad7,Roma,Angeliño,3,ESP,WB,27-294,90,0,0,0,0,0,0,1,0,74,1,1,1,0.0,0.0,0.3,6,0,51,64,79.7,7,57,0,0,0
b42bcad7,Roma,Nicola Zalewski,59,POL,WB,22-275,90,0,0,0,0,1,0,0,0,65,1,1,2,0.0,0.0,0.0,1,0,46,56,82.1,3,46,3,2,0
b42bcad7,Roma,Mario Hermoso,22,ESP,CB,29-128,90,0,0,0,0,1,1,0,0,83,0,0,1,0.0,0.0,0.0,3,0,63,78,80.8,11,60,1,0,0
b42bcad7,Roma,Obite N'Dicka,5,CIV,CB,25-065,90,0,0,0,0,2,1,0,0,80,1,1,1,0.3,0.3,0.0,0,0,64,69,92.8,5,57,0,0,0
b42bcad7,Roma,Zeki Çelik,19,TUR,CB,27-250,90,0,0,0,0,1,0,0,0,94,3,6,1,0.1,0.1,0.0,1,0,69,80,86.3,5,69,1,0,0
b42bcad7,Roma,Mile Svilar,99,SRB,GK,25-058,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,29,69.0,0,22,0,0,0
b42bcad7,Dynamo Kyiv,Eduardo Guerrero,39,PAN,FW,24-246,67,0,0,0,0,3,1,0,0,24,0,0,0,0.3,0.3,0.1,2,0,11,13,84.6,1,17,0,2,0
b42bcad7,Dynamo Kyiv,Vladyslav Vanat,11,UKR,FW,22-294,23,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,6,0,1,0
b42bcad7,Dynamo Kyiv,Nazar Voloshyn,9,UKR,FW,21-129,62,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,2,0,12,15,80.0,0,15,1,0,0
b42bcad7,Dynamo Kyiv,Vladyslav Kabayev,22,UKR,FW,29-053,28,0,0,0,0,0,0,1,0,13,0,1,0,0.0,0.0,0.0,1,0,6,10,60.0,1,13,2,0,0
b42bcad7,Dynamo Kyiv,Valentyn Rubchynskyi,15,UKR,CM,22-252,62,0,0,0,0,1,0,1,0,30,1,0,2,0.0,0.0,0.0,2,0,18,24,75.0,2,20,2,2,1
b42bcad7,Dynamo Kyiv,Volodymyr Brazhko,6,UKR,CM,22-275,28,0,0,0,0,0,0,0,0,22,0,2,0,0.0,0.0,0.0,1,0,15,18,83.3,1,13,0,0,0
b42bcad7,Dynamo Kyiv,Oleksandr Andriyevskyi,18,UKR,CM,30-121,62,0,0,0,0,0,0,0,0,41,1,2,1,0.0,0.0,0.0,0,0,24,32,75.0,2,24,0,2,0
b42bcad7,Dynamo Kyiv,Mykola Shaparenko,10,UKR,CM,26-020,28,0,0,0,0,0,0,1,0,18,0,0,0,0.0,0.0,0.3,1,0,12,16,75.0,2,13,2,1,0
b42bcad7,Dynamo Kyiv,Mykola Mykhailenko,91,UKR,CM,23-155,80,0,0,0,0,1,0,0,0,24,2,2,0,0.3,0.3,0.0,0,0,9,16,56.3,0,13,0,2,1
b42bcad7,Dynamo Kyiv,Vitaliy Buyalskyi,29,UKR,CM,31-292,10,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
b42bcad7,Dynamo Kyiv,Kostiantyn Vivcharenko,2,UKR,LB,22-136,90,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.1,2,0,40,46,87.0,2,28,1,1,0
b42bcad7,Dynamo Kyiv,Taras Mykhavko,32,UKR,CB,19-147,90,0,0,0,0,0,0,1,0,71,0,1,1,0.0,0.0,0.0,0,0,44,60,73.3,2,43,1,1,0
b42bcad7,Dynamo Kyiv,Denys Popov,4,UKR,CB,25-250,90,0,0,0,0,0,0,0,0,55,0,5,2,0.0,0.0,0.0,0,0,24,39,61.5,0,31,0,0,0
b42bcad7,Dynamo Kyiv,Kristian Bilovar,40,UKR,CB,23-262,90,0,0,0,0,0,0,0,0,53,1,2,4,0.0,0.0,0.1,1,0,33,40,82.5,3,31,0,1,0
b42bcad7,Dynamo Kyiv,Oleksandr Tymchyk,24,UKR,RB,27-278,90,0,0,0,0,1,0,0,0,40,0,2,0,0.1,0.1,0.2,2,0,28,36,77.8,1,25,0,0,0
b42bcad7,Dynamo Kyiv,Ruslan Neshcheret,35,UKR,GK,22-276,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,29,43,67.4,0,33,0,0,0
