match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e65fbc10,Lyon,Georges Mikautadze,69,GEO,"FW,RW,LW",24-091,90,0,1,0,0,2,1,0,0,33,0,0,0,0.2,0.2,0.4,3,1,20,26,76.9,1,29,2,3,1
e65fbc10,Lyon,Ernest Nuamah,37,GHA,LW,21-090,83,0,0,0,0,3,2,1,0,40,4,0,1,0.3,0.3,0.1,3,0,22,26,84.6,3,31,2,6,4
e65fbc10,Lyon,Sael Kumbedi,20,FRA,RW,19-310,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,4,0,0,0
e65fbc10,Lyon,Rayan Cherki,18,FRA,"RW,RM",21-166,90,0,0,0,0,2,1,0,0,84,0,0,1,0.1,0.1,0.6,7,0,51,71,71.8,7,58,3,7,4
e65fbc10,Lyon,Corentin Tolisso,8,FRA,LM,30-180,90,1,0,0,0,3,2,0,0,83,1,1,4,0.3,0.3,0.0,1,0,61,71,85.9,10,57,2,3,3
e65fbc10,Lyon,Tanner Tessmann,15,USA,CM,23-128,63,0,0,0,0,1,1,0,0,45,3,0,0,0.0,0.0,0.0,0,0,34,42,81.0,1,34,0,1,1
e65fbc10,Lyon,Alexandre Lacazette,10,FRA,FW,33-247,27,0,0,0,0,0,0,0,0,17,0,1,1,0.0,0.0,0.0,2,0,7,11,63.6,0,9,1,0,0
e65fbc10,Lyon,Jordan Veretout,7,FRA,RM,31-335,64,0,0,0,0,0,0,0,0,51,1,0,1,0.0,0.0,0.1,2,0,43,46,93.5,8,37,0,1,0
e65fbc10,Lyon,Nemanja Matić,31,SRB,CM,36-182,26,0,0,0,0,1,0,0,0,30,0,0,0,0.1,0.1,0.0,3,0,26,28,92.9,2,18,0,1,1
e65fbc10,Lyon,Abner,16,BRA,LB,24-248,77,0,0,0,0,0,0,0,0,68,4,1,1,0.0,0.0,0.1,1,0,46,58,79.3,3,41,0,0,0
