match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
16d01a57,Inter,Lautaro Martínez,10,ARG,FW,27-076,61,0,0,0,0,1,0,1,0,20,0,1,1,0.0,0.0,0.0,2,0,12,15,80.0,3,12,0,2,0
16d01a57,Inter,Marcus Thuram,9,FRA,FW,27-092,29,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,0,6,0,0,0
16d01a57,Inter,Mehdi Taremi,99,IRN,FW,32-111,78,0,0,0,0,2,0,0,0,20,1,0,1,0.2,0.2,0.0,2,1,9,12,75.0,1,6,0,0,0
16d01a57,Inter,Federico Dimarco,32,ITA,LM,26-362,12,0,0,0,0,0,0,0,0,5,1,1,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
16d01a57,Inter,Piotr Zieliński,7,POL,CM,30-170,61,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.1,3,0,17,23,73.9,1,18,0,2,2
16d01a57,Inter,Henrikh Mkhitaryan,22,ARM,CM,35-290,29,0,0,0,0,0,0,0,0,16,5,1,0,0.0,0.0,0.0,0,0,5,6,83.3,0,2,0,0,0
16d01a57,Inter,Hakan Çalhanoğlu,20,TUR,CM,30-272,70,1,0,1,1,1,0,0,0,51,1,2,0,0.8,0.0,0.0,2,0,37,45,82.2,2,34,0,0,0
16d01a57,Inter,Kristjan Asllani,21,ALB,CM,22-242,20,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0
16d01a57,Inter,Davide Frattesi,16,ITA,CM,25-015,61,0,0,0,0,0,0,0,0,11,0,1,1,0.0,0.0,0.0,1,0,4,7,57.1,1,6,1,0,0
16d01a57,Inter,Nicolò Barella,23,ITA,"RM,CM",27-273,29,0,0,0,0,0,0,1,0,19,0,0,0,0.0,0.0,0.0,1,0,10,14,71.4,1,10,0,2,1
16d01a57,Inter,Matteo Darmian,36,ITA,"WB,LB",34-340,90,0,0,0,0,0,0,0,0,37,3,1,0,0.0,0.0,0.0,0,0,19,28,67.9,2,13,0,0,0
16d01a57,Inter,Denzel Dumfries,2,NED,"WB,RB",28-202,90,0,0,0,0,2,0,0,0,36,3,1,3,0.1,0.1,0.0,0,0,9,22,40.9,2,13,0,0,0
16d01a57,Inter,Yann Aurel Bisseck,31,GER,CB,23-343,90,0,0,0,0,0,0,0,0,60,0,1,5,0.0,0.0,0.0,0,0,30,40,75.0,1,31,1,1,0
16d01a57,Inter,Stefan de Vrij,6,NED,CB,32-275,90,0,0,0,0,0,0,0,0,56,1,0,2,0.0,0.0,0.0,0,0,35,42,83.3,0,26,0,0,0
16d01a57,Inter,Benjamin Pavard,28,FRA,CB,28-223,90,0,0,0,0,0,0,0,0,48,1,0,2,0.0,0.0,0.0,0,0,30,35,85.7,0,22,0,0,0
16d01a57,Inter,Yann Sommer,1,SUI,GK,35-325,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,23,40,57.5,0,24,0,0,0
16d01a57,Arsenal,Kai Havertz,29,GER,"CM,FW",25-148,89,0,0,0,0,4,1,0,0,39,0,0,0,0.3,0.3,0.0,6,0,25,31,80.6,3,21,1,1,1
16d01a57,Arsenal,Martin Ødegaard,8,NOR,CM,25-325,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0
16d01a57,Arsenal,Leandro Trossard,19,BEL,FW,29-338,81,0,0,0,0,1,0,0,0,48,1,0,3,0.0,0.0,0.2,2,0,36,41,87.8,9,23,1,1,1
16d01a57,Arsenal,Ethan Nwaneri,53,ENG,FW,17-230,9,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,8,1,2,1
16d01a57,Arsenal,Gabriel Martinelli,11,BRA,LM,23-141,90,0,0,0,0,2,0,0,0,51,2,0,0,0.1,0.1,0.6,5,0,30,42,71.4,2,33,8,3,2
16d01a57,Arsenal,Mikel Merino,23,ESP,CM,28-137,45,0,0,0,0,1,1,0,0,18,3,0,1,0.2,0.2,0.0,1,0,7,10,70.0,1,5,1,0,0
16d01a57,Arsenal,Gabriel Jesus,9,BRA,FW,27-217,45,0,0,0,0,3,0,1,0,20,1,0,0,0.2,0.2,0.0,2,0,5,8,62.5,2,12,1,3,0
16d01a57,Arsenal,Thomas Partey,5,GHA,CM,31-146,90,0,0,0,0,0,0,0,0,67,1,2,0,0.0,0.0,0.1,4,0,56,63,88.9,7,41,0,1,1
16d01a57,Arsenal,Bukayo Saka,7,ENG,RM,23-062,90,0,0,0,0,3,2,0,0,68,0,1,2,0.3,0.3,0.2,3,0,32,56,57.1,4,36,12,4,1
16d01a57,Arsenal,Jurriën Timber,12,NED,LB,23-142,81,0,0,0,0,0,0,0,0,59,1,3,0,0.0,0.0,0.0,3,0,46,53,86.8,11,36,2,2,2
16d01a57,Arsenal,Oleksandr Zinchenko,17,UKR,LB,27-327,9,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.1,2,0,17,22,77.3,3,15,1,0,0
16d01a57,Arsenal,Gabriel Magalhães,6,BRA,CB,26-323,90,0,0,0,0,3,0,1,0,82,0,1,0,0.3,0.3,0.0,1,0,62,75,82.7,4,32,0,0,0
16d01a57,Arsenal,William Saliba,2,FRA,CB,23-227,90,0,0,0,0,2,0,0,0,79,1,0,1,0.3,0.3,0.0,2,0,65,70,92.9,5,38,0,1,1
16d01a57,Arsenal,Ben White,4,ENG,RB,27-029,90,0,0,0,0,0,0,0,0,70,2,1,0,0.0,0.0,0.0,2,0,51,63,81.0,12,36,3,0,0
16d01a57,Arsenal,David Raya,22,ESP,GK,29-052,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,17,23,73.9,0,13,0,0,0
