match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
3a843132,Leverkusen,Florian Wirtz,10,GER,"FW,LW",21-207,75,2,1,1,1,3,2,0,0,68,1,0,0,1.2,0.4,0.6,7,3,38,49,77.6,5,54,7,10,3
3a843132,Leverkusen,Francis Onyeka,40,GER,RW,17-211,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,2,7,0,0,0
3a843132,Leverkusen,Patrik Schick,14,CZE,FW,28-307,72,1,0,0,0,5,1,0,0,33,0,2,0,1.2,1.2,0.0,3,1,18,24,75.0,1,22,3,2,1
3a843132,Leverkusen,Artem Stepanov,29,UKR,FW,17-108,18,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
3a843132,Leverkusen,Granit Xhaka,34,SUI,"CM,DM",32-060,90,0,0,0,0,1,1,0,0,104,3,2,1,0.0,0.0,0.2,5,1,88,93,94.6,10,83,3,0,0
3a843132,Leverkusen,Robert Andrich,8,GER,"CM,DM",30-065,90,0,0,0,0,0,0,1,0,76,1,0,1,0.0,0.0,0.2,4,0,67,72,93.1,5,67,1,0,0
3a843132,Leverkusen,Exequiel Palacios,25,ARG,CM,26-052,67,0,0,0,0,3,1,0,0,64,7,1,3,0.3,0.3,0.3,6,0,40,51,78.4,6,45,1,1,1
3a843132,Leverkusen,Aleix García,24,ESP,AM,27-151,23,1,0,0,0,2,2,0,0,17,0,0,0,0.7,0.7,0.0,1,0,13,15,86.7,0,15,0,0,0
3a843132,Leverkusen,Álex Grimaldo,20,ESP,"WB,LB",29-067,90,1,1,0,0,7,4,0,0,90,4,1,0,0.5,0.5,0.5,5,1,68,78,87.2,10,66,4,0,0
3a843132,Leverkusen,Jeremie Frimpong,30,NED,WB,23-352,67,0,1,0,0,2,1,0,0,41,1,0,1,0.1,0.1,0.9,5,1,23,30,76.7,1,28,5,4,0
3a843132,Leverkusen,Nathan Tella,19,NGA,"LW,RW",25-144,23,0,0,0,0,3,0,0,0,15,1,1,0,0.4,0.4,0.3,2,0,6,8,75.0,1,10,4,2,1
3a843132,Leverkusen,Piero Hincapié,3,ECU,CB,22-322,67,0,0,0,0,0,0,0,0,68,2,0,0,0.0,0.0,0.0,1,0,57,63,90.5,7,58,2,0,0
3a843132,Leverkusen,Arthur,13,BRA,RB,21-254,23,0,0,0,0,0,0,0,0,19,0,0,2,0.0,0.0,0.0,0,0,12,15,80.0,1,13,1,0,0
3a843132,Leverkusen,Jonathan Tah,4,GER,CB,28-289,90,0,0,0,0,1,0,0,0,117,1,1,1,0.1,0.1,0.0,0,0,104,106,98.1,3,99,0,0,0
3a843132,Leverkusen,Edmond Tapsoba,12,BFA,CB,25-298,90,0,0,0,0,1,0,0,0,109,2,0,1,0.2,0.2,0.1,4,1,87,97,89.7,8,86,0,1,1
3a843132,Leverkusen,Matej Kovar,17,CZE,GK,24-193,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,25,28,89.3,0,26,0,0,0
3a843132,RB Salzburg,Karim Konaté,19,CIV,FW,20-250,15,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,0,0
3a843132,RB Salzburg,Nene Dorgeles,45,MLI,RW,21-339,75,0,0,0,0,2,1,0,0,36,2,1,1,0.2,0.2,0.1,2,0,20,23,87.0,3,26,4,2,1
