match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
4dadf9f4,Dortmund,Serhou Guirassy,9,GUI,FW,28-344,68,0,0,0,1,1,1,0,0,21,0,0,0,0.8,0.0,0.0,1,0,12,15,80.0,1,17,0,2,1
4dadf9f4,Dortmund,Julien Duranville,16,BEL,RW,18-290,22,0,0,0,0,2,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,5,5,100.0,2,8,2,1,0
4dadf9f4,Dortmund,Jamie Gittens,43,ENG,LW,20-195,45,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.0,0,0,7,14,50.0,1,14,6,5,0
4dadf9f4,Dortmund,Maximilian Beier,14,GER,"LW,FW",22-125,45,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,2,0,15,20,75.0,2,17,0,1,0
4dadf9f4,Dortmund,Karim Adeyemi,27,GER,"RW,FW",23-032,88,0,0,0,0,5,1,0,0,43,1,1,1,0.2,0.2,0.1,5,0,23,32,71.9,2,29,3,5,1
4dadf9f4,Dortmund,Ramy Bensebaini,5,ALG,LW,29-309,2,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.1,1,0,2,2,100.0,1,2,0,0,0
4dadf9f4,Dortmund,Julian Brandt,10,GER,AM,28-293,68,0,0,0,0,1,0,0,0,39,0,0,0,0.0,0.0,0.0,2,0,23,35,65.7,3,35,5,3,2
4dadf9f4,Dortmund,Gio Reyna,7,USA,AM,22-098,22,0,0,0,0,2,0,0,0,22,1,0,0,0.4,0.4,0.0,2,0,15,17,88.2,1,13,0,1,0
4dadf9f4,Dortmund,Pascal Groß,13,GER,DM,33-249,90,0,0,0,0,0,0,0,0,95,2,2,1,0.0,0.0,0.0,5,0,70,82,85.4,11,65,2,0,0
4dadf9f4,Dortmund,Marcel Sabitzer,20,AUT,DM,30-339,88,0,0,0,0,3,1,1,0,89,3,0,3,0.1,0.1,0.1,6,0,74,78,94.9,7,68,0,0,0
4dadf9f4,Dortmund,Waldemar Anton,3,GER,DM,28-214,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
4dadf9f4,Dortmund,Daniel Svensson,24,SWE,LB,23-007,90,0,0,0,0,1,1,0,0,77,6,1,1,0.0,0.0,0.0,1,0,51,62,82.3,6,47,1,1,0
4dadf9f4,Dortmund,Nico Schlotterbeck,4,GER,CB,25-080,90,0,0,0,0,2,0,0,0,96,2,1,2,0.1,0.1,0.0,2,0,84,88,95.5,6,76,2,1,0
4dadf9f4,Dortmund,Emre Can,23,GER,CB,31-038,90,0,0,0,0,0,0,0,0,108,4,1,1,0.0,0.0,0.0,2,0,89,96,92.7,1,86,2,3,2
4dadf9f4,Dortmund,Julian Ryerson,26,NOR,RB,27-094,90,0,0,0,0,0,0,0,0,90,6,0,1,0.0,0.0,0.2,5,0,68,79,86.1,4,62,2,2,2
4dadf9f4,Dortmund,Gregor Kobel,1,SUI,GK,27-075,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,26,29,89.7,0,27,0,0,0
4dadf9f4,Sporting CP,Conrad Harder,19,DEN,FW,19-318,90,0,0,0,0,4,1,0,0,28,0,1,3,0.3,0.3,0.0,0,0,10,14,71.4,0,21,0,5,1
4dadf9f4,Sporting CP,Biel,30,BRA,AM,23-324,55,0,0,0,0,0,0,0,0,29,0,2,0,0.0,0.0,0.0,0,0,14,20,70.0,0,17,2,3,0
4dadf9f4,Sporting CP,Maximiliano Araújo,20,URU,WB,25-004,35,0,0,0,0,0,0,0,0,29,2,1,1,0.0,0.0,0.0,1,0,16,19,84.2,0,18,1,4,1
4dadf9f4,Sporting CP,Geovany Quenda,57,POR,AM,17-295,83,0,0,0,0,1,0,0,0,41,1,0,2,0.0,0.0,0.0,2,0,22,29,75.9,5,27,3,7,3
4dadf9f4,Sporting CP,Lucas Anjos,67,POR,AM,20-227,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,3,1,0,0
4dadf9f4,Sporting CP,João Simões,52,POR,CM,18-044,39,0,0,0,0,0,0,0,0,29,0,2,1,0.0,0.0,0.0,1,0,20,23,87.0,0,18,0,1,0
4dadf9f4,Sporting CP,Zeno Debast,6,BEL,CM,21-118,51,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.3,4,0,19,21,90.5,2,20,1,3,1
4dadf9f4,Sporting CP,Morten Hjulmand,42,DEN,CM,25-239,45,0,0,0,0,0,0,0,0,34,1,1,0,0.0,0.0,0.0,0,0,23,28,82.1,2,21,0,1,1
4dadf9f4,Sporting CP,Alexandre Brito,50,POR,CM,19-215,45,0,0,0,0,1,0,0,0,24,0,2,1,0.0,0.0,0.0,0,0,18,20,90.0,2,18,0,1,1
4dadf9f4,Sporting CP,Matheus Reis,2,BRA,"WB,CB",30-001,90,0,0,0,0,0,0,0,0,69,1,0,0,0.0,0.0,0.0,0,0,55,62,88.7,1,40,2,1,0
4dadf9f4,Sporting CP,Ricardo Esgaio,47,POR,WB,31-279,90,0,0,0,0,0,0,0,0,53,1,1,2,0.0,0.0,0.0,2,0,34,45,75.6,2,32,1,0,0
4dadf9f4,Sporting CP,Gonçalo Inácio,25,POR,CB,23-178,55,0,0,0,0,0,0,0,0,64,0,0,3,0.0,0.0,0.0,0,0,52,57,91.2,2,47,1,1,0
4dadf9f4,Sporting CP,Afonso Bastardo,90,POR,AM,19-337,35,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,13,15,86.7,2,15,1,2,0
4dadf9f4,Sporting CP,Ousmane Diomande,26,CIV,CB,21-077,90,0,0,0,0,0,0,0,0,74,2,1,2,0.0,0.0,0.0,0,0,62,64,96.9,1,49,0,1,1
4dadf9f4,Sporting CP,Eduardo Quaresma,72,POR,CB,22-354,90,0,0,0,0,0,0,0,0,87,9,7,2,0.0,0.0,0.0,0,0,58,63,92.1,1,59,1,2,0
4dadf9f4,Sporting CP,Rui Silva,24,POR,GK,31-012,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,39,47,83.0,0,32,0,0,0
