match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e5e2d3a2,Benfica,Vangelis Pavlidis,14,GRE,FW,25-316,59,0,0,0,0,4,2,0,0,28,2,0,1,1.1,1.1,0.0,3,1,12,18,66.7,2,18,2,1,0
e5e2d3a2,Benfica,Zeki Amdouni,7,SUI,FW,23-303,31,0,0,0,0,3,0,0,0,11,0,0,0,0.2,0.2,0.0,2,2,4,5,80.0,0,8,2,2,1
e5e2d3a2,Benfica,Kerem Aktürkoğlu,17,TUR,LW,25-347,70,1,0,0,0,2,1,0,0,30,0,3,0,0.6,0.6,0.0,2,1,13,20,65.0,1,23,2,2,0
e5e2d3a2,Benfica,Jan-Niklas Beste,37,GER,LW,25-272,20,0,1,0,0,1,1,0,0,19,0,0,0,0.0,0.0,0.5,3,1,14,16,87.5,0,13,0,1,0
e5e2d3a2,Benfica,Ángel Di María,11,ARG,RW,36-231,70,1,0,1,1,3,1,0,0,49,3,0,0,1.1,0.3,0.9,6,0,25,34,73.5,2,35,4,4,2
e5e2d3a2,Benfica,Benjamín Rollheiser,32,ARG,RW,24-192,20,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.2,3,0,18,20,90.0,3,17,1,0,0
e5e2d3a2,Benfica,Orkun Kökçü,10,TUR,LM,23-278,85,1,0,1,1,1,1,0,0,76,0,0,1,0.8,0.0,0.3,4,1,56,69,81.2,6,56,2,2,2
e5e2d3a2,Benfica,Leandro Barreiro Martins,18,LUX,LM,24-273,5,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.1,1,0,12,13,92.3,0,8,0,0,0
e5e2d3a2,Benfica,Florentino Luís,61,POR,CM,25-044,90,0,0,0,0,0,0,0,0,79,4,3,5,0.0,0.0,0.0,2,0,59,63,93.7,1,46,1,1,0
e5e2d3a2,Benfica,Fredrik Aursnes,8,NOR,RM,28-297,90,0,1,0,0,1,1,1,0,64,1,0,1,0.0,0.0,0.6,2,1,54,59,91.5,4,48,4,0,0
e5e2d3a2,Benfica,Álvaro Carreras,3,ESP,LB,21-193,90,0,0,0,0,0,0,0,0,91,3,4,1,0.0,0.0,0.0,2,0,78,83,94.0,5,68,0,5,4
e5e2d3a2,Benfica,Nicolás Otamendi,30,ARG,CB,36-233,90,0,0,0,0,0,0,0,0,92,2,0,2,0.0,0.0,0.0,0,0,84,85,98.8,0,72,2,0,0
e5e2d3a2,Benfica,Tomás Araújo,44,POR,"CB,RB",22-139,90,0,0,0,0,0,0,0,0,70,1,0,1,0.0,0.0,0.0,0,0,58,61,95.1,1,52,0,1,1
e5e2d3a2,Benfica,Alexander Bah,6,DEN,RB,26-298,85,1,0,0,0,1,1,0,0,68,4,1,1,0.5,0.5,0.0,4,1,43,59,72.9,2,27,2,2,2
e5e2d3a2,Benfica,António Silva,4,POR,CB,20-338,5,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,6,0,0,0
e5e2d3a2,Benfica,Anatolii Trubin,1,UKR,GK,23-062,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,29,34,85.3,0,23,0,0,0
e5e2d3a2,Atlético Madrid,Antoine Griezmann,7,FRA,FW,33-195,45,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,27,35,77.1,3,31,1,0,0
e5e2d3a2,Atlético Madrid,Alexander Sørloth,9,NOR,FW,28-302,45,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,11,0,1,0
e5e2d3a2,Atlético Madrid,Julián Álvarez,19,ARG,AM,24-245,59,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.2,2,0,20,24,83.3,0,15,2,3,1
e5e2d3a2,Atlético Madrid,Giuliano Simeone,22,ARG,RW,21-289,31,0,0,0,0,0,0,0,0,10,0,0,2,0.0,0.0,0.0,0,0,3,8,37.5,0,6,1,0,0
e5e2d3a2,Atlético Madrid,Ángel Correa,10,ARG,"AM,RW",29-207,90,0,0,0,0,1,0,1,0,27,2,0,1,0.0,0.0,0.0,0,0,17,20,85.0,0,19,1,0,0
e5e2d3a2,Atlético Madrid,Koke,6,ESP,CM,32-268,45,0,0,0,0,0,0,0,0,52,0,1,2,0.0,0.0,0.0,1,0,41,48,85.4,2,39,1,0,0
e5e2d3a2,Atlético Madrid,Conor Gallagher,4,ENG,DM,24-239,45,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,0,0,16,20,80.0,1,14,0,1,0
e5e2d3a2,Atlético Madrid,Rodrigo De Paul,5,ARG,CM,30-131,45,0,0,0,0,0,0,0,0,55,2,1,1,0.0,0.0,0.0,0,0,35,48,72.9,3,43,2,1,1
e5e2d3a2,Atlético Madrid,Javier Serrano,29,ESP,DM,21-260,45,0,0,0,0,0,0,1,0,31,1,0,0,0.0,0.0,0.0,0,0,27,29,93.1,3,25,0,0,0
e5e2d3a2,Atlético Madrid,Samuel Lino,12,BRA,"LW,WB",24-284,90,0,0,0,0,2,0,0,0,58,2,0,3,0.2,0.2,0.0,2,0,40,47,85.1,3,42,8,1,1
e5e2d3a2,Atlético Madrid,Marcos Llorente,14,ESP,WB,29-246,32,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,11,1,1,0
e5e2d3a2,Atlético Madrid,Nahuel Molina,16,ARG,"RB,WB",26-179,58,0,0,0,0,0,0,0,0,50,1,0,1,0.0,0.0,0.0,1,0,36,46,78.3,1,36,1,0,0
e5e2d3a2,Atlético Madrid,Reinildo Mandava,23,MOZ,"LB,CB",30-255,90,0,0,0,0,0,0,1,0,72,1,1,0,0.0,0.0,0.0,0,0,61,68,89.7,6,60,5,1,0
e5e2d3a2,Atlético Madrid,José María Giménez,2,URU,CB,29-256,90,0,0,0,0,0,0,1,0,73,2,0,0,0.0,0.0,0.0,0,0,57,60,95.0,2,53,1,1,0
e5e2d3a2,Atlético Madrid,Axel Witsel,20,BEL,CB,35-264,90,0,0,0,0,0,0,0,0,79,0,0,4,0.0,0.0,0.0,0,0,69,71,97.2,1,66,0,1,0
e5e2d3a2,Atlético Madrid,Jan Oblak,13,SVN,GK,31-269,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,16,19,84.2,0,14,0,0,0
