match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
07796431,Bayern Munich,Harry Kane,9,ENG,FW,31-101,90,0,1,0,0,8,3,0,0,46,0,2,0,0.5,0.5,0.4,10,1,26,33,78.8,5,28,4,3,1
07796431,Bayern Munich,Serge Gnabry,7,GER,LW,29-115,71,0,0,0,0,1,1,0,0,59,1,0,1,0.1,0.1,0.0,3,0,43,53,81.1,2,41,1,3,1
07796431,Bayern Munich,Kingsley Coman,11,FRA,LW,28-146,19,0,0,0,0,1,1,0,0,25,0,0,0,0.0,0.0,0.0,3,0,17,20,85.0,2,15,4,4,1
07796431,Bayern Munich,Michael Olise,17,FRA,RW,22-330,55,0,0,0,0,2,1,0,0,48,0,1,0,0.1,0.1,0.0,0,0,36,43,83.7,1,33,3,2,0
07796431,Bayern Munich,Leroy Sané,10,GER,RW,28-300,35,0,0,0,0,2,2,0,0,45,0,0,1,0.1,0.1,0.1,2,0,27,39,69.2,2,28,3,0,0
07796431,Bayern Munich,Jamal Musiala,42,GER,AM,21-254,89,1,0,0,0,4,2,1,0,79,4,0,0,0.3,0.3,0.3,4,0,53,60,88.3,7,48,5,7,1
07796431,Bayern Munich,Thomas Müller,25,GER,AM,35-054,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,1,0,0
07796431,Bayern Munich,João Palhinha,16,POR,DM,29-120,90,0,0,0,0,2,0,0,0,108,3,1,0,0.1,0.1,0.0,1,0,93,97,95.9,8,65,0,1,0
07796431,Bayern Munich,Joshua Kimmich,6,GER,DM,29-272,90,0,0,0,0,2,0,0,0,148,1,2,2,0.1,0.1,0.1,5,0,127,139,91.4,7,97,1,0,0
07796431,Bayern Munich,Alphonso Davies,19,CAN,LB,24-004,90,0,0,0,0,0,0,0,0,125,1,0,1,0.0,0.0,0.1,6,0,104,115,90.4,14,98,6,3,2
07796431,Bayern Munich,Kim Min-jae,3,KOR,CB,27-357,90,0,0,0,0,0,0,0,0,124,7,1,0,0.0,0.0,0.0,2,0,114,114,100.0,11,84,1,0,0
07796431,Bayern Munich,Dayot Upamecano,2,FRA,CB,26-010,90,0,0,0,0,0,0,0,0,94,2,1,2,0.0,0.0,0.0,1,0,86,89,96.6,5,70,0,1,1
07796431,Bayern Munich,Konrad Laimer,27,AUT,RB,27-163,90,0,0,0,0,2,0,0,0,101,1,3,2,0.1,0.1,0.0,3,0,79,85,92.9,9,62,7,4,2
07796431,Bayern Munich,Manuel Neuer,1,GER,GK,38-224,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,26,29,89.7,0,20,0,0,0
07796431,Benfica,Kerem Aktürkoğlu,17,TUR,FW,26-016,55,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,11,16,68.8,0,11,0,0,0
07796431,Benfica,Ángel Di María,11,ARG,FW,36-266,35,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,9,1,3,0
07796431,Benfica,Zeki Amdouni,7,SUI,FW,23-338,45,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,6,0,1,0
07796431,Benfica,Jan-Niklas Beste,37,GER,RB,25-307,45,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,11,14,78.6,1,9,1,0,0
07796431,Benfica,Orkun Kökçü,10,TUR,CM,23-313,78,0,0,0,0,1,0,1,0,36,1,2,1,0.1,0.1,0.0,1,0,17,26,65.4,1,15,0,1,1
07796431,Benfica,Arthur Cabral,9,BRA,CM,26-195,12,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0
07796431,Benfica,Fredrik Aursnes,8,NOR,CM,28-332,90,0,0,0,0,0,0,0,0,48,3,2,4,0.0,0.0,0.0,0,0,30,35,85.7,1,18,1,5,4
07796431,Benfica,Renato Sanches,85,POR,CM,27-080,85,0,0,0,0,0,0,0,0,28,3,0,1,0.0,0.0,0.0,0,0,20,23,87.0,2,10,0,0,0
07796431,Benfica,Benjamín Rollheiser,32,ARG,CM,24-227,5,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0
07796431,Benfica,Álvaro Carreras,3,ESP,LB,21-228,90,0,0,0,0,0,0,0,0,64,3,1,1,0.0,0.0,0.0,0,0,37,52,71.2,5,30,1,4,2
07796431,Benfica,António Silva,4,POR,CB,21-007,90,0,0,0,0,0,0,0,0,65,1,2,0,0.0,0.0,0.0,0,0,46,53,86.8,0,38,0,0,0
07796431,Benfica,Nicolás Otamendi,30,ARG,CB,36-268,90,0,0,0,0,0,0,0,0,42,3,2,3,0.0,0.0,0.0,0,0,23,24,95.8,2,14,1,0,0
07796431,Benfica,Tomás Araújo,44,POR,CB,22-174,90,0,0,0,0,0,0,0,0,47,8,3,0,0.0,0.0,0.0,0,0,24,30,80.0,1,13,0,0,0
07796431,Benfica,Issa Kaboré,28,BFA,RB,23-178,45,0,0,0,0,0,0,1,0,16,2,0,1,0.0,0.0,0.0,0,0,5,9,55.6,0,5,0,1,0
07796431,Benfica,Vangelis Pavlidis,14,GRE,FW,25-351,45,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,13,15,86.7,1,16,1,5,3
07796431,Benfica,Anatolii Trubin,1,UKR,GK,23-097,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,23,29,79.3,0,17,0,0,0
