match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
098b80cd,Milan,Santiago Giménez,7,MEX,FW,23-306,70,1,0,0,0,2,1,0,0,20,0,0,1,0.7,0.7,0.1,3,0,11,11,100.0,3,8,2,1,0
098b80cd,Milan,Youssouf Fofana,29,FRA,DM,26-039,20,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,16,18,88.9,1,10,0,1,1
098b80cd,Milan,Rafael Leão,10,POR,"LW,LM",25-253,90,0,0,0,0,1,1,1,0,51,1,1,2,0.2,0.2,0.0,3,0,20,31,64.5,6,36,8,13,6
098b80cd,Milan,Christian Pulisic,11,USA,RW,26-153,62,0,0,0,0,2,1,0,0,34,1,2,0,0.1,0.1,0.2,4,1,23,25,92.0,1,23,2,4,1
098b80cd,Milan,Davide Bartesaghi,33,ITA,LB,19-051,28,0,0,0,0,0,0,0,0,22,4,0,0,0.0,0.0,0.1,1,0,14,15,93.3,1,9,1,0,0
098b80cd,Milan,João Félix,79,POR,AM,25-100,90,0,0,0,0,4,2,1,0,54,5,0,0,0.3,0.3,0.2,3,0,26,39,66.7,4,27,1,5,2
098b80cd,Milan,Tijjani Reijnders,14,NED,DM,26-204,82,0,0,0,0,2,0,0,0,53,1,0,0,0.1,0.1,0.1,3,0,44,47,93.6,8,40,1,1,0
098b80cd,Milan,Tammy Abraham,90,ENG,FW,27-139,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,0,0,0
098b80cd,Milan,Yunus Musah,80,USA,"DM,LB,RW",22-081,82,0,0,0,0,2,0,0,0,60,1,2,1,0.1,0.1,0.1,3,0,41,50,82.0,4,34,0,2,1
098b80cd,Milan,Samuel Chukwueze,21,NGA,"RW,RM",25-272,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0
098b80cd,Milan,Theo Hernández,19,FRA,LB,27-135,50,0,0,0,0,2,0,2,1,44,0,0,1,0.1,0.1,0.1,4,0,34,39,87.2,2,25,2,2,2
098b80cd,Milan,Strahinja Pavlović,31,SRB,"CB,FW",23-270,90,0,0,0,0,0,0,0,0,80,2,2,1,0.0,0.0,0.1,3,0,63,73,86.3,5,59,5,1,1
098b80cd,Milan,Malick Thiaw,28,GER,CB,23-194,90,0,1,0,0,2,1,0,0,90,0,1,0,0.2,0.2,0.6,4,1,81,84,96.4,15,69,2,0,0
098b80cd,Milan,Kyle Walker,32,ENG,RB,34-266,90,0,0,0,0,1,1,0,0,76,1,1,0,0.1,0.1,0.1,3,0,58,67,86.6,7,40,2,1,0
098b80cd,Milan,Mike Maignan,16,FRA,GK,29-230,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,33,39,84.6,0,22,0,0,0
098b80cd,Feyenoord,Zepiqueno Redmond,49,NED,FW,18-241,63,0,0,0,0,1,0,0,0,13,1,0,1,0.1,0.1,0.0,0,0,5,7,71.4,0,4,0,1,0
098b80cd,Feyenoord,Julián Carranza,19,ARG,FW,24-272,27,1,0,0,0,1,1,0,0,15,0,0,0,0.5,0.5,0.1,1,0,7,7,100.0,2,7,0,3,0
098b80cd,Feyenoord,Igor Paixão,14,BRA,"LW,RM",24-235,90,0,0,0,0,1,0,0,0,45,1,1,1,0.1,0.1,0.0,1,0,24,34,70.6,1,29,0,3,2
098b80cd,Feyenoord,Anis Hadj Moussa,23,ALG,RW,23-007,86,0,0,0,0,0,0,0,0,46,1,0,0,0.0,0.0,0.0,2,0,24,40,60.0,5,29,6,5,2
098b80cd,Feyenoord,Jeyland Mitchell,20,CRC,CB,20-142,4,0,0,0,0,0,0,1,0,5,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0
098b80cd,Feyenoord,Hugo Bueno,16,ESP,LM,22-153,74,0,1,0,0,0,0,0,0,36,1,2,0,0.0,0.0,0.7,3,1,27,31,87.1,0,25,2,1,1
098b80cd,Feyenoord,Calvin Stengs,10,NED,LM,26-062,16,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,8,8,100.0,1,8,0,0,0
098b80cd,Feyenoord,Jakub Moder,7,POL,CM,25-317,90,0,0,0,0,1,0,1,0,66,4,3,1,0.0,0.0,0.1,1,0,38,48,79.2,4,27,0,0,0
098b80cd,Feyenoord,Antoni Milambo,27,NED,"RM,CM",19-321,90,0,0,0,0,2,0,0,0,38,3,0,2,0.2,0.2,0.0,0,0,23,28,82.1,4,24,2,0,0
