match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
152a656a,Atlético Madrid,Julián Álvarez,19,ARG,FW,25-040,120,0,0,0,0,5,3,0,0,58,4,2,0,0.2,0.2,0.0,4,1,32,40,80.0,5,37,2,3,0
152a656a,Atlético Madrid,Antoine Griezmann,7,FRA,FW,33-356,88,0,0,0,0,1,1,0,0,65,1,0,1,0.0,0.0,0.2,6,0,44,54,81.5,5,46,2,5,3
152a656a,Atlético Madrid,Alexander Sørloth,9,NOR,FW,29-097,32,0,0,0,0,2,1,0,0,13,1,0,0,0.2,0.2,0.0,2,0,6,7,85.7,1,8,0,2,1
152a656a,Atlético Madrid,Conor Gallagher,4,ENG,LM,25-034,84,1,0,0,0,1,1,0,0,33,1,3,0,0.4,0.4,0.0,2,1,21,23,91.3,0,23,0,4,1
152a656a,Atlético Madrid,Samuel Lino,12,BRA,LM,25-079,36,0,0,0,0,1,1,0,0,15,1,0,1,0.0,0.0,0.0,1,0,9,10,90.0,1,13,0,0,0
152a656a,Atlético Madrid,Pablo Barrios,8,ESP,CM,21-270,120,0,0,0,0,0,0,0,0,82,2,3,1,0.0,0.0,0.2,2,0,59,66,89.4,6,55,0,2,0
152a656a,Atlético Madrid,Rodrigo De Paul,5,ARG,CM,30-292,89,0,0,0,0,1,0,0,0,82,3,1,0,0.0,0.0,0.3,5,0,57,74,77.0,10,62,4,0,0
152a656a,Atlético Madrid,Nahuel Molina,16,ARG,RB,26-340,31,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,1,0,17,23,73.9,2,18,3,1,0
152a656a,Atlético Madrid,Giuliano Simeone,22,ARG,RM,22-084,88,0,0,0,0,1,1,1,0,35,2,0,0,0.0,0.0,0.1,6,0,23,26,88.5,2,22,4,1,0
152a656a,Atlético Madrid,Ángel Correa,10,ARG,RM,30-003,32,0,0,0,0,1,0,0,0,20,2,0,1,0.1,0.1,0.0,1,0,8,12,66.7,0,15,3,0,0
