match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
24c1d39c,Feyenoord,Santiago Giménez,29,MEX,FW,23-154,90,0,0,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,1,0,8,12,66.7,0,11,1,4,1
24c1d39c,Feyenoord,Igor Paixão,14,BRA,"LW,AM",24-083,60,0,0,0,0,2,1,0,0,24,0,0,1,0.2,0.2,0.2,2,0,10,15,66.7,0,7,1,1,0
24c1d39c,Feyenoord,Ayase Ueda,9,JPN,AM,26-009,30,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,5,0,2,1
24c1d39c,Feyenoord,Antoni Milambo,27,NED,"RW,AM",19-169,74,0,0,0,0,1,0,0,0,34,0,0,1,0.1,0.1,0.2,3,0,18,24,75.0,5,15,1,2,1
24c1d39c,Feyenoord,Chris Nadje,34,FRA,AM,23-036,16,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,2,4,1,0,0
24c1d39c,Feyenoord,Quinten Timber,8,NED,"CM,LM",23-094,90,0,0,0,0,1,1,0,0,56,2,0,1,0.1,0.1,0.0,5,0,42,48,87.5,3,34,1,6,4
24c1d39c,Feyenoord,Ramiz Zerrouki,6,ALG,CM,26-116,45,0,0,0,0,1,0,0,0,34,0,0,2,0.1,0.1,0.0,0,0,24,28,85.7,2,16,0,0,0
24c1d39c,Feyenoord,Gijs Smal,5,NED,WB,27-019,45,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,23,28,82.1,0,13,1,0,0
24c1d39c,Feyenoord,Hwang In-beom,4,KOR,"CM,RM",27-365,90,0,0,0,0,3,1,0,0,80,3,0,1,0.1,0.1,0.0,2,0,52,69,75.4,6,47,0,0,0
24c1d39c,Feyenoord,Dávid Hancko,33,SVK,"CB,LB",26-281,90,0,0,0,0,3,0,0,0,82,2,0,1,0.2,0.2,0.0,2,0,64,72,88.9,8,51,5,1,1
24c1d39c,Feyenoord,Thomas Beelen,3,NED,CB,23-100,90,0,0,0,0,0,0,0,0,80,1,1,1,0.0,0.0,0.0,2,0,68,75,90.7,2,56,0,0,0
24c1d39c,Feyenoord,Gernot Trauner,18,AUT,CB,32-178,71,0,0,0,0,0,0,1,0,84,2,1,0,0.0,0.0,0.0,0,0,75,82,91.5,6,65,1,0,0
24c1d39c,Feyenoord,Jeyland Mitchell,20,CRC,CB,19-356,19,0,0,0,0,0,0,0,0,13,5,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,7,0,0,0
24c1d39c,Feyenoord,Jordan Lotomba,30,SUI,"RB,WB",25-356,60,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.0,1,0,34,36,94.4,1,22,2,1,0
