match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
4fb5fcbd,Real Madrid,Kylian Mbappé,9,FRA,FW,25-272,90,1,0,0,0,7,4,0,0,28,1,0,0,1.3,1.3,0.1,5,0,11,15,73.3,2,22,4,2,1
4fb5fcbd,Real Madrid,Vinicius Júnior,7,BRA,LW,24-067,90,0,0,0,0,2,1,0,0,45,2,1,0,0.5,0.5,0.2,5,0,21,33,63.6,3,37,9,9,3
4fb5fcbd,Real Madrid,Rodrygo,11,BRA,RW,23-252,74,0,1,0,0,3,0,0,0,40,0,1,2,0.3,0.3,1.0,8,1,25,34,73.5,3,20,5,5,5
4fb5fcbd,Real Madrid,Arda Güler,15,TUR,"AM,RW",19-205,16,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.1,2,0,8,9,88.9,3,6,0,0,0
4fb5fcbd,Real Madrid,Jude Bellingham,5,ENG,LM,21-080,79,0,0,0,0,1,0,0,0,35,2,0,1,0.0,0.0,0.2,2,0,28,30,93.3,8,24,1,1,1
4fb5fcbd,Real Madrid,Endrick,16,BRA,RW,18-058,11,1,0,0,0,1,1,0,0,9,1,0,0,0.1,0.1,0.4,1,0,6,7,85.7,1,4,0,0,0
4fb5fcbd,Real Madrid,Aurélien Tchouaméni,14,FRA,CM,24-234,69,0,0,0,0,4,1,0,0,47,1,2,1,0.2,0.2,0.0,3,0,33,39,84.6,2,40,0,2,1
4fb5fcbd,Real Madrid,Luka Modrić,10,CRO,"DM,RM",39-008,21,0,1,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.2,1,1,10,13,76.9,1,9,0,0,0
4fb5fcbd,Real Madrid,Federico Valverde,8,URU,"RM,DM,CM",26-057,90,0,0,0,0,1,0,1,0,44,0,2,1,0.0,0.0,0.1,4,1,34,37,91.9,8,33,3,3,1
4fb5fcbd,Real Madrid,Ferland Mendy,23,FRA,LB,29-101,75,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,3,0,34,37,91.9,2,25,0,1,0
4fb5fcbd,Real Madrid,Fran Garcia,20,ESP,LB,25-034,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,3,1,0,0
4fb5fcbd,Real Madrid,Antonio Rüdiger,22,GER,CB,31-198,90,1,0,0,0,1,1,0,0,60,1,1,2,0.2,0.2,0.0,0,0,43,47,91.5,2,32,0,0,0
4fb5fcbd,Real Madrid,Dani Carvajal,2,ESP,"RB,CB",32-250,90,0,1,0,0,0,0,0,0,77,2,2,2,0.0,0.0,0.1,3,1,59,68,86.8,8,46,3,1,0
4fb5fcbd,Real Madrid,Lucas Vázquez,17,ESP,RB,33-078,45,0,0,0,0,0,0,1,0,33,1,2,0,0.0,0.0,0.0,0,0,23,28,82.1,2,21,1,0,0
4fb5fcbd,Real Madrid,Éder Militão,3,BRA,CB,26-243,45,0,0,0,0,0,0,1,0,27,0,2,1,0.0,0.0,0.0,0,0,20,22,90.9,1,14,0,0,0
4fb5fcbd,Real Madrid,Thibaut Courtois,1,BEL,GK,32-129,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,36,44,81.8,0,33,0,0,0
4fb5fcbd,Stuttgart,Deniz Undav,26,GER,FW,28-060,75,1,0,0,0,3,1,0,0,23,0,0,0,0.6,0.6,0.8,4,0,12,16,75.0,2,20,1,0,0
4fb5fcbd,Stuttgart,El Bilal Touré,10,MLI,FW,22-350,15,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,5,5,100.0,0,4,2,1,0
4fb5fcbd,Stuttgart,Chris Führich,27,GER,LW,26-252,62,0,0,0,0,0,0,0,0,33,1,1,3,0.0,0.0,0.1,2,0,14,22,63.6,0,18,1,2,0
4fb5fcbd,Stuttgart,Fabian Rieder,32,SUI,"RM,RW",22-214,28,0,0,0,0,1,0,0,0,30,4,1,0,0.0,0.0,0.1,4,0,15,21,71.4,2,19,0,1,1
4fb5fcbd,Stuttgart,Jamie Leweling,18,GER,"RW,LM,LW",23-204,90,0,1,0,0,5,4,0,0,52,1,0,2,0.3,0.3,0.6,5,2,29,38,76.3,3,41,7,2,1
4fb5fcbd,Stuttgart,Enzo Millot,8,FRA,AM,22-062,74,0,0,0,0,3,1,0,0,49,0,0,1,0.4,0.4,0.1,5,0,38,42,90.5,6,33,2,2,0
4fb5fcbd,Stuttgart,Ermedin Demirović,9,BIH,FW,26-176,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,0,6,0,0,0
4fb5fcbd,Stuttgart,Angelo Stiller,6,GER,"DM,CM",23-166,90,0,0,0,0,2,1,0,0,92,1,0,3,0.5,0.5,0.0,2,0,73,84,86.9,6,62,4,0,0
4fb5fcbd,Stuttgart,Atakan Karazor,16,,"DM,CM",27-340,90,0,0,0,0,2,0,0,0,106,3,1,2,0.1,0.1,0.1,2,0,92,95,96.8,9,80,1,1,0
4fb5fcbd,Stuttgart,Maximilian Mittelstädt,7,GER,LB,27-183,90,0,0,0,0,0,0,1,0,75,4,0,0,0.0,0.0,0.0,1,0,51,65,78.5,3,42,0,0,0
4fb5fcbd,Stuttgart,Julian Chabot,24,GER,CB,26-218,90,0,0,0,0,0,0,0,0,57,0,0,2,0.0,0.0,0.0,0,0,43,46,93.5,2,33,0,0,0
4fb5fcbd,Stuttgart,Anthony Rouault,29,FRA,CB,23-111,88,0,0,0,0,0,0,0,0,45,3,2,0,0.0,0.0,0.0,1,0,34,37,91.9,3,30,0,0,0
4fb5fcbd,Stuttgart,Dan-Axel Zagadou,23,FRA,CB,25-106,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0
