match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
b424ad1b,Celtic,Adam Idah,9,IRL,FW,24-001,64,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,4,8,50.0,0,5,1,0,0
b424ad1b,Celtic,Jota,7,POR,LW,25-319,26,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,5,8,62.5,0,7,1,2,1
b424ad1b,Celtic,Daizen Maeda,38,JPN,"LW,FW",27-115,90,1,0,0,0,2,1,0,0,29,1,1,1,0.8,0.8,0.0,2,0,14,18,77.8,1,18,1,4,1
b424ad1b,Celtic,Nicolas-Gerrit Kühn,10,GER,RW,25-042,76,0,0,0,0,0,0,0,0,29,2,0,1,0.0,0.0,0.0,1,0,10,20,50.0,3,19,5,3,1
b424ad1b,Celtic,Yang Hyunjun,13,KOR,RW,22-263,14,0,1,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.9,3,1,6,7,85.7,1,8,0,0,0
b424ad1b,Celtic,Reo Hatate,41,JPN,LM,27-083,90,0,0,0,0,2,0,0,0,41,2,1,2,0.2,0.2,0.1,2,0,28,31,90.3,1,23,0,1,0
b424ad1b,Celtic,Callum McGregor,42,SCO,CM,31-243,90,0,0,0,0,0,0,0,0,67,2,0,0,0.0,0.0,0.0,0,0,59,60,98.3,5,46,0,0,0
b424ad1b,Celtic,Arne Engels,27,BEL,RM,21-157,90,0,0,0,0,0,0,0,0,56,3,0,2,0.0,0.0,0.2,2,0,30,51,58.8,5,25,0,1,1
b424ad1b,Celtic,Greg Taylor,3,SCO,LB,27-099,64,0,0,0,0,0,0,0,0,43,0,1,1,0.0,0.0,0.0,0,0,34,39,87.2,3,27,1,0,0
b424ad1b,Celtic,Jeffrey Schlupp,15,GHA,LB,32-051,26,0,0,0,0,1,0,0,0,30,1,2,0,0.0,0.0,0.0,0,0,19,23,82.6,1,13,0,0,0
b424ad1b,Celtic,Auston Trusty,6,USA,CB,26-184,90,0,0,0,0,0,0,0,0,110,1,2,3,0.0,0.0,0.1,1,0,89,92,96.7,3,73,0,2,0
b424ad1b,Celtic,Cameron Carter-Vickers,20,USA,CB,27-043,90,0,0,0,0,0,0,0,0,77,1,2,1,0.0,0.0,0.0,0,0,70,72,97.2,7,48,0,0,0
b424ad1b,Celtic,Alistair Johnston,2,CAN,RB,26-127,90,0,0,0,0,2,1,0,0,73,4,1,2,0.1,0.1,0.0,5,0,42,55,76.4,1,33,1,1,1
b424ad1b,Celtic,Kasper Schmeichel,1,DEN,GK,38-099,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,39,44,88.6,0,29,0,0,0
b424ad1b,Bayern Munich,Harry Kane,9,ENG,FW,31-199,90,1,0,0,0,2,1,0,0,38,1,1,2,0.4,0.4,0.1,1,0,20,27,74.1,5,26,0,1,0
b424ad1b,Bayern Munich,Leroy Sané,10,GER,LW,29-032,64,0,0,0,0,1,0,0,0,36,1,1,1,0.0,0.0,0.0,2,1,23,28,82.1,2,25,1,2,0
