match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
b77278d7,Real Madrid,Kylian Mbappé,9,FRA,FW,25-307,89,0,1,0,0,5,2,0,0,34,0,0,0,0.7,0.7,0.4,4,1,16,24,66.7,3,23,4,5,1
b77278d7,Real Madrid,Dani Ceballos,19,ESP,LM,28-076,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0
b77278d7,Real Madrid,Vinicius Júnior,7,BRA,"LW,FW",24-102,90,3,0,0,0,7,4,1,0,62,0,0,1,1.3,1.3,0.4,8,1,28,37,75.7,4,44,9,13,5
b77278d7,Real Madrid,Rodrygo,11,BRA,RW,23-287,84,0,0,0,0,4,0,0,0,57,0,1,1,0.3,0.3,0.0,6,0,36,42,85.7,7,34,7,3,0
b77278d7,Real Madrid,Aurélien Tchouaméni,14,FRA,CM,24-269,6,0,0,0,0,0,0,0,0,5,1,1,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
b77278d7,Real Madrid,Luka Modrić,10,CRO,LM,39-043,70,0,0,0,0,0,0,0,0,76,1,1,0,0.0,0.0,0.1,6,1,60,72,83.3,7,50,1,2,2
b77278d7,Real Madrid,Eduardo Camavinga,6,FRA,"LM,CM",21-347,20,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,2,0,14,16,87.5,3,15,1,1,1
b77278d7,Real Madrid,Federico Valverde,8,URU,"CM,RM",26-092,90,0,0,0,0,3,0,0,0,61,3,1,0,0.1,0.1,0.0,4,1,47,51,92.2,2,36,0,0,0
b77278d7,Real Madrid,Jude Bellingham,5,ENG,"RM,LM",21-115,89,0,1,0,0,3,1,0,0,51,0,0,2,0.8,0.8,0.1,4,1,41,43,95.3,6,36,2,4,1
b77278d7,Real Madrid,Arda Güler,15,TUR,FW,19-240,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,1,1
b77278d7,Real Madrid,Ferland Mendy,23,FRA,LB,29-136,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,47,49,95.9,3,30,1,0,0
b77278d7,Real Madrid,Antonio Rüdiger,22,GER,CB,31-233,90,1,0,0,0,1,1,0,0,67,1,0,0,0.3,0.3,0.2,1,0,61,65,93.8,3,52,0,0,0
b77278d7,Real Madrid,Éder Militão,3,BRA,CB,26-278,90,0,0,0,0,1,0,0,0,71,0,2,0,0.0,0.0,0.0,2,0,56,62,90.3,9,52,2,1,1
b77278d7,Real Madrid,Lucas Vázquez,17,ESP,RB,33-113,90,1,0,0,0,2,2,0,0,82,1,2,0,0.2,0.2,0.1,4,0,60,73,82.2,2,44,2,2,1
b77278d7,Real Madrid,Thibaut Courtois,1,BEL,GK,32-164,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,22,23,95.7,0,18,0,0,0
b77278d7,Dortmund,Serhou Guirassy,9,GUI,FW,28-224,90,0,1,0,0,1,1,0,0,41,0,0,1,0.1,0.1,0.5,1,1,25,29,86.2,1,17,1,1,0
