match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c171d3bc,Paris S-G,Ousmane Dembélé,10,FRA,"RW,FW",27-294,90,0,0,0,0,8,2,0,0,76,0,0,0,0.7,0.7,0.0,8,0,45,64,70.3,8,42,12,6,5
c171d3bc,Paris S-G,Bradley Barcola,29,FRA,"LW,FW",22-184,65,0,0,0,0,3,0,0,0,38,2,0,0,0.5,0.5,0.5,8,0,27,30,90.0,3,24,5,4,2
c171d3bc,Paris S-G,Désiré Doué,14,FRA,"LW,FW",19-275,25,0,0,0,0,3,2,0,0,19,1,0,0,0.0,0.0,0.0,1,0,9,12,75.0,1,14,5,1,1
c171d3bc,Paris S-G,Khvicha Kvaratskhelia,7,GEO,"RW,LW",24-021,77,0,0,0,0,5,4,0,0,62,0,0,0,0.2,0.2,0.0,5,0,44,51,86.3,3,46,10,4,2
c171d3bc,Paris S-G,Gonçalo Ramos,9,POR,FW,23-258,13,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
c171d3bc,Paris S-G,Fabián Ruiz Peña,8,ESP,LM,28-336,77,0,0,0,0,1,0,0,0,56,0,1,2,0.1,0.1,0.1,5,0,49,51,96.1,5,26,2,0,0
c171d3bc,Paris S-G,Warren Zaïre-Emery,33,FRA,LM,18-362,13,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,11,13,84.6,1,6,0,0,0
c171d3bc,Paris S-G,Vitinha,17,POR,CM,25-020,90,0,0,0,0,3,0,0,0,126,1,1,0,0.1,0.1,0.1,7,0,109,115,94.8,10,91,5,6,4
c171d3bc,Paris S-G,João Neves,87,POR,RM,20-159,90,0,0,0,0,1,0,0,0,81,3,1,0,0.2,0.2,0.0,2,0,64,73,87.7,5,38,0,0,0
c171d3bc,Paris S-G,Nuno Mendes,25,POR,LB,22-259,90,0,0,0,0,1,0,0,0,86,8,0,1,0.0,0.0,0.0,1,0,65,76,85.5,6,43,6,3,3
c171d3bc,Paris S-G,Willian Pacho,51,ECU,CB,23-140,90,0,0,0,0,0,0,0,0,81,0,1,0,0.0,0.0,0.0,3,0,67,74,90.5,0,41,0,0,0
c171d3bc,Paris S-G,Marquinhos,5,BRA,CB,30-295,90,0,0,0,0,0,0,1,0,99,5,2,1,0.0,0.0,0.0,1,0,80,85,94.1,7,52,2,0,0
c171d3bc,Paris S-G,Achraf Hakimi,2,MAR,RB,26-121,90,0,0,0,0,2,1,0,0,95,0,0,2,0.0,0.0,0.4,7,0,69,80,86.3,8,55,4,3,2
c171d3bc,Paris S-G,Gianluigi Donnarumma,1,ITA,GK,26-008,90,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,20,20,100.0,0,15,0,0,0
c171d3bc,Liverpool,Diogo Jota,20,POR,FW,28-091,66,0,0,0,0,0,0,0,0,27,1,0,2,0.0,0.0,0.0,0,0,11,15,73.3,3,16,1,2,0
c171d3bc,Liverpool,Darwin Núñez,9,URU,FW,25-254,24,0,1,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.1,1,1,3,6,50.0,1,5,0,1,0
c171d3bc,Liverpool,Luis Díaz,7,COL,LW,28-051,66,0,0,0,0,1,0,0,0,25,2,0,0,0.1,0.1,0.0,0,0,13,17,76.5,2,16,1,1,1
c171d3bc,Liverpool,Curtis Jones,17,ENG,LW,24-034,24,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,0,0,12,13,92.3,0,8,2,2,1
c171d3bc,Liverpool,Mohamed Salah,11,EGY,RW,32-263,85,0,0,0,0,0,0,0,0,38,0,1,2,0.0,0.0,0.0,0,0,20,25,80.0,0,24,0,4,0
c171d3bc,Liverpool,Harvey Elliott,19,ENG,RW,21-335,5,1,0,0,0,1,1,0,0,3,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,1,0,0,0
c171d3bc,Liverpool,Dominik Szoboszlai,8,HUN,AM,24-131,90,0,0,0,0,0,0,0,0,40,1,0,2,0.0,0.0,0.0,0,0,20,30,66.7,4,16,2,0,0
c171d3bc,Liverpool,Alexis Mac Allister,10,ARG,DM,26-071,90,0,0,0,0,0,0,0,0,42,2,2,5,0.0,0.0,0.1,1,0,25,30,83.3,0,15,2,0,0
c171d3bc,Liverpool,Ryan Gravenberch,38,NED,DM,22-293,78,0,0,0,0,0,0,0,0,39,3,2,0,0.0,0.0,0.0,0,0,18,26,69.2,3,25,0,2,0
c171d3bc,Liverpool,Wataru Endo,3,JPN,DM,32-024,12,0,0,0,0,0,0,0,0,9,0,0,3,0.0,0.0,0.0,0,0,5,5,100.0,0,2,0,0,0
c171d3bc,Liverpool,Andrew Robertson,26,SCO,LB,30-359,90,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,33,42,78.6,1,30,1,1,1
c171d3bc,Liverpool,Virgil van Dijk,4,NED,CB,33-240,90,0,0,0,0,0,0,1,0,39,0,2,3,0.0,0.0,0.0,0,0,23,31,74.2,0,17,0,0,0
c171d3bc,Liverpool,Ibrahima Konaté,5,FRA,CB,25-284,90,0,0,0,0,0,0,0,0,23,0,0,3,0.0,0.0,0.0,0,0,15,15,100.0,1,11,0,0,0
c171d3bc,Liverpool,Trent Alexander-Arnold,66,ENG,RB,26-149,90,0,0,0,0,0,0,0,0,43,3,1,0,0.0,0.0,0.0,0,0,18,30,60.0,2,21,0,3,1
c171d3bc,Liverpool,Alisson,1,BRA,GK,32-154,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,1,1,19,31,61.3,0,20,0,0,0
