match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c2147a07,Lille,Jonathan David,9,CAN,FW,25-057,90,1,0,0,0,2,2,0,0,34,1,0,0,0.5,0.5,0.3,3,0,14,20,70.0,0,25,0,3,0
c2147a07,Lille,Hákon Arnar Haraldsson,7,ISL,"LW,AM",21-336,82,0,0,0,0,3,1,0,0,45,1,0,1,0.1,0.1,0.5,4,0,28,35,80.0,3,34,2,2,1
c2147a07,Lille,Osame Sahraoui,11,MAR,LM,23-274,8,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,7,9,77.8,1,8,0,0,0
c2147a07,Lille,Rémy Cabella,10,FRA,RW,35-004,66,0,0,0,0,1,0,0,0,48,4,0,0,0.1,0.1,0.0,2,0,24,33,72.7,2,35,3,8,3
c2147a07,Lille,Chuba Akpom,24,ENG,"FW,RW",29-154,24,0,0,0,0,1,1,0,0,11,0,0,1,0.2,0.2,0.0,0,0,5,8,62.5,0,8,1,0,0
c2147a07,Lille,Ngal'Ayel Mukau,17,COD,"AM,RM",20-102,82,0,0,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.0,1,0,28,33,84.8,3,31,2,2,2
c2147a07,Lille,André Gomes,26,POR,CM,31-225,8,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,6,0,0,0
c2147a07,Lille,Ayyoub Bouaddi,32,FRA,DM,17-161,73,0,0,0,0,0,0,0,0,37,1,3,1,0.0,0.0,0.0,1,1,17,22,77.3,3,20,0,3,1
c2147a07,Lille,Matias Fernandez-Pardo,19,BEL,"RM,LM",20-037,17,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,10,70.0,1,8,0,1,0
c2147a07,Lille,Benjamin André,21,FRA,"DM,CM",34-221,90,0,0,0,0,2,0,0,0,71,3,0,2,0.2,0.2,0.0,0,0,46,58,79.3,5,47,0,1,1
c2147a07,Lille,Ismaily,31,BRA,LB,35-060,66,0,1,0,0,0,0,0,0,37,1,2,1,0.0,0.0,0.2,3,1,19,26,73.1,1,17,1,2,1
c2147a07,Lille,Gabriel Gudmundsson,5,SWE,LB,25-317,24,0,0,0,0,1,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,14,16,87.5,1,12,1,2,2
c2147a07,Lille,Alexsandro Ribeiro,4,BRA,CB,25-215,90,0,0,0,0,1,0,0,0,69,0,0,3,0.0,0.0,0.0,1,0,43,55,78.2,3,45,0,4,4
c2147a07,Lille,Bafodé Diakité,18,FRA,CB,24-065,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,29,37,78.4,4,28,0,0,0
