match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c3867638,Celtic,Kyogo Furuhashi,8,JPN,FW,29-290,80,0,0,0,0,2,0,0,0,16,0,0,0,0.1,0.1,0.0,3,0,7,11,63.6,0,3,2,2,2
c3867638,Celtic,Adam Idah,9,IRL,FW,23-268,10,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.1,1,0,3,4,75.0,0,5,0,0,0
c3867638,Celtic,Daizen Maeda,38,JPN,LW,27-016,90,0,0,0,0,1,0,0,0,23,1,0,0,0.2,0.2,0.1,2,0,15,17,88.2,1,11,0,2,1
c3867638,Celtic,Nicolas-Gerrit Kühn,10,GER,RW,24-309,72,2,0,0,0,3,2,0,0,46,1,0,0,0.6,0.6,0.3,4,1,25,35,71.4,4,33,5,5,3
c3867638,Celtic,Yang Hyunjun,13,KOR,RW,22-164,18,0,0,0,0,1,0,0,0,18,0,1,0,0.1,0.1,0.0,2,0,13,15,86.7,3,11,1,2,1
c3867638,Celtic,Reo Hatate,41,JPN,LM,26-350,90,1,0,0,0,6,2,0,0,66,1,0,1,0.5,0.5,0.1,4,1,42,51,82.4,6,49,4,2,2
c3867638,Celtic,Callum McGregor,42,SCO,CM,31-144,90,0,0,0,0,1,0,0,0,85,2,0,2,0.0,0.0,0.2,2,0,77,80,96.3,7,54,1,1,1
c3867638,Celtic,Arne Engels,27,BEL,RM,21-058,67,0,1,0,0,1,0,0,0,49,0,1,1,0.1,0.1,0.3,5,1,33,40,82.5,3,26,1,1,1
c3867638,Celtic,Paulo Bernardo,28,POR,RM,22-286,23,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,1,0,18,25,72.0,1,10,1,1,0
c3867638,Celtic,Greg Taylor,3,SCO,LB,27-000,67,0,1,0,0,0,0,0,0,57,3,0,2,0.0,0.0,0.4,1,1,46,50,92.0,2,33,1,0,0
c3867638,Celtic,Álex Valle,11,ESP,LB,20-194,23,0,0,0,0,0,0,0,0,23,2,1,0,0.0,0.0,0.0,1,0,14,19,73.7,1,11,0,0,0
c3867638,Celtic,Auston Trusty,6,USA,CB,26-085,90,0,0,0,0,1,0,0,0,109,3,0,1,0.1,0.1,0.0,2,0,94,97,96.9,3,78,0,0,0
c3867638,Celtic,Cameron Carter-Vickers,20,USA,CB,26-310,72,0,0,0,0,0,0,0,0,86,2,0,1,0.0,0.0,0.0,0,0,78,80,97.5,0,51,0,0,0
c3867638,Celtic,Liam Scales,5,IRL,CB,26-089,18,0,0,0,0,0,0,0,0,24,1,1,0,0.0,0.0,0.0,0,0,21,21,100.0,0,14,0,0,0
