match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c956d6a4,Atlético Madrid,Alexander Sørloth,9,NOR,FW,28-323,64,0,0,0,0,3,1,0,0,26,0,0,0,1.1,1.1,0.0,0,0,12,19,63.2,1,22,2,0,0
c956d6a4,Atlético Madrid,Ángel Correa,10,ARG,FW,29-228,26,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,2,0,6,11,54.5,1,9,0,1,0
c956d6a4,Atlético Madrid,Julián Álvarez,19,ARG,"AM,LW",24-266,90,1,0,0,0,2,2,0,0,36,1,1,1,0.4,0.4,0.5,2,0,20,29,69.0,4,28,0,1,0
c956d6a4,Atlético Madrid,Antoine Griezmann,7,FRA,"AM,RW",33-216,90,0,0,0,0,2,0,0,0,64,1,0,1,0.6,0.6,1.0,5,0,48,57,84.2,5,52,5,2,1
c956d6a4,Atlético Madrid,Conor Gallagher,4,ENG,LM,24-260,76,0,0,0,0,0,0,0,0,45,0,2,0,0.0,0.0,0.0,0,0,34,36,94.4,1,35,0,0,0
c956d6a4,Atlético Madrid,Samuel Lino,12,BRA,LM,24-305,14,0,0,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.1,2,0,14,16,87.5,1,13,3,1,1
c956d6a4,Atlético Madrid,Koke,6,ESP,CM,32-289,90,0,0,0,0,0,0,0,0,85,0,0,0,0.0,0.0,0.0,1,0,70,80,87.5,9,75,1,0,0
c956d6a4,Atlético Madrid,Rodrigo De Paul,5,ARG,RM,30-152,90,0,0,0,0,0,0,0,0,78,6,0,2,0.0,0.0,0.2,2,0,54,68,79.4,6,64,4,2,2
c956d6a4,Atlético Madrid,Javi Galán,21,ESP,LB,29-339,76,0,0,0,0,0,0,1,0,58,2,4,1,0.0,0.0,0.1,3,0,35,44,79.5,4,36,1,3,3
c956d6a4,Atlético Madrid,Reinildo Mandava,23,MOZ,LB,30-276,14,0,0,0,0,0,0,0,0,17,1,1,0,0.0,0.0,0.0,1,0,10,14,71.4,0,12,1,1,0
c956d6a4,Atlético Madrid,José María Giménez,2,URU,CB,29-277,90,0,0,0,0,1,1,1,0,88,1,0,1,0.0,0.0,0.0,0,0,64,73,87.7,4,60,0,0,0
c956d6a4,Atlético Madrid,Axel Witsel,20,BEL,CB,35-285,90,0,0,0,0,0,0,1,0,75,1,1,1,0.0,0.0,0.0,1,0,63,69,91.3,5,56,0,0,0
c956d6a4,Atlético Madrid,Nahuel Molina,16,ARG,RB,26-200,76,0,0,0,0,0,0,0,0,58,0,0,2,0.0,0.0,0.0,1,0,46,50,92.0,1,36,0,2,0
c956d6a4,Atlético Madrid,Giuliano Simeone,22,ARG,RB,21-310,14,0,0,0,0,1,0,0,0,18,0,0,0,0.2,0.2,0.0,0,0,11,16,68.8,1,8,2,2,2
c956d6a4,Atlético Madrid,Jan Oblak,13,SVN,GK,31-290,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,16,17,94.1,0,14,0,0,0
c956d6a4,Lille,Mohamed Lamine Bayo,27,GUI,FW,26-141,64,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.1,1,0,12,17,70.6,0,15,1,3,3
c956d6a4,Lille,Jonathan David,9,CAN,FW,24-283,26,2,0,1,1,1,1,0,0,8,0,0,1,1.0,0.2,0.0,1,1,2,5,40.0,0,5,0,0,0
c956d6a4,Lille,Matias Fernandez-Pardo,19,BEL,AM,19-263,87,0,0,0,0,1,0,0,0,22,1,0,0,0.1,0.1,0.0,2,0,11,15,73.3,0,15,3,3,1
c956d6a4,Lille,Osame Sahraoui,11,MAR,AM,23-134,3,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,1,0,1,2,50.0,1,3,1,2,1
c956d6a4,Lille,Rémy Cabella,10,FRA,AM,34-229,15,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,2,0,4,4,100.0,0,4,0,0,0
c956d6a4,Lille,Edon Zhegrova,23,KVX,AM,25-206,75,1,0,0,0,2,1,0,0,32,1,0,0,0.1,0.1,0.0,0,0,15,22,68.2,0,20,1,4,1
c956d6a4,Lille,Benjamin André,21,FRA,CM,34-081,90,0,0,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.0,3,2,34,42,81.0,3,30,0,0,0
c956d6a4,Lille,Ngal'Ayel Mukau,17,COD,CM,19-328,86,0,0,0,0,0,0,0,0,44,1,1,0,0.0,0.0,0.0,0,0,31,39,79.5,2,30,1,2,1
c956d6a4,Lille,Angel Gomes,8,ENG,CM,24-053,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,3,0,0,0
c956d6a4,Lille,Gabriel Gudmundsson,5,SWE,WB,25-177,90,0,1,0,0,1,0,0,0,57,3,2,2,0.1,0.1,0.2,1,1,21,38,55.3,2,33,3,2,1
c956d6a4,Lille,Thomas Meunier,12,BEL,WB,33-041,90,0,1,0,0,0,0,1,0,60,1,0,1,0.0,0.0,0.1,1,1,41,53,77.4,4,35,2,1,1
c956d6a4,Lille,Alexsandro Ribeiro,4,BRA,CB,25-075,90,0,0,0,0,1,0,0,0,47,2,1,1,0.0,0.0,0.0,0,0,27,40,67.5,1,37,0,0,0
c956d6a4,Lille,Aïssa Mandi,2,ALG,CB,33-001,90,0,0,0,0,0,0,0,0,31,2,1,0,0.0,0.0,0.0,0,0,26,27,96.3,1,20,0,0,0
