match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
dcfcf574,Sturm Graz,Seedy Jatta,20,NOR,FW,21-254,64,0,0,0,0,1,1,0,0,19,0,1,0,0.2,0.2,0.0,4,1,9,12,75.0,1,14,0,3,2
dcfcf574,Sturm Graz,Erencan Yardimci,9,TUR,FW,22-297,26,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,1,4,25.0,0,6,1,1,0
dcfcf574,Sturm Graz,Mika Biereth,18,DEN,FW,21-293,75,1,0,0,0,3,2,0,0,20,0,0,0,0.5,0.5,0.0,0,0,8,10,80.0,1,14,1,3,0
dcfcf574,Sturm Graz,Jon Gorenc Stanković,4,SVN,DM,28-318,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
dcfcf574,Sturm Graz,William Vick,15,DEN,"AM,LW",21-271,89,0,0,0,0,2,1,0,0,32,0,0,3,0.1,0.1,0.1,1,0,14,17,82.4,1,17,4,0,0
dcfcf574,Sturm Graz,Stefan Hierländer,25,AUT,LW,33-298,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
dcfcf574,Sturm Graz,Malick Yalcouye,8,CIV,AM,19-009,64,0,0,0,0,0,0,0,0,34,4,0,0,0.0,0.0,0.0,1,0,24,25,96.0,1,30,0,4,1
dcfcf574,Sturm Graz,Tomi Horvat,19,SVN,"RW,AM",25-248,26,0,0,0,0,0,0,0,0,14,2,0,1,0.0,0.0,0.1,1,0,4,7,57.1,2,6,1,0,0
dcfcf574,Sturm Graz,Otar Kiteishvili,10,GEO,"DM,AM",28-246,90,0,0,0,0,1,0,0,0,53,3,1,3,0.0,0.0,0.1,5,0,35,39,89.7,7,34,1,1,0
dcfcf574,Sturm Graz,Tochi Chukwuani,21,DEN,DM,21-248,90,0,0,0,0,0,0,0,0,49,4,1,2,0.0,0.0,0.2,1,0,34,37,91.9,2,24,0,0,0
dcfcf574,Sturm Graz,Dimitri Lavalée,24,BEL,LB,27-319,90,0,0,0,0,1,1,0,0,46,2,1,1,0.0,0.0,0.0,2,0,25,35,71.4,3,27,0,0,0
dcfcf574,Sturm Graz,Niklas Geyrhofer,35,AUT,CB,24-290,90,0,0,0,0,0,0,0,0,49,3,1,0,0.0,0.0,0.0,0,0,37,37,100.0,0,31,0,0,0
dcfcf574,Sturm Graz,Emanuel Aiwum,47,AUT,CB,23-338,90,0,0,0,0,0,0,0,0,31,1,1,0,0.0,0.0,0.0,0,0,16,23,69.6,0,21,0,0,0
