match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e54e9914,Dinamo Zagreb,Sandro Kulenović,17,CRO,FW,25-056,90,0,0,0,0,1,0,0,0,38,3,0,0,0.3,0.3,0.0,2,0,16,24,66.7,0,20,0,1,0
e54e9914,Dinamo Zagreb,Marko Pjaca,20,CRO,LW,29-268,69,1,0,0,0,3,1,1,0,42,1,1,0,0.2,0.2,0.1,4,0,24,31,77.4,3,30,4,1,0
e54e9914,Dinamo Zagreb,Stefan Ristovski,22,MKD,LB,32-352,21,0,0,0,0,0,0,0,0,10,2,1,0,0.0,0.0,0.0,0,0,4,7,57.1,0,3,0,0,0
e54e9914,Dinamo Zagreb,Luka Stojkovic,7,CRO,RW,21-093,73,0,0,0,0,1,1,0,0,52,4,1,2,0.1,0.1,0.0,2,0,23,31,74.2,1,32,1,10,3
e54e9914,Dinamo Zagreb,Juan Córdoba,19,COL,"LW,LM",21-202,17,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,5,0,0,0
e54e9914,Dinamo Zagreb,Martin Baturina,10,CRO,AM,21-348,89,1,0,0,0,4,1,0,0,58,2,2,1,0.4,0.4,0.5,6,1,36,45,80.0,4,42,5,9,6
e54e9914,Dinamo Zagreb,Nathanael Mbuku,21,COD,RM,22-319,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
e54e9914,Dinamo Zagreb,Josip Mišić,27,CRO,"DM,CM",30-215,90,0,0,0,0,1,0,1,0,49,0,2,1,0.0,0.0,0.3,4,0,33,39,84.6,3,27,0,0,0
e54e9914,Dinamo Zagreb,Arijan Ademi,5,MKD,DM,33-245,69,0,0,0,0,1,1,0,0,31,1,1,1,0.3,0.3,0.0,1,1,24,24,100.0,3,18,1,1,1
e54e9914,Dinamo Zagreb,Marko Rog,30,CRO,"DM,CM",29-194,21,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,7,8,87.5,0,4,0,0,0
e54e9914,Dinamo Zagreb,Ronaël Pierre-Gabriel,18,FRA,"LB,RW,LW",26-230,89,0,1,0,0,0,0,0,0,36,6,1,0,0.0,0.0,0.1,2,1,27,29,93.1,3,18,1,1,0
e54e9914,Dinamo Zagreb,Leon Jakirovic,86,CRO,"CB,RW",17-013,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
e54e9914,Dinamo Zagreb,Raúl Torrente,4,ESP,CB,23-140,90,0,0,0,0,0,0,0,0,63,3,0,1,0.0,0.0,0.0,0,0,33,49,67.3,0,37,0,0,0
e54e9914,Dinamo Zagreb,Samy Mmaee,13,MAR,CB,28-143,90,0,0,0,0,0,0,0,0,49,0,2,1,0.0,0.0,0.0,0,0,39,42,92.9,2,31,1,0,0
e54e9914,Dinamo Zagreb,Kévin Théophile-Catherine,28,FRA,RB,35-093,90,0,0,0,0,0,0,0,0,44,0,2,0,0.0,0.0,0.0,0,0,23,30,76.7,0,18,0,1,0
e54e9914,Dinamo Zagreb,Ivan Nevistić,33,CRO,GK,26-182,90,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,18,31,58.1,0,19,0,0,0
e54e9914,Milan,Álvaro Morata,7,ESP,FW,32-098,45,0,0,0,0,1,0,0,0,19,2,0,0,0.1,0.1,0.1,2,0,8,11,72.7,0,11,0,0,0
e54e9914,Milan,Samuel Chukwueze,21,NGA,RW,25-252,45,0,0,0,0,2,1,0,0,39,0,0,1,0.1,0.1,0.2,5,0,20,27,74.1,2,28,2,5,3
e54e9914,Milan,Rafael Leão,10,POR,"LW,FW",25-233,81,0,0,0,0,1,1,0,0,36,0,0,0,0.1,0.1,0.0,1,0,22,28,78.6,2,24,3,7,4
e54e9914,Milan,Noah Okafor,17,SUI,FW,24-250,9,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,5,7,71.4,1,5,0,1,0
e54e9914,Milan,Yunus Musah,80,USA,RW,22-061,38,0,0,0,0,0,0,2,1,17,0,0,0,0.0,0.0,0.1,1,0,11,14,78.6,1,12,1,0,0
e54e9914,Milan,Christian Pulisic,11,USA,"LW,AM",26-133,90,1,0,0,0,3,2,1,0,56,4,0,0,0.4,0.4,0.1,4,1,32,43,74.4,9,39,3,3,1
e54e9914,Milan,Tijjani Reijnders,14,NED,DM,26-184,81,0,0,0,0,1,0,0,0,48,2,0,0,0.1,0.1,0.0,1,0,40,43,93.0,7,39,3,4,2
e54e9914,Milan,Tammy Abraham,90,ENG,DM,27-119,9,0,0,0,0,1,1,0,0,4,0,0,0,0.1,0.1,0.1,1,0,1,1,100.0,0,3,0,0,0
e54e9914,Milan,Youssouf Fofana,29,FRA,DM,26-019,90,0,0,0,0,3,0,0,0,57,3,1,0,0.1,0.1,0.0,2,0,35,43,81.4,11,42,4,0,0
e54e9914,Milan,Theo Hernández,19,FRA,LB,27-115,90,0,0,0,0,0,0,0,0,73,2,0,1,0.0,0.0,0.1,2,0,44,61,72.1,4,31,1,1,0
e54e9914,Milan,Strahinja Pavlović,31,SRB,CB,23-250,90,0,0,0,0,1,0,0,0,70,5,2,1,0.1,0.1,0.0,0,0,51,57,89.5,6,40,2,0,0
e54e9914,Milan,Matteo Gabbia,46,ITA,CB,25-100,45,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.0,1,0,48,53,90.6,6,46,0,0,0
e54e9914,Milan,Filippo Terracciano,42,ITA,RB,21-356,45,0,0,0,0,0,0,0,0,33,1,0,2,0.0,0.0,0.0,2,0,20,27,74.1,4,18,1,1,0
e54e9914,Milan,Fikayo Tomori,23,ENG,"CB,RB",27-041,90,0,1,0,0,0,0,0,0,76,4,1,1,0.0,0.0,0.1,1,1,58,66,87.9,11,52,1,0,0
e54e9914,Milan,Mike Maignan,16,FRA,GK,29-210,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,0,0,36,38,94.7,2,28,0,0,0
